
Host: choehoyun-ui-MacBookAir.local

Timers On : Mon Aug 10 18:09:13 2026
Timers Off: Mon Aug 10 18:09:16 2026

Wall Time:        3.56 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.433u      0.017s      0.076w      1 calls
build grid                          :      0.383u      0.017s      0.042w      1 calls
post-process grid                   :      0.050u      0.000s      0.034w      1 calls
DFH: sparsity prep                  :      0.017u      0.000s      0.017w      1 calls
Libint2ERI::Libint2ERI              :      0.017u      0.000s      0.018w     10 calls
DFH: initialize()                   :      0.450u      0.067s      0.098w      1 calls
DFH: AO Construction                :      0.133u      0.000s      0.012w      1 calls
DFH: AO-Met. Contraction            :      0.167u      0.017s      0.016w      1 calls
HF: Form core H                     :      0.000u      0.000s      0.007w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.002w      1 calls
HF: Guess                           :      0.033u      0.017s      0.020w      1 calls
SAD Guess                           :      0.033u      0.017s      0.019w      1 calls
HF: Form G                          :     10.783u      0.183s      0.898w     10 calls
RV: Form V                          :     10.250u      0.167s      0.841w     10 calls
Properties                          :      2.400p                          22440 calls
Functional                          :      0.810p                          22440 calls
V_xc                                :      3.473p                          22440 calls
JK: D                               :      0.000u      0.000s      0.000w     10 calls
JK: USO2AO                          :      0.000u      0.000s      0.002w     10 calls
JK: JK                              :      0.533u      0.017s      0.050w     10 calls
DFH: compute_JK()                   :      0.533u      0.017s      0.050w     10 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     10 calls
DFH: compute_J                      :      0.117u      0.017s      0.010w     10 calls
DFH: compute_K                      :      0.400u      0.000s      0.034w     10 calls
JK: AO2USO                          :      0.000u      0.000s      0.002w     10 calls
HF: Form F                          :      0.000u      0.000s      0.000w     10 calls
HF: Form D                          :      0.000u      0.000s      0.000w     10 calls
HF: DIIS                            :      0.300u      0.100s      0.828w      9 calls
HF: Form C                          :      0.000u      0.000s      0.004w      9 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.433u      0.017s      0.076w      1 calls
| build grid                        :      0.383u      0.017s      0.042w      1 calls
| post-process grid                 :      0.050u      0.000s      0.034w      1 calls
DFH: sparsity prep                  :      0.017u      0.000s      0.017w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.015w      1 calls
DFH: initialize()                   :      0.450u      0.067s      0.098w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.003w      9 calls
| DFH: AO Construction              :      0.133u      0.000s      0.012w      1 calls
| DFH: AO-Met. Contraction          :      0.167u      0.017s      0.016w      1 calls
HF: Form core H                     :      0.000u      0.000s      0.007w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.002w      1 calls
HF: Guess                           :      0.033u      0.017s      0.020w      1 calls
| SAD Guess                         :      0.033u      0.017s      0.019w      1 calls
HF: Form G                          :     10.783u      0.183s      0.898w     10 calls
| RV: Form V                        :     10.250u      0.167s      0.841w     10 calls
| | Properties                      :      2.400p                          22440 calls
| | Functional                      :      0.810p                          22440 calls
| | V_xc                            :      3.473p                          22440 calls
| JK: D                             :      0.000u      0.000s      0.000w     10 calls
| JK: USO2AO                        :      0.000u      0.000s      0.002w     10 calls
| JK: JK                            :      0.533u      0.017s      0.050w     10 calls
| | DFH: compute_JK()               :      0.533u      0.017s      0.050w     10 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     10 calls
| | | DFH: compute_J                :      0.117u      0.017s      0.010w     10 calls
| | | DFH: compute_K                :      0.400u      0.000s      0.034w     10 calls
| JK: AO2USO                        :      0.000u      0.000s      0.002w     10 calls
HF: Form F                          :      0.000u      0.000s      0.000w     10 calls
HF: Form D                          :      0.000u      0.000s      0.000w     10 calls
HF: DIIS                            :      0.300u      0.100s      0.828w      9 calls
HF: Form C                          :      0.000u      0.000s      0.004w      9 calls

**************************************************************************************
