
Host: choehoyun-ui-MacBookAir.local

Timers On : Mon Aug 10 18:09:23 2026
Timers Off: Mon Aug 10 18:09:26 2026

Wall Time:        3.34 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      1.033u      0.017s      0.152w      1 calls
build grid                          :      0.950u      0.000s      0.101w      1 calls
post-process grid                   :      0.083u      0.017s      0.051w      1 calls
DFH: sparsity prep                  :      0.017u      0.017s      0.008w      1 calls
Libint2ERI::Libint2ERI              :      0.017u      0.000s      0.011w     10 calls
DFH: initialize()                   :      1.483u      0.100s      0.266w      1 calls
DFH: AO Construction                :      0.400u      0.017s      0.032w      1 calls
DFH: AO-Met. Contraction            :      0.717u      0.033s      0.063w      1 calls
HF: Form core H                     :      0.033u      0.000s      0.005w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      1 calls
HF: Guess                           :      0.017u      0.050s      0.028w      1 calls
SAD Guess                           :      0.017u      0.050s      0.027w      1 calls
HF: Form G                          :     21.233u      0.250s      1.684w     10 calls
RV: Form V                          :     19.317u      0.183s      1.505w     10 calls
Properties                          :      4.577p                          31660 calls
Functional                          :      1.094p                          31660 calls
V_xc                                :      6.311p                          31660 calls
JK: D                               :      0.000u      0.000s      0.000w     10 calls
JK: USO2AO                          :      0.000u      0.000s      0.004w     10 calls
JK: JK                              :      1.833u      0.067s      0.167w     10 calls
DFH: compute_JK()                   :      1.833u      0.067s      0.166w     10 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     10 calls
DFH: compute_J                      :      0.333u      0.033s      0.027w     10 calls
DFH: compute_K                      :      1.500u      0.000s      0.121w     10 calls
JK: AO2USO                          :      0.083u      0.000s      0.005w     10 calls
HF: Form F                          :      0.000u      0.000s      0.000w     10 calls
HF: Form D                          :      0.000u      0.000s      0.000w     10 calls
HF: DIIS                            :      0.300u      0.050s      0.217w      9 calls
HF: Form C                          :      0.000u      0.000s      0.009w      9 calls

--------------------------------------------------------------------------------------
V: Grid                             :      1.033u      0.017s      0.152w      1 calls
| build grid                        :      0.950u      0.000s      0.101w      1 calls
| post-process grid                 :      0.083u      0.017s      0.051w      1 calls
DFH: sparsity prep                  :      0.017u      0.017s      0.008w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.005w      1 calls
DFH: initialize()                   :      1.483u      0.100s      0.266w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.005w      9 calls
| DFH: AO Construction              :      0.400u      0.017s      0.032w      1 calls
| DFH: AO-Met. Contraction          :      0.717u      0.033s      0.063w      1 calls
HF: Form core H                     :      0.033u      0.000s      0.005w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      1 calls
HF: Guess                           :      0.017u      0.050s      0.028w      1 calls
| SAD Guess                         :      0.017u      0.050s      0.027w      1 calls
HF: Form G                          :     21.233u      0.250s      1.684w     10 calls
| RV: Form V                        :     19.317u      0.183s      1.505w     10 calls
| | Properties                      :      4.577p                          31660 calls
| | Functional                      :      1.094p                          31660 calls
| | V_xc                            :      6.311p                          31660 calls
| JK: D                             :      0.000u      0.000s      0.000w     10 calls
| JK: USO2AO                        :      0.000u      0.000s      0.004w     10 calls
| JK: JK                            :      1.833u      0.067s      0.167w     10 calls
| | DFH: compute_JK()               :      1.833u      0.067s      0.166w     10 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     10 calls
| | | DFH: compute_J                :      0.333u      0.033s      0.027w     10 calls
| | | DFH: compute_K                :      1.500u      0.000s      0.121w     10 calls
| JK: AO2USO                        :      0.083u      0.000s      0.005w     10 calls
HF: Form F                          :      0.000u      0.000s      0.000w     10 calls
HF: Form D                          :      0.000u      0.000s      0.000w     10 calls
HF: DIIS                            :      0.300u      0.050s      0.217w      9 calls
HF: Form C                          :      0.000u      0.000s      0.009w      9 calls

**************************************************************************************
