
Host: choehoyun-ui-MacBookAir.local

Timers On : Mon Aug 10 18:09:33 2026
Timers Off: Mon Aug 10 18:09:36 2026

Wall Time:        3.51 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      1.117u      0.017s      0.157w      1 calls
build grid                          :      1.033u      0.017s      0.101w      1 calls
post-process grid                   :      0.083u      0.000s      0.056w      1 calls
DFH: sparsity prep                  :      0.000u      0.000s      0.008w      1 calls
Libint2ERI::Libint2ERI              :      0.017u      0.000s      0.011w     10 calls
DFH: initialize()                   :      1.567u      0.100s      0.277w      1 calls
DFH: AO Construction                :      0.400u      0.017s      0.034w      1 calls
DFH: AO-Met. Contraction            :      0.733u      0.017s      0.066w      1 calls
HF: Form core H                     :      0.017u      0.000s      0.004w      1 calls
HF: Form S/X                        :      0.017u      0.017s      0.006w      1 calls
HF: Guess                           :      0.017u      0.033s      0.028w      1 calls
SAD Guess                           :      0.017u      0.033s      0.027w      1 calls
HF: Form G                          :     21.017u      0.200s      1.651w     10 calls
RV: Form V                          :     19.167u      0.150s      1.486w     10 calls
Properties                          :      4.508p                          30990 calls
Functional                          :      1.078p                          30990 calls
V_xc                                :      6.257p                          30990 calls
JK: D                               :      0.000u      0.000s      0.000w     10 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     10 calls
JK: JK                              :      1.850u      0.050s      0.163w     10 calls
DFH: compute_JK()                   :      1.850u      0.050s      0.163w     10 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     10 calls
DFH: compute_J                      :      0.317u      0.000s      0.026w     10 calls
DFH: compute_K                      :      1.533u      0.017s      0.119w     10 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     10 calls
HF: Form F                          :      0.000u      0.000s      0.001w     10 calls
HF: Form D                          :      0.000u      0.000s      0.000w     10 calls
HF: DIIS                            :      0.317u      0.050s      0.222w      9 calls
HF: Form C                          :      0.067u      0.100s      0.052w      9 calls

--------------------------------------------------------------------------------------
V: Grid                             :      1.117u      0.017s      0.157w      1 calls
| build grid                        :      1.033u      0.017s      0.101w      1 calls
| post-process grid                 :      0.083u      0.000s      0.056w      1 calls
DFH: sparsity prep                  :      0.000u      0.000s      0.008w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.005w      1 calls
DFH: initialize()                   :      1.567u      0.100s      0.277w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.005w      9 calls
| DFH: AO Construction              :      0.400u      0.017s      0.034w      1 calls
| DFH: AO-Met. Contraction          :      0.733u      0.017s      0.066w      1 calls
HF: Form core H                     :      0.017u      0.000s      0.004w      1 calls
HF: Form S/X                        :      0.017u      0.017s      0.006w      1 calls
HF: Guess                           :      0.017u      0.033s      0.028w      1 calls
| SAD Guess                         :      0.017u      0.033s      0.027w      1 calls
HF: Form G                          :     21.017u      0.200s      1.651w     10 calls
| RV: Form V                        :     19.167u      0.150s      1.486w     10 calls
| | Properties                      :      4.508p                          30990 calls
| | Functional                      :      1.078p                          30990 calls
| | V_xc                            :      6.257p                          30990 calls
| JK: D                             :      0.000u      0.000s      0.000w     10 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     10 calls
| JK: JK                            :      1.850u      0.050s      0.163w     10 calls
| | DFH: compute_JK()               :      1.850u      0.050s      0.163w     10 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     10 calls
| | | DFH: compute_J                :      0.317u      0.000s      0.026w     10 calls
| | | DFH: compute_K                :      1.533u      0.017s      0.119w     10 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     10 calls
HF: Form F                          :      0.000u      0.000s      0.001w     10 calls
HF: Form D                          :      0.000u      0.000s      0.000w     10 calls
HF: DIIS                            :      0.317u      0.050s      0.222w      9 calls
HF: Form C                          :      0.067u      0.100s      0.052w      9 calls

**************************************************************************************
