
Host: choehoyun-ui-MacBookAir.local

Timers On : Mon Aug 10 18:09:38 2026
Timers Off: Mon Aug 10 18:09:41 2026

Wall Time:        3.29 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      1.067u      0.017s      0.155w      1 calls
build grid                          :      0.983u      0.000s      0.102w      1 calls
post-process grid                   :      0.083u      0.017s      0.053w      1 calls
DFH: sparsity prep                  :      0.017u      0.000s      0.008w      1 calls
Libint2ERI::Libint2ERI              :      0.017u      0.000s      0.011w     10 calls
DFH: initialize()                   :      1.517u      0.100s      0.253w      1 calls
DFH: AO Construction                :      0.417u      0.017s      0.032w      1 calls
DFH: AO-Met. Contraction            :      0.750u      0.033s      0.065w      1 calls
HF: Form core H                     :      0.033u      0.000s      0.004w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      1 calls
HF: Guess                           :      0.017u      0.033s      0.018w      1 calls
SAD Guess                           :      0.017u      0.033s      0.017w      1 calls
HF: Form G                          :     22.183u      0.167s      1.735w     10 calls
RV: Form V                          :     20.283u      0.117s      1.560w     10 calls
Properties                          :      4.718p                          30700 calls
Functional                          :      1.056p                          30700 calls
V_xc                                :      6.643p                          30700 calls
JK: D                               :      0.000u      0.000s      0.000w     10 calls
JK: USO2AO                          :      0.000u      0.000s      0.003w     10 calls
JK: JK                              :      1.833u      0.033s      0.162w     10 calls
DFH: compute_JK()                   :      1.833u      0.033s      0.162w     10 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     10 calls
DFH: compute_J                      :      0.317u      0.000s      0.026w     10 calls
DFH: compute_K                      :      1.500u      0.000s      0.122w     10 calls
JK: AO2USO                          :      0.050u      0.017s      0.005w     10 calls
HF: Form F                          :      0.000u      0.000s      0.000w     10 calls
HF: Form D                          :      0.000u      0.000s      0.000w     10 calls
HF: DIIS                            :      0.300u      0.050s      0.204w      9 calls
HF: Form C                          :      0.000u      0.000s      0.009w      9 calls

--------------------------------------------------------------------------------------
V: Grid                             :      1.067u      0.017s      0.155w      1 calls
| build grid                        :      0.983u      0.000s      0.102w      1 calls
| post-process grid                 :      0.083u      0.017s      0.053w      1 calls
DFH: sparsity prep                  :      0.017u      0.000s      0.008w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.005w      1 calls
DFH: initialize()                   :      1.517u      0.100s      0.253w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.005w      9 calls
| DFH: AO Construction              :      0.417u      0.017s      0.032w      1 calls
| DFH: AO-Met. Contraction          :      0.750u      0.033s      0.065w      1 calls
HF: Form core H                     :      0.033u      0.000s      0.004w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      1 calls
HF: Guess                           :      0.017u      0.033s      0.018w      1 calls
| SAD Guess                         :      0.017u      0.033s      0.017w      1 calls
HF: Form G                          :     22.183u      0.167s      1.735w     10 calls
| RV: Form V                        :     20.283u      0.117s      1.560w     10 calls
| | Properties                      :      4.718p                          30700 calls
| | Functional                      :      1.056p                          30700 calls
| | V_xc                            :      6.643p                          30700 calls
| JK: D                             :      0.000u      0.000s      0.000w     10 calls
| JK: USO2AO                        :      0.000u      0.000s      0.003w     10 calls
| JK: JK                            :      1.833u      0.033s      0.162w     10 calls
| | DFH: compute_JK()               :      1.833u      0.033s      0.162w     10 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     10 calls
| | | DFH: compute_J                :      0.317u      0.000s      0.026w     10 calls
| | | DFH: compute_K                :      1.500u      0.000s      0.122w     10 calls
| JK: AO2USO                        :      0.050u      0.017s      0.005w     10 calls
HF: Form F                          :      0.000u      0.000s      0.000w     10 calls
HF: Form D                          :      0.000u      0.000s      0.000w     10 calls
HF: DIIS                            :      0.300u      0.050s      0.204w      9 calls
HF: Form C                          :      0.000u      0.000s      0.009w      9 calls

**************************************************************************************
