
Host: choehoyun-ui-MacBookAir.local

Timers On : Mon Aug 10 18:09:53 2026
Timers Off: Mon Aug 10 18:09:56 2026

Wall Time:        3.24 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      1.083u      0.017s      0.144w      1 calls
build grid                          :      1.000u      0.000s      0.091w      1 calls
post-process grid                   :      0.083u      0.017s      0.053w      1 calls
DFH: sparsity prep                  :      0.000u      0.000s      0.008w      1 calls
Libint2ERI::Libint2ERI              :      0.017u      0.000s      0.011w     10 calls
DFH: initialize()                   :      1.517u      0.100s      0.263w      1 calls
DFH: AO Construction                :      0.400u      0.000s      0.031w      1 calls
DFH: AO-Met. Contraction            :      0.733u      0.033s      0.064w      1 calls
HF: Form core H                     :      0.017u      0.000s      0.003w      1 calls
HF: Form S/X                        :      0.017u      0.017s      0.006w      1 calls
HF: Guess                           :      0.017u      0.033s      0.017w      1 calls
SAD Guess                           :      0.017u      0.033s      0.017w      1 calls
HF: Form G                          :     21.383u      0.133s      1.643w     10 calls
RV: Form V                          :     19.567u      0.100s      1.485w     10 calls
Properties                          :      4.473p                          30980 calls
Functional                          :      1.063p                          30980 calls
V_xc                                :      6.309p                          30980 calls
JK: D                               :      0.000u      0.017s      0.000w     10 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     10 calls
JK: JK                              :      1.817u      0.017s      0.155w     10 calls
DFH: compute_JK()                   :      1.817u      0.017s      0.155w     10 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     10 calls
DFH: compute_J                      :      0.283u      0.000s      0.024w     10 calls
DFH: compute_K                      :      1.533u      0.017s      0.116w     10 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     10 calls
HF: Form F                          :      0.000u      0.017s      0.001w     10 calls
HF: Form D                          :      0.000u      0.000s      0.000w     10 calls
HF: DIIS                            :      0.300u      0.083s      0.222w      9 calls
HF: Form C                          :      0.117u      0.050s      0.054w      9 calls

--------------------------------------------------------------------------------------
V: Grid                             :      1.083u      0.017s      0.144w      1 calls
| build grid                        :      1.000u      0.000s      0.091w      1 calls
| post-process grid                 :      0.083u      0.017s      0.053w      1 calls
DFH: sparsity prep                  :      0.000u      0.000s      0.008w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.005w      1 calls
DFH: initialize()                   :      1.517u      0.100s      0.263w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.006w      9 calls
| DFH: AO Construction              :      0.400u      0.000s      0.031w      1 calls
| DFH: AO-Met. Contraction          :      0.733u      0.033s      0.064w      1 calls
HF: Form core H                     :      0.017u      0.000s      0.003w      1 calls
HF: Form S/X                        :      0.017u      0.017s      0.006w      1 calls
HF: Guess                           :      0.017u      0.033s      0.017w      1 calls
| SAD Guess                         :      0.017u      0.033s      0.017w      1 calls
HF: Form G                          :     21.383u      0.133s      1.643w     10 calls
| RV: Form V                        :     19.567u      0.100s      1.485w     10 calls
| | Properties                      :      4.473p                          30980 calls
| | Functional                      :      1.063p                          30980 calls
| | V_xc                            :      6.309p                          30980 calls
| JK: D                             :      0.000u      0.017s      0.000w     10 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     10 calls
| JK: JK                            :      1.817u      0.017s      0.155w     10 calls
| | DFH: compute_JK()               :      1.817u      0.017s      0.155w     10 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     10 calls
| | | DFH: compute_J                :      0.283u      0.000s      0.024w     10 calls
| | | DFH: compute_K                :      1.533u      0.017s      0.116w     10 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     10 calls
HF: Form F                          :      0.000u      0.017s      0.001w     10 calls
HF: Form D                          :      0.000u      0.000s      0.000w     10 calls
HF: DIIS                            :      0.300u      0.083s      0.222w      9 calls
HF: Form C                          :      0.117u      0.050s      0.054w      9 calls

**************************************************************************************
