
Host: choehoyun-ui-MacBookAir.local

Timers On : Mon Aug 10 18:09:58 2026
Timers Off: Mon Aug 10 18:10:02 2026

Wall Time:        3.85 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      1.083u      0.017s      0.142w      1 calls
build grid                          :      1.000u      0.017s      0.089w      1 calls
post-process grid                   :      0.083u      0.000s      0.053w      1 calls
DFH: sparsity prep                  :      0.017u      0.000s      0.008w      1 calls
Libint2ERI::Libint2ERI              :      0.017u      0.000s      0.011w     10 calls
DFH: initialize()                   :      1.500u      0.100s      0.262w      1 calls
DFH: AO Construction                :      0.400u      0.000s      0.031w      1 calls
DFH: AO-Met. Contraction            :      0.733u      0.033s      0.064w      1 calls
HF: Form core H                     :      0.017u      0.017s      0.004w      1 calls
HF: Form S/X                        :      0.017u      0.000s      0.005w      1 calls
HF: Guess                           :      0.017u      0.033s      0.020w      1 calls
SAD Guess                           :      0.017u      0.033s      0.019w      1 calls
HF: Form G                          :     24.617u      0.617s      2.172w     11 calls
RV: Form V                          :     22.533u      0.550s      1.969w     11 calls
Properties                          :      6.296p                          34419 calls
Functional                          :      1.372p                          34419 calls
V_xc                                :      7.965p                          34419 calls
JK: D                               :      0.000u      0.000s      0.001w     11 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     11 calls
JK: JK                              :      2.083u      0.067s      0.200w     11 calls
DFH: compute_JK()                   :      2.083u      0.067s      0.200w     11 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     11 calls
DFH: compute_J                      :      0.333u      0.017s      0.042w     11 calls
DFH: compute_K                      :      1.733u      0.017s      0.136w     11 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     11 calls
HF: Form F                          :      0.000u      0.000s      0.001w     11 calls
HF: Form D                          :      0.000u      0.000s      0.001w     11 calls
HF: DIIS                            :      0.350u      0.067s      0.224w     10 calls
HF: Form C                          :      0.083u      0.100s      0.060w     10 calls

--------------------------------------------------------------------------------------
V: Grid                             :      1.083u      0.017s      0.142w      1 calls
| build grid                        :      1.000u      0.017s      0.089w      1 calls
| post-process grid                 :      0.083u      0.000s      0.053w      1 calls
DFH: sparsity prep                  :      0.017u      0.000s      0.008w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.005w      1 calls
DFH: initialize()                   :      1.500u      0.100s      0.262w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.005w      9 calls
| DFH: AO Construction              :      0.400u      0.000s      0.031w      1 calls
| DFH: AO-Met. Contraction          :      0.733u      0.033s      0.064w      1 calls
HF: Form core H                     :      0.017u      0.017s      0.004w      1 calls
HF: Form S/X                        :      0.017u      0.000s      0.005w      1 calls
HF: Guess                           :      0.017u      0.033s      0.020w      1 calls
| SAD Guess                         :      0.017u      0.033s      0.019w      1 calls
HF: Form G                          :     24.617u      0.617s      2.172w     11 calls
| RV: Form V                        :     22.533u      0.550s      1.969w     11 calls
| | Properties                      :      6.296p                          34419 calls
| | Functional                      :      1.372p                          34419 calls
| | V_xc                            :      7.965p                          34419 calls
| JK: D                             :      0.000u      0.000s      0.001w     11 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     11 calls
| JK: JK                            :      2.083u      0.067s      0.200w     11 calls
| | DFH: compute_JK()               :      2.083u      0.067s      0.200w     11 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     11 calls
| | | DFH: compute_J                :      0.333u      0.017s      0.042w     11 calls
| | | DFH: compute_K                :      1.733u      0.017s      0.136w     11 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     11 calls
HF: Form F                          :      0.000u      0.000s      0.001w     11 calls
HF: Form D                          :      0.000u      0.000s      0.001w     11 calls
HF: DIIS                            :      0.350u      0.067s      0.224w     10 calls
HF: Form C                          :      0.083u      0.100s      0.060w     10 calls

**************************************************************************************
