
Host: choehoyun-ui-MacBookAir.local

Timers On : Mon Aug 10 18:10:08 2026
Timers Off: Mon Aug 10 18:10:11 2026

Wall Time:        3.11 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      1.083u      0.017s      0.146w      1 calls
build grid                          :      1.000u      0.000s      0.093w      1 calls
post-process grid                   :      0.083u      0.017s      0.053w      1 calls
DFH: sparsity prep                  :      0.017u      0.000s      0.007w      1 calls
Libint2ERI::Libint2ERI              :      0.017u      0.000s      0.010w     10 calls
DFH: initialize()                   :      1.433u      0.083s      0.255w      1 calls
DFH: AO Construction                :      0.383u      0.017s      0.031w      1 calls
DFH: AO-Met. Contraction            :      0.683u      0.017s      0.060w      1 calls
HF: Form core H                     :      0.017u      0.000s      0.005w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      1 calls
HF: Guess                           :      0.033u      0.033s      0.019w      1 calls
SAD Guess                           :      0.017u      0.033s      0.018w      1 calls
HF: Form G                          :     20.517u      0.133s      1.589w     10 calls
RV: Form V                          :     18.683u      0.067s      1.423w     10 calls
Properties                          :      4.264p                          31180 calls
Functional                          :      1.085p                          31180 calls
V_xc                                :      5.980p                          31180 calls
JK: D                               :      0.000u      0.000s      0.000w     10 calls
JK: USO2AO                          :      0.000u      0.017s      0.003w     10 calls
JK: JK                              :      1.817u      0.033s      0.153w     10 calls
DFH: compute_JK()                   :      1.817u      0.033s      0.153w     10 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     10 calls
DFH: compute_J                      :      0.283u      0.017s      0.023w     10 calls
DFH: compute_K                      :      1.517u      0.000s      0.115w     10 calls
JK: AO2USO                          :      0.000u      0.017s      0.005w     10 calls
HF: Form F                          :      0.000u      0.000s      0.000w     10 calls
HF: Form D                          :      0.000u      0.000s      0.000w     10 calls
HF: DIIS                            :      0.267u      0.050s      0.203w      9 calls
HF: Form C                          :      0.017u      0.000s      0.004w      9 calls

--------------------------------------------------------------------------------------
V: Grid                             :      1.083u      0.017s      0.146w      1 calls
| build grid                        :      1.000u      0.000s      0.093w      1 calls
| post-process grid                 :      0.083u      0.017s      0.053w      1 calls
DFH: sparsity prep                  :      0.017u      0.000s      0.007w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.005w      1 calls
DFH: initialize()                   :      1.433u      0.083s      0.255w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.005w      9 calls
| DFH: AO Construction              :      0.383u      0.017s      0.031w      1 calls
| DFH: AO-Met. Contraction          :      0.683u      0.017s      0.060w      1 calls
HF: Form core H                     :      0.017u      0.000s      0.005w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      1 calls
HF: Guess                           :      0.033u      0.033s      0.019w      1 calls
| SAD Guess                         :      0.017u      0.033s      0.018w      1 calls
HF: Form G                          :     20.517u      0.133s      1.589w     10 calls
| RV: Form V                        :     18.683u      0.067s      1.423w     10 calls
| | Properties                      :      4.264p                          31180 calls
| | Functional                      :      1.085p                          31180 calls
| | V_xc                            :      5.980p                          31180 calls
| JK: D                             :      0.000u      0.000s      0.000w     10 calls
| JK: USO2AO                        :      0.000u      0.017s      0.003w     10 calls
| JK: JK                            :      1.817u      0.033s      0.153w     10 calls
| | DFH: compute_JK()               :      1.817u      0.033s      0.153w     10 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     10 calls
| | | DFH: compute_J                :      0.283u      0.017s      0.023w     10 calls
| | | DFH: compute_K                :      1.517u      0.000s      0.115w     10 calls
| JK: AO2USO                        :      0.000u      0.017s      0.005w     10 calls
HF: Form F                          :      0.000u      0.000s      0.000w     10 calls
HF: Form D                          :      0.000u      0.000s      0.000w     10 calls
HF: DIIS                            :      0.267u      0.050s      0.203w      9 calls
HF: Form C                          :      0.017u      0.000s      0.004w      9 calls

**************************************************************************************
