
Host: choehoyun-ui-MacBookAir.local

Timers On : Mon Aug 10 18:10:13 2026
Timers Off: Mon Aug 10 18:10:17 2026

Wall Time:        3.54 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      1.083u      0.000s      0.149w      1 calls
build grid                          :      1.000u      0.000s      0.096w      1 calls
post-process grid                   :      0.083u      0.000s      0.053w      1 calls
DFH: sparsity prep                  :      0.000u      0.000s      0.007w      1 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.011w     10 calls
DFH: initialize()                   :      1.583u      0.100s      0.272w      1 calls
DFH: AO Construction                :      0.400u      0.017s      0.033w      1 calls
DFH: AO-Met. Contraction            :      0.783u      0.017s      0.067w      1 calls
HF: Form core H                     :      0.017u      0.000s      0.003w      1 calls
HF: Form S/X                        :      0.017u      0.017s      0.006w      1 calls
HF: Guess                           :      0.017u      0.033s      0.019w      1 calls
SAD Guess                           :      0.017u      0.033s      0.018w      1 calls
HF: Form G                          :     24.900u      0.133s      1.931w     11 calls
RV: Form V                          :     22.867u      0.100s      1.749w     11 calls
Properties                          :      5.277p                          33814 calls
Functional                          :      1.188p                          33814 calls
V_xc                                :      7.473p                          33814 calls
JK: D                               :      0.000u      0.000s      0.001w     11 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     11 calls
JK: JK                              :      2.033u      0.033s      0.179w     11 calls
DFH: compute_JK()                   :      2.033u      0.033s      0.179w     11 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     11 calls
DFH: compute_J                      :      0.367u      0.017s      0.029w     11 calls
DFH: compute_K                      :      1.667u      0.017s      0.129w     11 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     11 calls
HF: Form F                          :      0.000u      0.000s      0.001w     11 calls
HF: Form D                          :      0.000u      0.000s      0.001w     11 calls
HF: DIIS                            :      0.317u      0.083s      0.226w     10 calls
HF: Form C                          :      0.100u      0.067s      0.058w     10 calls

--------------------------------------------------------------------------------------
V: Grid                             :      1.083u      0.000s      0.149w      1 calls
| build grid                        :      1.000u      0.000s      0.096w      1 calls
| post-process grid                 :      0.083u      0.000s      0.053w      1 calls
DFH: sparsity prep                  :      0.000u      0.000s      0.007w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.005w      1 calls
DFH: initialize()                   :      1.583u      0.100s      0.272w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.005w      9 calls
| DFH: AO Construction              :      0.400u      0.017s      0.033w      1 calls
| DFH: AO-Met. Contraction          :      0.783u      0.017s      0.067w      1 calls
HF: Form core H                     :      0.017u      0.000s      0.003w      1 calls
HF: Form S/X                        :      0.017u      0.017s      0.006w      1 calls
HF: Guess                           :      0.017u      0.033s      0.019w      1 calls
| SAD Guess                         :      0.017u      0.033s      0.018w      1 calls
HF: Form G                          :     24.900u      0.133s      1.931w     11 calls
| RV: Form V                        :     22.867u      0.100s      1.749w     11 calls
| | Properties                      :      5.277p                          33814 calls
| | Functional                      :      1.188p                          33814 calls
| | V_xc                            :      7.473p                          33814 calls
| JK: D                             :      0.000u      0.000s      0.001w     11 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     11 calls
| JK: JK                            :      2.033u      0.033s      0.179w     11 calls
| | DFH: compute_JK()               :      2.033u      0.033s      0.179w     11 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     11 calls
| | | DFH: compute_J                :      0.367u      0.017s      0.029w     11 calls
| | | DFH: compute_K                :      1.667u      0.017s      0.129w     11 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     11 calls
HF: Form F                          :      0.000u      0.000s      0.001w     11 calls
HF: Form D                          :      0.000u      0.000s      0.001w     11 calls
HF: DIIS                            :      0.317u      0.083s      0.226w     10 calls
HF: Form C                          :      0.100u      0.067s      0.058w     10 calls

**************************************************************************************
