
Host: choehoyun-ui-MacBookAir.local

Timers On : Mon Aug 10 18:10:23 2026
Timers Off: Mon Aug 10 18:10:26 2026

Wall Time:        2.59 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.717u      0.000s      0.105w      1 calls
build grid                          :      0.650u      0.000s      0.067w      1 calls
post-process grid                   :      0.067u      0.000s      0.039w      1 calls
DFH: sparsity prep                  :      0.017u      0.000s      0.006w      1 calls
Libint2ERI::Libint2ERI              :      0.033u      0.000s      0.008w     10 calls
DFH: initialize()                   :      0.883u      0.067s      0.162w      1 calls
DFH: AO Construction                :      0.267u      0.000s      0.022w      1 calls
DFH: AO-Met. Contraction            :      0.383u      0.017s      0.033w      1 calls
HF: Form core H                     :      0.017u      0.000s      0.003w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      1 calls
HF: Guess                           :      0.033u      0.033s      0.017w      1 calls
SAD Guess                           :      0.033u      0.033s      0.017w      1 calls
HF: Form G                          :     16.700u      0.100s      1.283w     10 calls
RV: Form V                          :     15.700u      0.100s      1.194w     10 calls
Properties                          :      3.395p                          26550 calls
Functional                          :      0.935p                          26550 calls
V_xc                                :      5.168p                          26550 calls
JK: D                               :      0.000u      0.000s      0.000w     10 calls
JK: USO2AO                          :      0.017u      0.000s      0.003w     10 calls
JK: JK                              :      0.967u      0.000s      0.079w     10 calls
DFH: compute_JK()                   :      0.967u      0.000s      0.079w     10 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     10 calls
DFH: compute_J                      :      0.217u      0.000s      0.016w     10 calls
DFH: compute_K                      :      0.750u      0.000s      0.059w     10 calls
JK: AO2USO                          :      0.017u      0.000s      0.004w     10 calls
HF: Form F                          :      0.000u      0.000s      0.000w     10 calls
HF: Form D                          :      0.000u      0.000s      0.000w     10 calls
HF: DIIS                            :      0.283u      0.050s      0.213w      9 calls
HF: Form C                          :      0.000u      0.000s      0.006w      9 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.717u      0.000s      0.105w      1 calls
| build grid                        :      0.650u      0.000s      0.067w      1 calls
| post-process grid                 :      0.067u      0.000s      0.039w      1 calls
DFH: sparsity prep                  :      0.017u      0.000s      0.006w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.004w      1 calls
DFH: initialize()                   :      0.883u      0.067s      0.162w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.004w      9 calls
| DFH: AO Construction              :      0.267u      0.000s      0.022w      1 calls
| DFH: AO-Met. Contraction          :      0.383u      0.017s      0.033w      1 calls
HF: Form core H                     :      0.017u      0.000s      0.003w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      1 calls
HF: Guess                           :      0.033u      0.033s      0.017w      1 calls
| SAD Guess                         :      0.033u      0.033s      0.017w      1 calls
HF: Form G                          :     16.700u      0.100s      1.283w     10 calls
| RV: Form V                        :     15.700u      0.100s      1.194w     10 calls
| | Properties                      :      3.395p                          26550 calls
| | Functional                      :      0.935p                          26550 calls
| | V_xc                            :      5.168p                          26550 calls
| JK: D                             :      0.000u      0.000s      0.000w     10 calls
| JK: USO2AO                        :      0.017u      0.000s      0.003w     10 calls
| JK: JK                            :      0.967u      0.000s      0.079w     10 calls
| | DFH: compute_JK()               :      0.967u      0.000s      0.079w     10 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     10 calls
| | | DFH: compute_J                :      0.217u      0.000s      0.016w     10 calls
| | | DFH: compute_K                :      0.750u      0.000s      0.059w     10 calls
| JK: AO2USO                        :      0.017u      0.000s      0.004w     10 calls
HF: Form F                          :      0.000u      0.000s      0.000w     10 calls
HF: Form D                          :      0.000u      0.000s      0.000w     10 calls
HF: DIIS                            :      0.283u      0.050s      0.213w      9 calls
HF: Form C                          :      0.000u      0.000s      0.006w      9 calls

**************************************************************************************
