
Host: choehoyun-ui-MacBookAir.local

Timers On : Mon Aug 10 18:10:28 2026
Timers Off: Mon Aug 10 18:10:31 2026

Wall Time:        2.56 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.717u      0.000s      0.102w      1 calls
build grid                          :      0.667u      0.000s      0.063w      1 calls
post-process grid                   :      0.050u      0.000s      0.039w      1 calls
DFH: sparsity prep                  :      0.000u      0.000s      0.006w      1 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.009w     10 calls
DFH: initialize()                   :      0.883u      0.067s      0.160w      1 calls
DFH: AO Construction                :      0.267u      0.000s      0.020w      1 calls
DFH: AO-Met. Contraction            :      0.383u      0.017s      0.033w      1 calls
HF: Form core H                     :      0.017u      0.000s      0.003w      1 calls
HF: Form S/X                        :      0.017u      0.000s      0.004w      1 calls
HF: Guess                           :      0.017u      0.033s      0.017w      1 calls
SAD Guess                           :      0.017u      0.033s      0.016w      1 calls
HF: Form G                          :     15.883u      0.083s      1.237w     10 calls
RV: Form V                          :     14.933u      0.050s      1.153w     10 calls
Properties                          :      3.337p                          26680 calls
Functional                          :      0.925p                          26680 calls
V_xc                                :      4.925p                          26680 calls
JK: D                               :      0.000u      0.000s      0.000w     10 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     10 calls
JK: JK                              :      0.950u      0.017s      0.082w     10 calls
DFH: compute_JK()                   :      0.950u      0.017s      0.082w     10 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     10 calls
DFH: compute_J                      :      0.183u      0.000s      0.016w     10 calls
DFH: compute_K                      :      0.767u      0.000s      0.060w     10 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     10 calls
HF: Form F                          :      0.000u      0.000s      0.001w     10 calls
HF: Form D                          :      0.000u      0.000s      0.000w     10 calls
HF: DIIS                            :      0.300u      0.100s      0.215w      9 calls
HF: Form C                          :      0.083u      0.033s      0.033w      9 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.717u      0.000s      0.102w      1 calls
| build grid                        :      0.667u      0.000s      0.063w      1 calls
| post-process grid                 :      0.050u      0.000s      0.039w      1 calls
DFH: sparsity prep                  :      0.000u      0.000s      0.006w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.004w      1 calls
DFH: initialize()                   :      0.883u      0.067s      0.160w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.004w      9 calls
| DFH: AO Construction              :      0.267u      0.000s      0.020w      1 calls
| DFH: AO-Met. Contraction          :      0.383u      0.017s      0.033w      1 calls
HF: Form core H                     :      0.017u      0.000s      0.003w      1 calls
HF: Form S/X                        :      0.017u      0.000s      0.004w      1 calls
HF: Guess                           :      0.017u      0.033s      0.017w      1 calls
| SAD Guess                         :      0.017u      0.033s      0.016w      1 calls
HF: Form G                          :     15.883u      0.083s      1.237w     10 calls
| RV: Form V                        :     14.933u      0.050s      1.153w     10 calls
| | Properties                      :      3.337p                          26680 calls
| | Functional                      :      0.925p                          26680 calls
| | V_xc                            :      4.925p                          26680 calls
| JK: D                             :      0.000u      0.000s      0.000w     10 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     10 calls
| JK: JK                            :      0.950u      0.017s      0.082w     10 calls
| | DFH: compute_JK()               :      0.950u      0.017s      0.082w     10 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     10 calls
| | | DFH: compute_J                :      0.183u      0.000s      0.016w     10 calls
| | | DFH: compute_K                :      0.767u      0.000s      0.060w     10 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     10 calls
HF: Form F                          :      0.000u      0.000s      0.001w     10 calls
HF: Form D                          :      0.000u      0.000s      0.000w     10 calls
HF: DIIS                            :      0.300u      0.100s      0.215w      9 calls
HF: Form C                          :      0.083u      0.033s      0.033w      9 calls

**************************************************************************************
