
Host: choehoyun-ui-MacBookAir.local

Timers On : Mon Aug 10 18:10:38 2026
Timers Off: Mon Aug 10 18:10:41 2026

Wall Time:        2.43 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.733u      0.000s      0.101w      1 calls
build grid                          :      0.667u      0.000s      0.063w      1 calls
post-process grid                   :      0.067u      0.000s      0.038w      1 calls
DFH: sparsity prep                  :      0.000u      0.000s      0.006w      1 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.008w     10 calls
DFH: initialize()                   :      0.850u      0.067s      0.157w      1 calls
DFH: AO Construction                :      0.250u      0.000s      0.020w      1 calls
DFH: AO-Met. Contraction            :      0.367u      0.017s      0.031w      1 calls
HF: Form core H                     :      0.017u      0.000s      0.003w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.033u      0.033s      0.016w      1 calls
SAD Guess                           :      0.017u      0.033s      0.016w      1 calls
HF: Form G                          :     14.917u      0.033s      1.150w     10 calls
RV: Form V                          :     13.967u      0.017s      1.065w     10 calls
Properties                          :      3.053p                          26660 calls
Functional                          :      0.896p                          26660 calls
V_xc                                :      4.527p                          26660 calls
JK: D                               :      0.000u      0.000s      0.000w     10 calls
JK: USO2AO                          :      0.000u      0.000s      0.002w     10 calls
JK: JK                              :      0.950u      0.017s      0.077w     10 calls
DFH: compute_JK()                   :      0.950u      0.017s      0.077w     10 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     10 calls
DFH: compute_J                      :      0.183u      0.000s      0.015w     10 calls
DFH: compute_K                      :      0.767u      0.000s      0.058w     10 calls
JK: AO2USO                          :      0.000u      0.000s      0.003w     10 calls
HF: Form F                          :      0.000u      0.000s      0.000w     10 calls
HF: Form D                          :      0.000u      0.000s      0.000w     10 calls
HF: DIIS                            :      0.300u      0.083s      0.207w      9 calls
HF: Form C                          :      0.017u      0.000s      0.004w      9 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.733u      0.000s      0.101w      1 calls
| build grid                        :      0.667u      0.000s      0.063w      1 calls
| post-process grid                 :      0.067u      0.000s      0.038w      1 calls
DFH: sparsity prep                  :      0.000u      0.000s      0.006w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.004w      1 calls
DFH: initialize()                   :      0.850u      0.067s      0.157w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.004w      9 calls
| DFH: AO Construction              :      0.250u      0.000s      0.020w      1 calls
| DFH: AO-Met. Contraction          :      0.367u      0.017s      0.031w      1 calls
HF: Form core H                     :      0.017u      0.000s      0.003w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.033u      0.033s      0.016w      1 calls
| SAD Guess                         :      0.017u      0.033s      0.016w      1 calls
HF: Form G                          :     14.917u      0.033s      1.150w     10 calls
| RV: Form V                        :     13.967u      0.017s      1.065w     10 calls
| | Properties                      :      3.053p                          26660 calls
| | Functional                      :      0.896p                          26660 calls
| | V_xc                            :      4.527p                          26660 calls
| JK: D                             :      0.000u      0.000s      0.000w     10 calls
| JK: USO2AO                        :      0.000u      0.000s      0.002w     10 calls
| JK: JK                            :      0.950u      0.017s      0.077w     10 calls
| | DFH: compute_JK()               :      0.950u      0.017s      0.077w     10 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     10 calls
| | | DFH: compute_J                :      0.183u      0.000s      0.015w     10 calls
| | | DFH: compute_K                :      0.767u      0.000s      0.058w     10 calls
| JK: AO2USO                        :      0.000u      0.000s      0.003w     10 calls
HF: Form F                          :      0.000u      0.000s      0.000w     10 calls
HF: Form D                          :      0.000u      0.000s      0.000w     10 calls
HF: DIIS                            :      0.300u      0.083s      0.207w      9 calls
HF: Form C                          :      0.017u      0.000s      0.004w      9 calls

**************************************************************************************
