
Host: choehoyun-ui-MacBookAir.local

Timers On : Sun Aug  9 01:36:04 2026
Timers Off: Sun Aug  9 01:36:42 2026

Wall Time:       37.51 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      1.033u      0.050s      0.842w      1 calls
build grid                          :      0.883u      0.033s      0.632w      1 calls
post-process grid                   :      0.150u      0.017s      0.210w      1 calls
DFH: sparsity prep                  :      0.067u      0.017s      0.069w      1 calls
Libint2ERI::Libint2ERI              :      0.067u      0.017s      0.077w      4 calls
DFH: initialize()                   :      1.783u      0.100s      1.060w      1 calls
DFH: AO Construction                :      0.600u      0.017s      0.309w      1 calls
DFH: AO-Met. Contraction            :      0.850u      0.067s      0.503w      1 calls
HF: Form core H                     :      0.017u      0.017s      0.030w      1 calls
HF: Form S/X                        :      0.017u      0.000s      0.002w      1 calls
HF: Guess                           :      0.033u      0.017s      0.071w      1 calls
SAD Guess                           :      0.033u      0.017s      0.068w      1 calls
HF: Form G                          :     40.650u      5.383s     27.470w      9 calls
RV: Form V                          :     38.083u      4.783s     25.629w      9 calls
Properties                          :     26.145p                          20592 calls
Functional                          :      2.831p                          20592 calls
V_xc                                :     21.317p                          20592 calls
JK: D                               :      0.000u      0.000s      0.001w      9 calls
JK: USO2AO                          :      0.117u      0.017s      0.079w      9 calls
JK: JK                              :      2.333u      0.550s      1.585w      9 calls
DFH: compute_JK()                   :      2.333u      0.533s      1.583w      9 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w      9 calls
DFH: compute_J                      :      0.433u      0.483s      0.447w      9 calls
DFH: compute_K                      :      1.900u      0.033s      1.048w      9 calls
JK: AO2USO                          :      0.050u      0.017s      0.089w      9 calls
HF: Form F                          :      0.000u      0.000s      0.016w      9 calls
HF: Form D                          :      0.000u      0.000s      0.000w      9 calls
HF: DIIS                            :      0.967u      0.450s      2.552w      8 calls
HF: Form C                          :      0.000u      0.000s      0.018w      8 calls

--------------------------------------------------------------------------------------
V: Grid                             :      1.033u      0.050s      0.842w      1 calls
| build grid                        :      0.883u      0.033s      0.632w      1 calls
| post-process grid                 :      0.150u      0.017s      0.210w      1 calls
DFH: sparsity prep                  :      0.067u      0.017s      0.069w      1 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.017s      0.053w      1 calls
DFH: initialize()                   :      1.783u      0.100s      1.060w      1 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.023w      3 calls
| DFH: AO Construction              :      0.600u      0.017s      0.309w      1 calls
| DFH: AO-Met. Contraction          :      0.850u      0.067s      0.503w      1 calls
HF: Form core H                     :      0.017u      0.017s      0.030w      1 calls
HF: Form S/X                        :      0.017u      0.000s      0.002w      1 calls
HF: Guess                           :      0.033u      0.017s      0.071w      1 calls
| SAD Guess                         :      0.033u      0.017s      0.068w      1 calls
HF: Form G                          :     40.650u      5.383s     27.470w      9 calls
| RV: Form V                        :     38.083u      4.783s     25.629w      9 calls
| | Properties                      :     26.145p                          20592 calls
| | Functional                      :      2.831p                          20592 calls
| | V_xc                            :     21.317p                          20592 calls
| JK: D                             :      0.000u      0.000s      0.001w      9 calls
| JK: USO2AO                        :      0.117u      0.017s      0.079w      9 calls
| JK: JK                            :      2.333u      0.550s      1.585w      9 calls
| | DFH: compute_JK()               :      2.333u      0.533s      1.583w      9 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w      9 calls
| | | DFH: compute_J                :      0.433u      0.483s      0.447w      9 calls
| | | DFH: compute_K                :      1.900u      0.033s      1.048w      9 calls
| JK: AO2USO                        :      0.050u      0.017s      0.089w      9 calls
HF: Form F                          :      0.000u      0.000s      0.016w      9 calls
HF: Form D                          :      0.000u      0.000s      0.000w      9 calls
HF: DIIS                            :      0.967u      0.450s      2.552w      8 calls
HF: Form C                          :      0.000u      0.000s      0.018w      8 calls

**************************************************************************************
