
Host: choehoyun-ui-MacBookAir.local

Timers On : Sun Aug  9 01:36:04 2026
Timers Off: Sun Aug  9 01:44:10 2026

Wall Time:      485.72 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      2.450u      0.083s      1.597w      1 calls
build grid                          :      2.217u      0.050s      1.342w      1 calls
post-process grid                   :      0.233u      0.033s      0.254w      1 calls
DFH: sparsity prep                  :      0.167u      0.017s      0.196w      1 calls
Libint2ERI::Libint2ERI              :      0.200u      0.000s      0.248w      4 calls
DFH: initialize()                   :      7.083u      0.650s      5.812w      1 calls
DFH: AO Construction                :      1.967u      0.100s      1.557w      1 calls
DFH: AO-Met. Contraction            :      3.967u      0.433s      2.647w      1 calls
HF: Form core H                     :      0.067u      0.017s      0.069w      1 calls
HF: Form S/X                        :      0.017u      0.000s      0.033w      1 calls
HF: Guess                           :      0.050u      0.050s      0.200w      1 calls
SAD Guess                           :      0.050u      0.050s      0.185w      1 calls
HF: Form G                          :     97.550u     38.200s    455.503w     10 calls
RV: Form V                          :     90.983u     33.517s    389.483w     10 calls
Properties                          :    652.066p                          31820 calls
Functional                          :     39.936p                          31820 calls
V_xc                                :     49.948p                          31820 calls
JK: D                               :      0.000u      0.000s      0.091w     10 calls
JK: USO2AO                          :      0.033u      0.033s      0.554w     10 calls
JK: JK                              :      6.383u      4.567s     64.776w     10 calls
DFH: compute_JK()                   :      6.383u      4.550s     64.370w     10 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     10 calls
DFH: compute_J                      :      0.900u      4.133s     59.940w     10 calls
DFH: compute_K                      :      5.467u      0.350s      3.919w     10 calls
JK: AO2USO                          :      0.100u      0.050s      0.154w     10 calls
HF: Form F                          :      0.000u      0.000s      0.103w     10 calls
HF: Form D                          :      0.000u      0.000s      0.001w     10 calls
HF: DIIS                            :      0.950u      0.417s      4.158w      9 calls
HF: Form C                          :      0.133u      0.017s      0.231w      9 calls

--------------------------------------------------------------------------------------
V: Grid                             :      2.450u      0.083s      1.597w      1 calls
| build grid                        :      2.217u      0.050s      1.342w      1 calls
| post-process grid                 :      0.233u      0.033s      0.254w      1 calls
DFH: sparsity prep                  :      0.167u      0.017s      0.196w      1 calls
| Libint2ERI::Libint2ERI            :      0.100u      0.000s      0.118w      1 calls
DFH: initialize()                   :      7.083u      0.650s      5.812w      1 calls
| Libint2ERI::Libint2ERI            :      0.100u      0.000s      0.130w      3 calls
| DFH: AO Construction              :      1.967u      0.100s      1.557w      1 calls
| DFH: AO-Met. Contraction          :      3.967u      0.433s      2.647w      1 calls
HF: Form core H                     :      0.067u      0.017s      0.069w      1 calls
HF: Form S/X                        :      0.017u      0.000s      0.033w      1 calls
HF: Guess                           :      0.050u      0.050s      0.200w      1 calls
| SAD Guess                         :      0.050u      0.050s      0.185w      1 calls
HF: Form G                          :     97.550u     38.200s    455.503w     10 calls
| RV: Form V                        :     90.983u     33.517s    389.483w     10 calls
| | Properties                      :    652.066p                          31820 calls
| | Functional                      :     39.936p                          31820 calls
| | V_xc                            :     49.948p                          31820 calls
| JK: D                             :      0.000u      0.000s      0.091w     10 calls
| JK: USO2AO                        :      0.033u      0.033s      0.554w     10 calls
| JK: JK                            :      6.383u      4.567s     64.776w     10 calls
| | DFH: compute_JK()               :      6.383u      4.550s     64.370w     10 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     10 calls
| | | DFH: compute_J                :      0.900u      4.133s     59.940w     10 calls
| | | DFH: compute_K                :      5.467u      0.350s      3.919w     10 calls
| JK: AO2USO                        :      0.100u      0.050s      0.154w     10 calls
HF: Form F                          :      0.000u      0.000s      0.103w     10 calls
HF: Form D                          :      0.000u      0.000s      0.001w     10 calls
HF: DIIS                            :      0.950u      0.417s      4.158w      9 calls
HF: Form C                          :      0.133u      0.017s      0.231w      9 calls

**************************************************************************************
