
Host: choehoyun-ui-MacBookAir.local

Timers On : Sun Aug  9 01:36:04 2026
Timers Off: Sun Aug  9 01:44:15 2026

Wall Time:      490.51 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      2.467u      0.067s      1.714w      1 calls
build grid                          :      2.217u      0.033s      1.467w      1 calls
post-process grid                   :      0.250u      0.033s      0.247w      1 calls
DFH: sparsity prep                  :      0.150u      0.017s      0.101w      1 calls
Libint2ERI::Libint2ERI              :      0.200u      0.000s      0.221w      4 calls
DFH: initialize()                   :      7.100u      0.667s      6.030w      1 calls
DFH: AO Construction                :      1.983u      0.100s      1.389w      1 calls
DFH: AO-Met. Contraction            :      4.033u      0.450s      3.091w      1 calls
HF: Form core H                     :      0.033u      0.017s      0.127w      1 calls
HF: Form S/X                        :      0.100u      0.017s      0.085w      1 calls
HF: Guess                           :      0.050u      0.050s      0.404w      1 calls
SAD Guess                           :      0.050u      0.050s      0.392w      1 calls
HF: Form G                          :     96.883u     39.933s    466.105w     10 calls
RV: Form V                          :     90.483u     34.567s    398.921w     10 calls
Properties                          :    671.221p                          31110 calls
Functional                          :     45.060p                          31110 calls
V_xc                                :     47.298p                          31110 calls
JK: D                               :      0.017u      0.050s      0.252w     10 calls
JK: USO2AO                          :      0.000u      0.000s      0.009w     10 calls
JK: JK                              :      6.367u      5.283s     66.131w     10 calls
DFH: compute_JK()                   :      6.367u      5.283s     65.932w     10 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     10 calls
DFH: compute_J                      :      0.900u      4.433s     60.227w     10 calls
DFH: compute_K                      :      5.433u      0.800s      4.839w     10 calls
JK: AO2USO                          :      0.000u      0.000s      0.001w     10 calls
HF: Form F                          :      0.017u      0.000s      0.127w     10 calls
HF: Form D                          :      0.000u      0.000s      0.007w     10 calls
HF: DIIS                            :      1.083u      0.600s      5.400w      9 calls
HF: Form C                          :      0.483u      0.083s      0.828w      9 calls

--------------------------------------------------------------------------------------
V: Grid                             :      2.467u      0.067s      1.714w      1 calls
| build grid                        :      2.217u      0.033s      1.467w      1 calls
| post-process grid                 :      0.250u      0.033s      0.247w      1 calls
DFH: sparsity prep                  :      0.150u      0.017s      0.101w      1 calls
| Libint2ERI::Libint2ERI            :      0.100u      0.000s      0.060w      1 calls
DFH: initialize()                   :      7.100u      0.667s      6.030w      1 calls
| Libint2ERI::Libint2ERI            :      0.100u      0.000s      0.161w      3 calls
| DFH: AO Construction              :      1.983u      0.100s      1.389w      1 calls
| DFH: AO-Met. Contraction          :      4.033u      0.450s      3.091w      1 calls
HF: Form core H                     :      0.033u      0.017s      0.127w      1 calls
HF: Form S/X                        :      0.100u      0.017s      0.085w      1 calls
HF: Guess                           :      0.050u      0.050s      0.404w      1 calls
| SAD Guess                         :      0.050u      0.050s      0.392w      1 calls
HF: Form G                          :     96.883u     39.933s    466.105w     10 calls
| RV: Form V                        :     90.483u     34.567s    398.921w     10 calls
| | Properties                      :    671.221p                          31110 calls
| | Functional                      :     45.060p                          31110 calls
| | V_xc                            :     47.298p                          31110 calls
| JK: D                             :      0.017u      0.050s      0.252w     10 calls
| JK: USO2AO                        :      0.000u      0.000s      0.009w     10 calls
| JK: JK                            :      6.367u      5.283s     66.131w     10 calls
| | DFH: compute_JK()               :      6.367u      5.283s     65.932w     10 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     10 calls
| | | DFH: compute_J                :      0.900u      4.433s     60.227w     10 calls
| | | DFH: compute_K                :      5.433u      0.800s      4.839w     10 calls
| JK: AO2USO                        :      0.000u      0.000s      0.001w     10 calls
HF: Form F                          :      0.017u      0.000s      0.127w     10 calls
HF: Form D                          :      0.000u      0.000s      0.007w     10 calls
HF: DIIS                            :      1.083u      0.600s      5.400w      9 calls
HF: Form C                          :      0.483u      0.083s      0.828w      9 calls

**************************************************************************************
