
Host: choehoyun-ui-MacBookAir.local

Timers On : Sun Aug  9 02:02:06 2026
Timers Off: Sun Aug  9 02:02:13 2026

Wall Time:        7.44 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      1.033u      0.017s      0.142w      1 calls
build grid                          :      0.950u      0.017s      0.089w      1 calls
post-process grid                   :      0.083u      0.000s      0.053w      1 calls
DFH: sparsity prep                  :      0.050u      0.000s      0.028w      1 calls
Libint2ERI::Libint2ERI              :      0.067u      0.000s      0.038w     10 calls
DFH: initialize()                   :      3.100u      0.900s      0.596w      1 calls
DFH: AO Construction                :      0.733u      0.000s      0.159w     20 calls
DFH: AO-Met. Contraction            :      1.950u      0.833s      0.253w     20 calls
HF: Form core H                     :      0.050u      0.017s      0.007w      1 calls
HF: Form S/X                        :      0.050u      0.017s      0.023w      1 calls
HF: Guess                           :      0.033u      0.033s      0.020w      1 calls
SAD Guess                           :      0.033u      0.033s      0.020w      1 calls
HF: Form G                          :     69.250u      0.217s      5.284w     11 calls
RV: Form V                          :     63.617u      0.217s      4.832w     11 calls
Properties                          :     18.465p                          34067 calls
Functional                          :      1.225p                          34067 calls
V_xc                                :     18.867p                          34067 calls
JK: D                               :      0.000u      0.000s      0.001w     11 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     11 calls
JK: JK                              :      5.617u      0.000s      0.449w     11 calls
DFH: compute_JK()                   :      5.617u      0.000s      0.449w     11 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     22 calls
DFH: compute_J                      :      1.000u      0.000s      0.080w     22 calls
DFH: compute_K                      :      4.617u      0.000s      0.355w     22 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     11 calls
HF: Form F                          :      0.000u      0.000s      0.001w     11 calls
HF: Form D                          :      0.000u      0.000s      0.001w     11 calls
HF: DIIS                            :      0.433u      0.167s      0.233w     10 calls
HF: Form C                          :      0.417u      0.217s      0.234w     10 calls

--------------------------------------------------------------------------------------
V: Grid                             :      1.033u      0.017s      0.142w      1 calls
| build grid                        :      0.950u      0.017s      0.089w      1 calls
| post-process grid                 :      0.083u      0.000s      0.053w      1 calls
DFH: sparsity prep                  :      0.050u      0.000s      0.028w      1 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.019w      1 calls
DFH: initialize()                   :      3.100u      0.900s      0.596w      1 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.019w      9 calls
| DFH: AO Construction              :      0.733u      0.000s      0.159w     20 calls
| DFH: AO-Met. Contraction          :      1.950u      0.833s      0.253w     20 calls
HF: Form core H                     :      0.050u      0.017s      0.007w      1 calls
HF: Form S/X                        :      0.050u      0.017s      0.023w      1 calls
HF: Guess                           :      0.033u      0.033s      0.020w      1 calls
| SAD Guess                         :      0.033u      0.033s      0.020w      1 calls
HF: Form G                          :     69.250u      0.217s      5.284w     11 calls
| RV: Form V                        :     63.617u      0.217s      4.832w     11 calls
| | Properties                      :     18.465p                          34067 calls
| | Functional                      :      1.225p                          34067 calls
| | V_xc                            :     18.867p                          34067 calls
| JK: D                             :      0.000u      0.000s      0.001w     11 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     11 calls
| JK: JK                            :      5.617u      0.000s      0.449w     11 calls
| | DFH: compute_JK()               :      5.617u      0.000s      0.449w     11 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     22 calls
| | | DFH: compute_J                :      1.000u      0.000s      0.080w     22 calls
| | | DFH: compute_K                :      4.617u      0.000s      0.355w     22 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     11 calls
HF: Form F                          :      0.000u      0.000s      0.001w     11 calls
HF: Form D                          :      0.000u      0.000s      0.001w     11 calls
HF: DIIS                            :      0.433u      0.167s      0.233w     10 calls
HF: Form C                          :      0.417u      0.217s      0.234w     10 calls

**************************************************************************************
