
Host: choehoyun-ui-MacBookAir.local

Timers On : Sun Aug  9 02:00:53 2026
Timers Off: Sun Aug  9 02:01:01 2026

Wall Time:        8.13 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      1.050u      0.000s      0.147w      1 calls
build grid                          :      0.967u      0.000s      0.093w      1 calls
post-process grid                   :      0.083u      0.000s      0.053w      1 calls
Libint2ERI::Libint2ERI              :      0.067u      0.000s      0.047w     10 calls
JK: (A|Q)^-1                        :      0.350u      0.117s      0.151w      1 calls
JK: (A|mn)                          :      0.950u      0.067s      0.078w      1 calls
JK: (Q|mn)                          :      2.583u      0.017s      0.226w      1 calls
JK: (Q|mn) Write                    :      0.000u      0.017s      0.015w      1 calls
HF: Form core H                     :      0.067u      0.017s      0.009w      1 calls
HF: Form S/X                        :      0.017u      0.000s      0.008w      1 calls
HF: Guess                           :      0.033u      0.033s      0.021w      1 calls
SAD Guess                           :      0.033u      0.033s      0.020w      1 calls
HF: Form G                          :     79.000u      0.683s      6.260w     11 calls
RV: Form V                          :     68.450u      0.167s      5.189w     11 calls
Properties                          :     20.506p                          33858 calls
Functional                          :      1.214p                          33858 calls
V_xc                                :     19.655p                          33858 calls
JK: D                               :      0.000u      0.000s      0.000w     11 calls
JK: USO2AO                          :      0.083u      0.000s      0.008w     11 calls
JK: JK                              :     10.233u      0.483s      1.041w     11 calls
JK: (Q|mn) Read                     :      0.000u      0.283s      0.195w     22 calls
JK: J                               :      0.483u      0.033s      0.061w     22 calls
JK: J1                              :      0.233u      0.033s      0.031w     22 calls
JK: J2                              :      0.250u      0.000s      0.028w     22 calls
JK: K                               :      9.700u      0.067s      0.746w     22 calls
JK: K1                              :      6.983u      0.067s      0.536w     22 calls
JK: K2                              :      2.717u      0.000s      0.210w     22 calls
JK: AO2USO                          :      0.133u      0.000s      0.013w     11 calls
HF: Form F                          :      0.000u      0.000s      0.001w     11 calls
HF: Form D                          :      0.000u      0.000s      0.000w     11 calls
HF: DIIS                            :      0.350u      0.083s      0.226w     10 calls
HF: Form C                          :      0.133u      0.133s      0.078w     10 calls

--------------------------------------------------------------------------------------
V: Grid                             :      1.050u      0.000s      0.147w      1 calls
| build grid                        :      0.967u      0.000s      0.093w      1 calls
| post-process grid                 :      0.083u      0.000s      0.053w      1 calls
Libint2ERI::Libint2ERI              :      0.067u      0.000s      0.046w      2 calls
JK: (A|Q)^-1                        :      0.350u      0.117s      0.151w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.001w      8 calls
JK: (A|mn)                          :      0.950u      0.067s      0.078w      1 calls
JK: (Q|mn)                          :      2.583u      0.017s      0.226w      1 calls
JK: (Q|mn) Write                    :      0.000u      0.017s      0.015w      1 calls
HF: Form core H                     :      0.067u      0.017s      0.009w      1 calls
HF: Form S/X                        :      0.017u      0.000s      0.008w      1 calls
HF: Guess                           :      0.033u      0.033s      0.021w      1 calls
| SAD Guess                         :      0.033u      0.033s      0.020w      1 calls
HF: Form G                          :     79.000u      0.683s      6.260w     11 calls
| RV: Form V                        :     68.450u      0.167s      5.189w     11 calls
| | Properties                      :     20.506p                          33858 calls
| | Functional                      :      1.214p                          33858 calls
| | V_xc                            :     19.655p                          33858 calls
| JK: D                             :      0.000u      0.000s      0.000w     11 calls
| JK: USO2AO                        :      0.083u      0.000s      0.008w     11 calls
| JK: JK                            :     10.233u      0.483s      1.041w     11 calls
| | JK: (Q|mn) Read                 :      0.000u      0.283s      0.195w     22 calls
| | JK: J                           :      0.483u      0.033s      0.061w     22 calls
| | | JK: J1                        :      0.233u      0.033s      0.031w     22 calls
| | | JK: J2                        :      0.250u      0.000s      0.028w     22 calls
| | JK: K                           :      9.700u      0.067s      0.746w     22 calls
| | | JK: K1                        :      6.983u      0.067s      0.536w     22 calls
| | | JK: K2                        :      2.717u      0.000s      0.210w     22 calls
| JK: AO2USO                        :      0.133u      0.000s      0.013w     11 calls
HF: Form F                          :      0.000u      0.000s      0.001w     11 calls
HF: Form D                          :      0.000u      0.000s      0.000w     11 calls
HF: DIIS                            :      0.350u      0.083s      0.226w     10 calls
HF: Form C                          :      0.133u      0.133s      0.078w     10 calls

**************************************************************************************

Host: choehoyun-ui-MacBookAir.local

Timers On : Sun Aug  9 02:02:16 2026
Timers Off: Sun Aug  9 02:02:23 2026

Wall Time:        7.58 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      1.100u      0.000s      0.148w      1 calls
build grid                          :      1.017u      0.000s      0.094w      1 calls
post-process grid                   :      0.083u      0.000s      0.053w      1 calls
DFH: sparsity prep                  :      0.050u      0.000s      0.029w      1 calls
Libint2ERI::Libint2ERI              :      0.067u      0.000s      0.038w     10 calls
DFH: initialize()                   :      3.150u      0.867s      0.606w      1 calls
DFH: AO Construction                :      0.783u      0.017s      0.170w     21 calls
DFH: AO-Met. Contraction            :      1.983u      0.783s      0.259w     21 calls
HF: Form core H                     :      0.067u      0.017s      0.008w      1 calls
HF: Form S/X                        :      0.017u      0.017s      0.008w      1 calls
HF: Guess                           :      0.033u      0.017s      0.021w      1 calls
SAD Guess                           :      0.033u      0.017s      0.020w      1 calls
HF: Form G                          :     73.250u      0.267s      5.582w     11 calls
RV: Form V                          :     67.300u      0.233s      5.099w     11 calls
Properties                          :     19.246p                          33858 calls
Functional                          :      1.243p                          33858 calls
V_xc                                :     20.150p                          33858 calls
JK: D                               :      0.000u      0.000s      0.000w     11 calls
JK: USO2AO                          :      0.067u      0.000s      0.007w     11 calls
JK: JK                              :      5.700u      0.033s      0.455w     11 calls
DFH: compute_JK()                   :      5.700u      0.033s      0.454w     11 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     22 calls
DFH: compute_J                      :      1.033u      0.033s      0.081w     22 calls
DFH: compute_K                      :      4.650u      0.000s      0.359w     22 calls
JK: AO2USO                          :      0.117u      0.000s      0.012w     11 calls
HF: Form F                          :      0.000u      0.000s      0.001w     11 calls
HF: Form D                          :      0.000u      0.000s      0.000w     11 calls
HF: DIIS                            :      0.333u      0.067s      0.225w     10 calls
HF: Form C                          :      0.117u      0.150s      0.079w     10 calls

--------------------------------------------------------------------------------------
V: Grid                             :      1.100u      0.000s      0.148w      1 calls
| build grid                        :      1.017u      0.000s      0.094w      1 calls
| post-process grid                 :      0.083u      0.000s      0.053w      1 calls
DFH: sparsity prep                  :      0.050u      0.000s      0.029w      1 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.019w      1 calls
DFH: initialize()                   :      3.150u      0.867s      0.606w      1 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.019w      9 calls
| DFH: AO Construction              :      0.783u      0.017s      0.170w     21 calls
| DFH: AO-Met. Contraction          :      1.983u      0.783s      0.259w     21 calls
HF: Form core H                     :      0.067u      0.017s      0.008w      1 calls
HF: Form S/X                        :      0.017u      0.017s      0.008w      1 calls
HF: Guess                           :      0.033u      0.017s      0.021w      1 calls
| SAD Guess                         :      0.033u      0.017s      0.020w      1 calls
HF: Form G                          :     73.250u      0.267s      5.582w     11 calls
| RV: Form V                        :     67.300u      0.233s      5.099w     11 calls
| | Properties                      :     19.246p                          33858 calls
| | Functional                      :      1.243p                          33858 calls
| | V_xc                            :     20.150p                          33858 calls
| JK: D                             :      0.000u      0.000s      0.000w     11 calls
| JK: USO2AO                        :      0.067u      0.000s      0.007w     11 calls
| JK: JK                            :      5.700u      0.033s      0.455w     11 calls
| | DFH: compute_JK()               :      5.700u      0.033s      0.454w     11 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     22 calls
