
Host: choehoyun-ui-MacBookAir.local

Timers On : Sun Aug  9 02:02:26 2026
Timers Off: Sun Aug  9 02:02:33 2026

Wall Time:        7.72 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      1.100u      0.017s      0.150w      1 calls
build grid                          :      0.983u      0.000s      0.094w      1 calls
post-process grid                   :      0.100u      0.017s      0.056w      1 calls
DFH: sparsity prep                  :      0.050u      0.000s      0.029w      1 calls
Libint2ERI::Libint2ERI              :      0.067u      0.000s      0.039w     10 calls
DFH: initialize()                   :      3.050u      0.800s      0.591w      1 calls
DFH: AO Construction                :      0.783u      0.000s      0.163w     21 calls
DFH: AO-Met. Contraction            :      1.867u      0.733s      0.243w     21 calls
HF: Form core H                     :      0.067u      0.000s      0.008w      1 calls
HF: Form S/X                        :      0.017u      0.017s      0.008w      1 calls
HF: Guess                           :      0.033u      0.033s      0.021w      1 calls
SAD Guess                           :      0.033u      0.033s      0.020w      1 calls
HF: Form G                          :     74.933u      0.217s      5.724w     11 calls
RV: Form V                          :     69.083u      0.133s      5.240w     11 calls
Properties                          :     20.201p                          33484 calls
Functional                          :      1.273p                          33484 calls
V_xc                                :     20.312p                          33484 calls
JK: D                               :      0.000u      0.000s      0.000w     11 calls
JK: USO2AO                          :      0.017u      0.017s      0.007w     11 calls
JK: JK                              :      5.683u      0.050s      0.455w     11 calls
DFH: compute_JK()                   :      5.683u      0.050s      0.455w     11 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     22 calls
DFH: compute_J                      :      0.983u      0.000s      0.079w     22 calls
DFH: compute_K                      :      4.700u      0.000s      0.360w     22 calls
JK: AO2USO                          :      0.100u      0.017s      0.013w     11 calls
HF: Form F                          :      0.000u      0.000s      0.001w     11 calls
HF: Form D                          :      0.000u      0.000s      0.000w     11 calls
HF: DIIS                            :      0.367u      0.083s      0.223w     10 calls
HF: Form C                          :      0.117u      0.133s      0.080w     10 calls

--------------------------------------------------------------------------------------
V: Grid                             :      1.100u      0.017s      0.150w      1 calls
| build grid                        :      0.983u      0.000s      0.094w      1 calls
| post-process grid                 :      0.100u      0.017s      0.056w      1 calls
DFH: sparsity prep                  :      0.050u      0.000s      0.029w      1 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.020w      1 calls
DFH: initialize()                   :      3.050u      0.800s      0.591w      1 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.019w      9 calls
| DFH: AO Construction              :      0.783u      0.000s      0.163w     21 calls
| DFH: AO-Met. Contraction          :      1.867u      0.733s      0.243w     21 calls
HF: Form core H                     :      0.067u      0.000s      0.008w      1 calls
HF: Form S/X                        :      0.017u      0.017s      0.008w      1 calls
HF: Guess                           :      0.033u      0.033s      0.021w      1 calls
| SAD Guess                         :      0.033u      0.033s      0.020w      1 calls
HF: Form G                          :     74.933u      0.217s      5.724w     11 calls
| RV: Form V                        :     69.083u      0.133s      5.240w     11 calls
| | Properties                      :     20.201p                          33484 calls
| | Functional                      :      1.273p                          33484 calls
| | V_xc                            :     20.312p                          33484 calls
| JK: D                             :      0.000u      0.000s      0.000w     11 calls
| JK: USO2AO                        :      0.017u      0.017s      0.007w     11 calls
| JK: JK                            :      5.683u      0.050s      0.455w     11 calls
| | DFH: compute_JK()               :      5.683u      0.050s      0.455w     11 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     22 calls
| | | DFH: compute_J                :      0.983u      0.000s      0.079w     22 calls
| | | DFH: compute_K                :      4.700u      0.000s      0.360w     22 calls
| JK: AO2USO                        :      0.100u      0.017s      0.013w     11 calls
HF: Form F                          :      0.000u      0.000s      0.001w     11 calls
HF: Form D                          :      0.000u      0.000s      0.000w     11 calls
HF: DIIS                            :      0.367u      0.083s      0.223w     10 calls
HF: Form C                          :      0.117u      0.133s      0.080w     10 calls

**************************************************************************************
