
Host: choehoyun-ui-MacBookAir.local

Timers On : Sun Aug  9 01:44:16 2026
Timers Off: Sun Aug  9 01:45:15 2026

Wall Time:       59.43 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.883u      0.067s      0.360w      1 calls
build grid                          :      0.783u      0.033s      0.272w      1 calls
post-process grid                   :      0.100u      0.033s      0.084w      1 calls
DFH: sparsity prep                  :      0.050u      0.017s      0.262w      1 calls
Libint2ERI::Libint2ERI              :      0.067u      0.017s      0.272w      4 calls
DFH: initialize()                   :      2.767u      4.550s      4.189w      1 calls
DFH: AO Construction                :      0.717u      0.050s      0.265w      1 calls
DFH: AO-Met. Contraction            :      1.700u      4.450s      3.537w      1 calls
HF: Form core H                     :      0.017u      0.000s      0.203w      1 calls
HF: Form S/X                        :      0.033u      0.017s      0.144w      1 calls
HF: Guess                           :      0.033u      0.017s      0.497w      1 calls
SAD Guess                           :      0.033u      0.017s      0.421w      1 calls
HF: Form G                          :     28.317u     13.583s     21.325w      9 calls
RV: Form V                          :     25.867u     11.100s     17.188w      9 calls
Properties                          :     23.892p                          28197 calls
Functional                          :      1.569p                          28197 calls
V_xc                                :      8.500p                          28197 calls
JK: D                               :      0.017u      0.000s      0.030w      9 calls
JK: USO2AO                          :      0.000u      0.000s      0.003w      9 calls
JK: JK                              :      2.433u      2.467s      3.774w      9 calls
DFH: compute_JK()                   :      2.433u      2.467s      3.755w      9 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w      9 calls
DFH: compute_J                      :      0.467u      2.017s      2.816w      9 calls
DFH: compute_K                      :      1.950u      0.417s      0.876w      9 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w      9 calls
HF: Form F                          :      0.000u      0.000s      0.048w      9 calls
HF: Form D                          :      0.000u      0.000s      0.001w      9 calls
HF: DIIS                            :      0.400u      0.300s      4.247w      8 calls
HF: Form C                          :      0.217u      0.033s      0.310w      8 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.883u      0.067s      0.360w      1 calls
| build grid                        :      0.783u      0.033s      0.272w      1 calls
| post-process grid                 :      0.100u      0.033s      0.084w      1 calls
DFH: sparsity prep                  :      0.050u      0.017s      0.262w      1 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.017s      0.245w      1 calls
DFH: initialize()                   :      2.767u      4.550s      4.189w      1 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.026w      3 calls
| DFH: AO Construction              :      0.717u      0.050s      0.265w      1 calls
| DFH: AO-Met. Contraction          :      1.700u      4.450s      3.537w      1 calls
HF: Form core H                     :      0.017u      0.000s      0.203w      1 calls
HF: Form S/X                        :      0.033u      0.017s      0.144w      1 calls
HF: Guess                           :      0.033u      0.017s      0.497w      1 calls
| SAD Guess                         :      0.033u      0.017s      0.421w      1 calls
HF: Form G                          :     28.317u     13.583s     21.325w      9 calls
| RV: Form V                        :     25.867u     11.100s     17.188w      9 calls
| | Properties                      :     23.892p                          28197 calls
| | Functional                      :      1.569p                          28197 calls
| | V_xc                            :      8.500p                          28197 calls
| JK: D                             :      0.017u      0.000s      0.030w      9 calls
| JK: USO2AO                        :      0.000u      0.000s      0.003w      9 calls
| JK: JK                            :      2.433u      2.467s      3.774w      9 calls
| | DFH: compute_JK()               :      2.433u      2.467s      3.755w      9 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w      9 calls
| | | DFH: compute_J                :      0.467u      2.017s      2.816w      9 calls
| | | DFH: compute_K                :      1.950u      0.417s      0.876w      9 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w      9 calls
HF: Form F                          :      0.000u      0.000s      0.048w      9 calls
HF: Form D                          :      0.000u      0.000s      0.001w      9 calls
HF: DIIS                            :      0.400u      0.300s      4.247w      8 calls
HF: Form C                          :      0.217u      0.033s      0.310w      8 calls

**************************************************************************************
