
Host: choehoyun-ui-MacBookAir.local

Timers On : Sun Aug  9 01:45:18 2026
Timers Off: Sun Aug  9 01:46:02 2026

Wall Time:       43.83 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.767u      0.050s      0.313w      1 calls
build grid                          :      0.683u      0.033s      0.245w      1 calls
post-process grid                   :      0.083u      0.017s      0.066w      1 calls
DFH: sparsity prep                  :      0.050u      0.000s      0.125w      1 calls
Libint2ERI::Libint2ERI              :      0.067u      0.000s      0.134w      4 calls
DFH: initialize()                   :      2.367u      0.283s      1.092w      1 calls
DFH: AO Construction                :      0.700u      0.050s      0.281w      1 calls
DFH: AO-Met. Contraction            :      1.367u      0.200s      0.605w      1 calls
HF: Form core H                     :      0.033u      0.017s      0.191w      1 calls
HF: Form S/X                        :      0.017u      0.033s      0.270w      1 calls
HF: Guess                           :      0.033u      0.083s      1.116w      1 calls
SAD Guess                           :      0.033u      0.067s      0.869w      1 calls
HF: Form G                          :     32.300u     10.567s     19.621w     10 calls
RV: Form V                          :     29.500u      8.483s     13.821w     10 calls
Properties                          :     16.107p                          31030 calls
Functional                          :      1.824p                          31030 calls
V_xc                                :      9.389p                          31030 calls
JK: D                               :      0.000u      0.000s      0.045w     10 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     10 calls
JK: JK                              :      2.800u      2.067s      5.375w     10 calls
DFH: compute_JK()                   :      2.800u      2.067s      5.331w     10 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     10 calls
DFH: compute_J                      :      0.567u      1.683s      1.072w     10 calls
DFH: compute_K                      :      2.233u      0.317s      2.423w     10 calls
JK: AO2USO                          :      0.000u      0.000s      0.003w     10 calls
HF: Form F                          :      0.000u      0.017s      0.011w     10 calls
HF: Form D                          :      0.000u      0.000s      0.003w     10 calls
HF: DIIS                            :      0.400u      0.267s      4.260w      9 calls
HF: Form C                          :      0.267u      0.017s      0.299w      9 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.767u      0.050s      0.313w      1 calls
| build grid                        :      0.683u      0.033s      0.245w      1 calls
| post-process grid                 :      0.083u      0.017s      0.066w      1 calls
DFH: sparsity prep                  :      0.050u      0.000s      0.125w      1 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.114w      1 calls
DFH: initialize()                   :      2.367u      0.283s      1.092w      1 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.020w      3 calls
| DFH: AO Construction              :      0.700u      0.050s      0.281w      1 calls
| DFH: AO-Met. Contraction          :      1.367u      0.200s      0.605w      1 calls
HF: Form core H                     :      0.033u      0.017s      0.191w      1 calls
HF: Form S/X                        :      0.017u      0.033s      0.270w      1 calls
HF: Guess                           :      0.033u      0.083s      1.116w      1 calls
| SAD Guess                         :      0.033u      0.067s      0.869w      1 calls
HF: Form G                          :     32.300u     10.567s     19.621w     10 calls
| RV: Form V                        :     29.500u      8.483s     13.821w     10 calls
| | Properties                      :     16.107p                          31030 calls
| | Functional                      :      1.824p                          31030 calls
| | V_xc                            :      9.389p                          31030 calls
| JK: D                             :      0.000u      0.000s      0.045w     10 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     10 calls
| JK: JK                            :      2.800u      2.067s      5.375w     10 calls
| | DFH: compute_JK()               :      2.800u      2.067s      5.331w     10 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     10 calls
| | | DFH: compute_J                :      0.567u      1.683s      1.072w     10 calls
| | | DFH: compute_K                :      2.233u      0.317s      2.423w     10 calls
| JK: AO2USO                        :      0.000u      0.000s      0.003w     10 calls
HF: Form F                          :      0.000u      0.017s      0.011w     10 calls
HF: Form D                          :      0.000u      0.000s      0.003w     10 calls
HF: DIIS                            :      0.400u      0.267s      4.260w      9 calls
HF: Form C                          :      0.267u      0.017s      0.299w      9 calls

**************************************************************************************
