
Host: choehoyun-ui-MacBookAir.local

Timers On : Sun Aug  9 01:46:04 2026
Timers Off: Sun Aug  9 01:47:04 2026

Wall Time:       59.39 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.800u      0.050s      0.322w      1 calls
build grid                          :      0.700u      0.033s      0.248w      1 calls
post-process grid                   :      0.100u      0.017s      0.073w      1 calls
DFH: sparsity prep                  :      0.067u      0.017s      0.127w      1 calls
Libint2ERI::Libint2ERI              :      0.100u      0.017s      0.143w      4 calls
DFH: initialize()                   :      3.483u      0.967s      2.508w      1 calls
DFH: AO Construction                :      1.083u      0.117s      0.574w      1 calls
DFH: AO-Met. Contraction            :      1.867u      0.750s      1.510w      1 calls
HF: Form core H                     :      0.017u      0.000s      0.270w      1 calls
HF: Form S/X                        :      0.033u      0.017s      0.140w      1 calls
HF: Guess                           :      0.033u      0.017s      0.368w      1 calls
SAD Guess                           :      0.033u      0.017s      0.330w      1 calls
HF: Form G                          :     38.533u     14.050s     23.164w     10 calls
RV: Form V                          :     35.100u     10.983s     18.959w     10 calls
Properties                          :     23.092p                          31330 calls
Functional                          :      2.243p                          31330 calls
V_xc                                :     11.890p                          31330 calls
JK: D                               :      0.017u      0.017s      0.051w     10 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     10 calls
JK: JK                              :      3.417u      3.017s      3.934w     10 calls
DFH: compute_JK()                   :      3.417u      3.000s      3.913w     10 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     10 calls
DFH: compute_J                      :      0.583u      2.483s      1.781w     10 calls
DFH: compute_K                      :      2.833u      0.450s      1.577w     10 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     10 calls
HF: Form F                          :      0.000u      0.017s      0.028w     10 calls
HF: Form D                          :      0.000u      0.000s      0.002w     10 calls
HF: DIIS                            :      0.450u      0.283s      9.910w      9 calls
HF: Form C                          :      0.267u      0.033s      0.289w      9 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.800u      0.050s      0.322w      1 calls
| build grid                        :      0.700u      0.033s      0.248w      1 calls
| post-process grid                 :      0.100u      0.017s      0.073w      1 calls
DFH: sparsity prep                  :      0.067u      0.017s      0.127w      1 calls
| Libint2ERI::Libint2ERI            :      0.050u      0.017s      0.108w      1 calls
DFH: initialize()                   :      3.483u      0.967s      2.508w      1 calls
| Libint2ERI::Libint2ERI            :      0.050u      0.000s      0.034w      3 calls
| DFH: AO Construction              :      1.083u      0.117s      0.574w      1 calls
| DFH: AO-Met. Contraction          :      1.867u      0.750s      1.510w      1 calls
HF: Form core H                     :      0.017u      0.000s      0.270w      1 calls
HF: Form S/X                        :      0.033u      0.017s      0.140w      1 calls
HF: Guess                           :      0.033u      0.017s      0.368w      1 calls
| SAD Guess                         :      0.033u      0.017s      0.330w      1 calls
HF: Form G                          :     38.533u     14.050s     23.164w     10 calls
| RV: Form V                        :     35.100u     10.983s     18.959w     10 calls
| | Properties                      :     23.092p                          31330 calls
| | Functional                      :      2.243p                          31330 calls
| | V_xc                            :     11.890p                          31330 calls
| JK: D                             :      0.017u      0.017s      0.051w     10 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w     10 calls
| JK: JK                            :      3.417u      3.017s      3.934w     10 calls
| | DFH: compute_JK()               :      3.417u      3.000s      3.913w     10 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     10 calls
| | | DFH: compute_J                :      0.583u      2.483s      1.781w     10 calls
| | | DFH: compute_K                :      2.833u      0.450s      1.577w     10 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     10 calls
HF: Form F                          :      0.000u      0.017s      0.028w     10 calls
HF: Form D                          :      0.000u      0.000s      0.002w     10 calls
HF: DIIS                            :      0.450u      0.283s      9.910w      9 calls
HF: Form C                          :      0.267u      0.033s      0.289w      9 calls

**************************************************************************************
