
Host: choehoyun-ui-MacBookAir.local

Timers On : Sun Aug  9 01:47:05 2026
Timers Off: Sun Aug  9 01:47:43 2026

Wall Time:       38.09 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.750u      0.033s      0.287w      1 calls
build grid                          :      0.650u      0.017s      0.219w      1 calls
post-process grid                   :      0.100u      0.017s      0.068w      1 calls
DFH: sparsity prep                  :      0.050u      0.017s      0.122w      1 calls
Libint2ERI::Libint2ERI              :      0.067u      0.017s      0.130w      4 calls
DFH: initialize()                   :      2.267u      0.283s      1.389w      1 calls
DFH: AO Construction                :      0.617u      0.033s      0.212w      1 calls
DFH: AO-Met. Contraction            :      1.333u      0.217s      0.573w      1 calls
HF: Form core H                     :      0.033u      0.017s      0.399w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.066w      1 calls
HF: Guess                           :      0.033u      0.033s      0.361w      1 calls
SAD Guess                           :      0.033u      0.033s      0.322w      1 calls
HF: Form G                          :     28.900u     10.617s     20.279w      9 calls
RV: Form V                          :     26.283u      8.483s     16.585w      9 calls
Properties                          :     16.915p                          28098 calls
Functional                          :      7.360p                          28098 calls
V_xc                                :      8.400p                          28098 calls
JK: D                               :      0.000u      0.000s      0.025w      9 calls
JK: USO2AO                          :      0.050u      0.000s      0.199w      9 calls
JK: JK                              :      2.533u      2.117s      3.189w      9 calls
DFH: compute_JK()                   :      2.533u      2.117s      3.164w      9 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w      9 calls
DFH: compute_J                      :      0.483u      1.533s      0.837w      9 calls
DFH: compute_K                      :      2.033u      0.500s      0.903w      9 calls
JK: AO2USO                          :      0.033u      0.017s      0.018w      9 calls
HF: Form F                          :      0.000u      0.000s      0.015w      9 calls
HF: Form D                          :      0.000u      0.000s      0.001w      9 calls
HF: DIIS                            :      0.383u      0.250s      3.716w      8 calls
HF: Form C                          :      0.050u      0.000s      0.164w      8 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.750u      0.033s      0.287w      1 calls
| build grid                        :      0.650u      0.017s      0.219w      1 calls
| post-process grid                 :      0.100u      0.017s      0.068w      1 calls
DFH: sparsity prep                  :      0.050u      0.017s      0.122w      1 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.017s      0.109w      1 calls
DFH: initialize()                   :      2.267u      0.283s      1.389w      1 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.021w      3 calls
| DFH: AO Construction              :      0.617u      0.033s      0.212w      1 calls
| DFH: AO-Met. Contraction          :      1.333u      0.217s      0.573w      1 calls
HF: Form core H                     :      0.033u      0.017s      0.399w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.066w      1 calls
HF: Guess                           :      0.033u      0.033s      0.361w      1 calls
| SAD Guess                         :      0.033u      0.033s      0.322w      1 calls
HF: Form G                          :     28.900u     10.617s     20.279w      9 calls
| RV: Form V                        :     26.283u      8.483s     16.585w      9 calls
| | Properties                      :     16.915p                          28098 calls
| | Functional                      :      7.360p                          28098 calls
| | V_xc                            :      8.400p                          28098 calls
| JK: D                             :      0.000u      0.000s      0.025w      9 calls
| JK: USO2AO                        :      0.050u      0.000s      0.199w      9 calls
| JK: JK                            :      2.533u      2.117s      3.189w      9 calls
| | DFH: compute_JK()               :      2.533u      2.117s      3.164w      9 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w      9 calls
| | | DFH: compute_J                :      0.483u      1.533s      0.837w      9 calls
| | | DFH: compute_K                :      2.033u      0.500s      0.903w      9 calls
| JK: AO2USO                        :      0.033u      0.017s      0.018w      9 calls
HF: Form F                          :      0.000u      0.000s      0.015w      9 calls
HF: Form D                          :      0.000u      0.000s      0.001w      9 calls
HF: DIIS                            :      0.383u      0.250s      3.716w      8 calls
HF: Form C                          :      0.050u      0.000s      0.164w      8 calls

**************************************************************************************
