
Host: choehoyun-ui-MacBookAir.local

Timers On : Sun Aug  9 02:02:56 2026
Timers Off: Sun Aug  9 02:03:04 2026

Wall Time:        7.98 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      1.100u      0.000s      0.149w      1 calls
build grid                          :      1.017u      0.000s      0.095w      1 calls
post-process grid                   :      0.083u      0.000s      0.054w      1 calls
DFH: sparsity prep                  :      0.050u      0.000s      0.029w      1 calls
Libint2ERI::Libint2ERI              :      0.067u      0.000s      0.039w     10 calls
DFH: initialize()                   :      3.183u      0.883s      0.612w      1 calls
DFH: AO Construction                :      0.767u      0.000s      0.175w     21 calls
DFH: AO-Met. Contraction            :      2.033u      0.800s      0.261w     21 calls
HF: Form core H                     :      0.067u      0.000s      0.008w      1 calls
HF: Form S/X                        :      0.017u      0.017s      0.008w      1 calls
HF: Guess                           :      0.033u      0.033s      0.021w      1 calls
SAD Guess                           :      0.033u      0.033s      0.020w      1 calls
HF: Form G                          :     78.017u      0.283s      5.962w     11 calls
RV: Form V                          :     71.683u      0.233s      5.445w     11 calls
Properties                          :     20.789p                          34100 calls
Functional                          :      1.356p                          34100 calls
V_xc                                :     21.269p                          34100 calls
JK: D                               :      0.000u      0.000s      0.000w     11 calls
JK: USO2AO                          :      0.033u      0.000s      0.007w     11 calls
JK: JK                              :      6.117u      0.017s      0.488w     11 calls
DFH: compute_JK()                   :      6.117u      0.017s      0.488w     11 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     22 calls
DFH: compute_J                      :      1.050u      0.017s      0.083w     22 calls
DFH: compute_K                      :      5.067u      0.000s      0.389w     22 calls
JK: AO2USO                          :      0.133u      0.033s      0.013w     11 calls
HF: Form F                          :      0.000u      0.017s      0.001w     11 calls
HF: Form D                          :      0.000u      0.000s      0.000w     11 calls
HF: DIIS                            :      0.350u      0.083s      0.229w     10 calls
HF: Form C                          :      0.117u      0.133s      0.079w     10 calls

--------------------------------------------------------------------------------------
V: Grid                             :      1.100u      0.000s      0.149w      1 calls
| build grid                        :      1.017u      0.000s      0.095w      1 calls
| post-process grid                 :      0.083u      0.000s      0.054w      1 calls
DFH: sparsity prep                  :      0.050u      0.000s      0.029w      1 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.019w      1 calls
DFH: initialize()                   :      3.183u      0.883s      0.612w      1 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.019w      9 calls
| DFH: AO Construction              :      0.767u      0.000s      0.175w     21 calls
| DFH: AO-Met. Contraction          :      2.033u      0.800s      0.261w     21 calls
HF: Form core H                     :      0.067u      0.000s      0.008w      1 calls
HF: Form S/X                        :      0.017u      0.017s      0.008w      1 calls
HF: Guess                           :      0.033u      0.033s      0.021w      1 calls
| SAD Guess                         :      0.033u      0.033s      0.020w      1 calls
HF: Form G                          :     78.017u      0.283s      5.962w     11 calls
| RV: Form V                        :     71.683u      0.233s      5.445w     11 calls
| | Properties                      :     20.789p                          34100 calls
| | Functional                      :      1.356p                          34100 calls
| | V_xc                            :     21.269p                          34100 calls
| JK: D                             :      0.000u      0.000s      0.000w     11 calls
| JK: USO2AO                        :      0.033u      0.000s      0.007w     11 calls
| JK: JK                            :      6.117u      0.017s      0.488w     11 calls
| | DFH: compute_JK()               :      6.117u      0.017s      0.488w     11 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     22 calls
| | | DFH: compute_J                :      1.050u      0.017s      0.083w     22 calls
| | | DFH: compute_K                :      5.067u      0.000s      0.389w     22 calls
| JK: AO2USO                        :      0.133u      0.033s      0.013w     11 calls
HF: Form F                          :      0.000u      0.017s      0.001w     11 calls
HF: Form D                          :      0.000u      0.000s      0.000w     11 calls
HF: DIIS                            :      0.350u      0.083s      0.229w     10 calls
HF: Form C                          :      0.117u      0.133s      0.079w     10 calls

**************************************************************************************
