
Host: choehoyun-ui-MacBookAir.local

Timers On : Sun Aug  9 02:03:06 2026
Timers Off: Sun Aug  9 02:03:12 2026

Wall Time:        5.69 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.733u      0.000s      0.107w      1 calls
build grid                          :      0.667u      0.000s      0.065w      1 calls
post-process grid                   :      0.067u      0.000s      0.041w      1 calls
DFH: sparsity prep                  :      0.033u      0.000s      0.021w      1 calls
Libint2ERI::Libint2ERI              :      0.050u      0.000s      0.028w     10 calls
DFH: initialize()                   :      1.767u      0.650s      0.369w      1 calls
DFH: AO Construction                :      0.467u      0.033s      0.102w     17 calls
DFH: AO-Met. Contraction            :      1.050u      0.567s      0.149w     17 calls
HF: Form core H                     :      0.050u      0.000s      0.006w      1 calls
HF: Form S/X                        :      0.000u      0.017s      0.004w      1 calls
HF: Guess                           :      0.033u      0.033s      0.021w      1 calls
SAD Guess                           :      0.033u      0.033s      0.020w      1 calls
HF: Form G                          :     53.217u      0.167s      4.073w     11 calls
RV: Form V                          :     49.883u      0.100s      3.795w     11 calls
Properties                          :     14.357p                          29139 calls
Functional                          :      1.144p                          29139 calls
V_xc                                :     14.718p                          29139 calls
JK: D                               :      0.000u      0.000s      0.000w     11 calls
JK: USO2AO                          :      0.033u      0.000s      0.005w     11 calls
JK: JK                              :      3.183u      0.033s      0.256w     11 calls
DFH: compute_JK()                   :      3.183u      0.033s      0.256w     11 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     22 calls
DFH: compute_J                      :      0.600u      0.000s      0.051w     22 calls
DFH: compute_K                      :      2.567u      0.017s      0.194w     22 calls
JK: AO2USO                          :      0.083u      0.000s      0.010w     11 calls
HF: Form F                          :      0.000u      0.000s      0.001w     11 calls
HF: Form D                          :      0.000u      0.000s      0.000w     11 calls
HF: DIIS                            :      0.367u      0.117s      0.230w     10 calls
HF: Form C                          :      0.033u      0.067s      0.043w     10 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.733u      0.000s      0.107w      1 calls
| build grid                        :      0.667u      0.000s      0.065w      1 calls
| post-process grid                 :      0.067u      0.000s      0.041w      1 calls
DFH: sparsity prep                  :      0.033u      0.000s      0.021w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.014w      1 calls
DFH: initialize()                   :      1.767u      0.650s      0.369w      1 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.014w      9 calls
| DFH: AO Construction              :      0.467u      0.033s      0.102w     17 calls
| DFH: AO-Met. Contraction          :      1.050u      0.567s      0.149w     17 calls
HF: Form core H                     :      0.050u      0.000s      0.006w      1 calls
HF: Form S/X                        :      0.000u      0.017s      0.004w      1 calls
HF: Guess                           :      0.033u      0.033s      0.021w      1 calls
| SAD Guess                         :      0.033u      0.033s      0.020w      1 calls
HF: Form G                          :     53.217u      0.167s      4.073w     11 calls
| RV: Form V                        :     49.883u      0.100s      3.795w     11 calls
| | Properties                      :     14.357p                          29139 calls
| | Functional                      :      1.144p                          29139 calls
| | V_xc                            :     14.718p                          29139 calls
| JK: D                             :      0.000u      0.000s      0.000w     11 calls
| JK: USO2AO                        :      0.033u      0.000s      0.005w     11 calls
| JK: JK                            :      3.183u      0.033s      0.256w     11 calls
| | DFH: compute_JK()               :      3.183u      0.033s      0.256w     11 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     22 calls
| | | DFH: compute_J                :      0.600u      0.000s      0.051w     22 calls
| | | DFH: compute_K                :      2.567u      0.017s      0.194w     22 calls
| JK: AO2USO                        :      0.083u      0.000s      0.010w     11 calls
HF: Form F                          :      0.000u      0.000s      0.001w     11 calls
HF: Form D                          :      0.000u      0.000s      0.000w     11 calls
HF: DIIS                            :      0.367u      0.117s      0.230w     10 calls
HF: Form C                          :      0.033u      0.067s      0.043w     10 calls

**************************************************************************************
