
Host: choehoyun-ui-MacBookAir.local

Timers On : Sun Aug  9 02:03:16 2026
Timers Off: Sun Aug  9 02:03:22 2026

Wall Time:        5.63 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.733u      0.000s      0.105w      1 calls
build grid                          :      0.667u      0.000s      0.063w      1 calls
post-process grid                   :      0.067u      0.000s      0.041w      1 calls
DFH: sparsity prep                  :      0.033u      0.000s      0.021w      1 calls
Libint2ERI::Libint2ERI              :      0.050u      0.000s      0.028w     10 calls
DFH: initialize()                   :      1.783u      0.617s      0.364w      1 calls
DFH: AO Construction                :      0.417u      0.017s      0.100w     17 calls
DFH: AO-Met. Contraction            :      1.100u      0.550s      0.146w     17 calls
HF: Form core H                     :      0.033u      0.000s      0.005w      1 calls
HF: Form S/X                        :      0.033u      0.033s      0.015w      1 calls
HF: Guess                           :      0.033u      0.017s      0.019w      1 calls
SAD Guess                           :      0.033u      0.017s      0.018w      1 calls
HF: Form G                          :     51.200u      0.200s      3.916w     11 calls
RV: Form V                          :     48.033u      0.183s      3.657w     11 calls
Properties                          :     13.863p                          29348 calls
Functional                          :      1.123p                          29348 calls
V_xc                                :     14.191p                          29348 calls
JK: D                               :      0.000u      0.000s      0.001w     11 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     11 calls
JK: JK                              :      3.150u      0.017s      0.256w     11 calls
DFH: compute_JK()                   :      3.150u      0.017s      0.256w     11 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     22 calls
DFH: compute_J                      :      0.617u      0.000s      0.051w     22 calls
DFH: compute_K                      :      2.533u      0.017s      0.194w     22 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     11 calls
HF: Form F                          :      0.000u      0.000s      0.001w     11 calls
HF: Form D                          :      0.000u      0.000s      0.001w     11 calls
HF: DIIS                            :      0.350u      0.067s      0.220w     10 calls
HF: Form C                          :      0.267u      0.250s      0.159w     10 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.733u      0.000s      0.105w      1 calls
| build grid                        :      0.667u      0.000s      0.063w      1 calls
| post-process grid                 :      0.067u      0.000s      0.041w      1 calls
DFH: sparsity prep                  :      0.033u      0.000s      0.021w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.014w      1 calls
DFH: initialize()                   :      1.783u      0.617s      0.364w      1 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.014w      9 calls
| DFH: AO Construction              :      0.417u      0.017s      0.100w     17 calls
| DFH: AO-Met. Contraction          :      1.100u      0.550s      0.146w     17 calls
HF: Form core H                     :      0.033u      0.000s      0.005w      1 calls
HF: Form S/X                        :      0.033u      0.033s      0.015w      1 calls
HF: Guess                           :      0.033u      0.017s      0.019w      1 calls
| SAD Guess                         :      0.033u      0.017s      0.018w      1 calls
HF: Form G                          :     51.200u      0.200s      3.916w     11 calls
| RV: Form V                        :     48.033u      0.183s      3.657w     11 calls
| | Properties                      :     13.863p                          29348 calls
| | Functional                      :      1.123p                          29348 calls
| | V_xc                            :     14.191p                          29348 calls
| JK: D                             :      0.000u      0.000s      0.001w     11 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     11 calls
| JK: JK                            :      3.150u      0.017s      0.256w     11 calls
| | DFH: compute_JK()               :      3.150u      0.017s      0.256w     11 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     22 calls
| | | DFH: compute_J                :      0.617u      0.000s      0.051w     22 calls
| | | DFH: compute_K                :      2.533u      0.017s      0.194w     22 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     11 calls
HF: Form F                          :      0.000u      0.000s      0.001w     11 calls
HF: Form D                          :      0.000u      0.000s      0.001w     11 calls
HF: DIIS                            :      0.350u      0.067s      0.220w     10 calls
HF: Form C                          :      0.267u      0.250s      0.159w     10 calls

**************************************************************************************
