
Host: choehoyun-ui-MacBookAir.local

Timers On : Sun Aug  9 02:03:26 2026
Timers Off: Sun Aug  9 02:03:31 2026

Wall Time:        5.08 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.717u      0.000s      0.108w      1 calls
build grid                          :      0.650u      0.000s      0.067w      1 calls
post-process grid                   :      0.067u      0.000s      0.041w      1 calls
DFH: sparsity prep                  :      0.033u      0.000s      0.021w      1 calls
Libint2ERI::Libint2ERI              :      0.050u      0.000s      0.028w     10 calls
DFH: initialize()                   :      1.933u      0.467s      0.296w      1 calls
DFH: AO Construction                :      0.583u      0.000s      0.054w      5 calls
DFH: AO-Met. Contraction            :      1.100u      0.400s      0.122w      5 calls
HF: Form core H                     :      0.033u      0.000s      0.005w      1 calls
HF: Form S/X                        :      0.033u      0.017s      0.016w      1 calls
HF: Guess                           :      0.033u      0.033s      0.022w      1 calls
SAD Guess                           :      0.033u      0.033s      0.021w      1 calls
HF: Form G                          :     43.900u      0.183s      3.355w     11 calls
RV: Form V                          :     40.800u      0.133s      3.095w     11 calls
Properties                          :      9.482p                          29579 calls
Functional                          :      1.100p                          29579 calls
V_xc                                :     14.117p                          29579 calls
JK: D                               :      0.000u      0.000s      0.001w     11 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     11 calls
JK: JK                              :      3.100u      0.050s      0.257w     11 calls
DFH: compute_JK()                   :      3.100u      0.050s      0.257w     11 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     11 calls
DFH: compute_J                      :      0.633u      0.017s      0.048w     11 calls
DFH: compute_K                      :      2.467u      0.017s      0.193w     11 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     11 calls
HF: Form F                          :      0.000u      0.000s      0.001w     11 calls
HF: Form D                          :      0.000u      0.017s      0.001w     11 calls
HF: DIIS                            :      0.417u      0.067s      0.224w     10 calls
HF: Form C                          :      0.217u      0.233s      0.159w     10 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.717u      0.000s      0.108w      1 calls
| build grid                        :      0.650u      0.000s      0.067w      1 calls
| post-process grid                 :      0.067u      0.000s      0.041w      1 calls
DFH: sparsity prep                  :      0.033u      0.000s      0.021w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.014w      1 calls
DFH: initialize()                   :      1.933u      0.467s      0.296w      1 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.014w      9 calls
| DFH: AO Construction              :      0.583u      0.000s      0.054w      5 calls
| DFH: AO-Met. Contraction          :      1.100u      0.400s      0.122w      5 calls
HF: Form core H                     :      0.033u      0.000s      0.005w      1 calls
HF: Form S/X                        :      0.033u      0.017s      0.016w      1 calls
HF: Guess                           :      0.033u      0.033s      0.022w      1 calls
| SAD Guess                         :      0.033u      0.033s      0.021w      1 calls
HF: Form G                          :     43.900u      0.183s      3.355w     11 calls
| RV: Form V                        :     40.800u      0.133s      3.095w     11 calls
| | Properties                      :      9.482p                          29579 calls
| | Functional                      :      1.100p                          29579 calls
| | V_xc                            :     14.117p                          29579 calls
| JK: D                             :      0.000u      0.000s      0.001w     11 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     11 calls
| JK: JK                            :      3.100u      0.050s      0.257w     11 calls
| | DFH: compute_JK()               :      3.100u      0.050s      0.257w     11 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     11 calls
| | | DFH: compute_J                :      0.633u      0.017s      0.048w     11 calls
| | | DFH: compute_K                :      2.467u      0.017s      0.193w     11 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     11 calls
HF: Form F                          :      0.000u      0.000s      0.001w     11 calls
HF: Form D                          :      0.000u      0.017s      0.001w     11 calls
HF: DIIS                            :      0.417u      0.067s      0.224w     10 calls
HF: Form C                          :      0.217u      0.233s      0.159w     10 calls

**************************************************************************************
