
Host: choehoyun-ui-MacBookAir.local

Timers On : Sun Aug  9 02:03:36 2026
Timers Off: Sun Aug  9 02:03:41 2026

Wall Time:        4.82 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.717u      0.000s      0.104w      1 calls
build grid                          :      0.667u      0.000s      0.063w      1 calls
post-process grid                   :      0.050u      0.000s      0.041w      1 calls
DFH: sparsity prep                  :      0.033u      0.000s      0.021w      1 calls
Libint2ERI::Libint2ERI              :      0.033u      0.000s      0.028w     10 calls
DFH: initialize()                   :      1.983u      0.400s      0.289w      1 calls
DFH: AO Construction                :      0.583u      0.017s      0.050w      3 calls
DFH: AO-Met. Contraction            :      1.150u      0.317s      0.121w      3 calls
HF: Form core H                     :      0.033u      0.000s      0.006w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      1 calls
HF: Guess                           :      0.033u      0.033s      0.020w      1 calls
SAD Guess                           :      0.033u      0.033s      0.019w      1 calls
HF: Form G                          :     42.483u      0.233s      3.268w     11 calls
RV: Form V                          :     39.383u      0.217s      2.996w     11 calls
Properties                          :      9.294p                          29337 calls
Functional                          :      1.085p                          29337 calls
V_xc                                :     13.483p                          29337 calls
JK: D                               :      0.000u      0.000s      0.000w     11 calls
JK: USO2AO                          :      0.017u      0.000s      0.006w     11 calls
JK: JK                              :      3.067u      0.017s      0.250w     11 calls
DFH: compute_JK()                   :      3.067u      0.017s      0.250w     11 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     11 calls
DFH: compute_J                      :      0.600u      0.017s      0.047w     11 calls
DFH: compute_K                      :      2.450u      0.000s      0.187w     11 calls
JK: AO2USO                          :      0.000u      0.000s      0.010w     11 calls
HF: Form F                          :      0.017u      0.000s      0.000w     11 calls
HF: Form D                          :      0.000u      0.000s      0.000w     11 calls
HF: DIIS                            :      0.333u      0.083s      0.209w     10 calls
HF: Form C                          :      0.050u      0.000s      0.011w     10 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.717u      0.000s      0.104w      1 calls
| build grid                        :      0.667u      0.000s      0.063w      1 calls
| post-process grid                 :      0.050u      0.000s      0.041w      1 calls
DFH: sparsity prep                  :      0.033u      0.000s      0.021w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.014w      1 calls
DFH: initialize()                   :      1.983u      0.400s      0.289w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.014w      9 calls
| DFH: AO Construction              :      0.583u      0.017s      0.050w      3 calls
| DFH: AO-Met. Contraction          :      1.150u      0.317s      0.121w      3 calls
HF: Form core H                     :      0.033u      0.000s      0.006w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      1 calls
HF: Guess                           :      0.033u      0.033s      0.020w      1 calls
| SAD Guess                         :      0.033u      0.033s      0.019w      1 calls
HF: Form G                          :     42.483u      0.233s      3.268w     11 calls
| RV: Form V                        :     39.383u      0.217s      2.996w     11 calls
| | Properties                      :      9.294p                          29337 calls
| | Functional                      :      1.085p                          29337 calls
| | V_xc                            :     13.483p                          29337 calls
| JK: D                             :      0.000u      0.000s      0.000w     11 calls
| JK: USO2AO                        :      0.017u      0.000s      0.006w     11 calls
| JK: JK                            :      3.067u      0.017s      0.250w     11 calls
| | DFH: compute_JK()               :      3.067u      0.017s      0.250w     11 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     11 calls
| | | DFH: compute_J                :      0.600u      0.017s      0.047w     11 calls
| | | DFH: compute_K                :      2.450u      0.000s      0.187w     11 calls
| JK: AO2USO                        :      0.000u      0.000s      0.010w     11 calls
HF: Form F                          :      0.017u      0.000s      0.000w     11 calls
HF: Form D                          :      0.000u      0.000s      0.000w     11 calls
HF: DIIS                            :      0.333u      0.083s      0.209w     10 calls
HF: Form C                          :      0.050u      0.000s      0.011w     10 calls

**************************************************************************************
