
Host: choehoyun-ui-MacBookAir.local

Timers On : Mon Aug 10 18:40:08 2026
Timers Off: Mon Aug 10 18:40:13 2026

Wall Time:        5.24 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      1.367u      0.017s      0.178w      1 calls
build grid                          :      1.267u      0.017s      0.116w      1 calls
post-process grid                   :      0.100u      0.000s      0.062w      1 calls
DFH: sparsity prep                  :      0.033u      0.000s      0.014w      1 calls
Libint2ERI::Libint2ERI              :      0.033u      0.000s      0.019w     10 calls
DFH: initialize()                   :      3.867u      0.400s      0.638w      1 calls
DFH: AO Construction                :      0.817u      0.017s      0.065w      2 calls
DFH: AO-Met. Contraction            :      2.150u      0.283s      0.193w      2 calls
HF: Form core H                     :      0.033u      0.000s      0.005w      1 calls
HF: Form S/X                        :      0.017u      0.017s      0.010w      1 calls
HF: Guess                           :      0.033u      0.067s      0.039w      1 calls
SAD Guess                           :      0.033u      0.067s      0.038w      1 calls
HF: Form G                          :     38.567u      0.250s      2.990w     12 calls
RV: Form V                          :     31.883u      0.133s      2.418w     12 calls
Properties                          :      7.618p                          40572 calls
Functional                          :      1.545p                          40572 calls
V_xc                                :     10.117p                          40572 calls
JK: D                               :      0.000u      0.000s      0.001w     12 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     12 calls
JK: JK                              :      6.683u      0.117s      0.566w     12 calls
DFH: compute_JK()                   :      6.683u      0.117s      0.566w     12 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     12 calls
DFH: compute_J                      :      0.783u      0.017s      0.062w     12 calls
DFH: compute_K                      :      5.883u      0.050s      0.453w     12 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.017s      0.001w     12 calls
HF: Form D                          :      0.000u      0.000s      0.001w     12 calls
HF: DIIS                            :      0.383u      0.050s      0.243w     11 calls
HF: Form C                          :      0.183u      0.183s      0.137w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      1.367u      0.017s      0.178w      1 calls
| build grid                        :      1.267u      0.017s      0.116w      1 calls
| post-process grid                 :      0.100u      0.000s      0.062w      1 calls
DFH: sparsity prep                  :      0.033u      0.000s      0.014w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.009w      1 calls
DFH: initialize()                   :      3.867u      0.400s      0.638w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.009w      9 calls
| DFH: AO Construction              :      0.817u      0.017s      0.065w      2 calls
| DFH: AO-Met. Contraction          :      2.150u      0.283s      0.193w      2 calls
HF: Form core H                     :      0.033u      0.000s      0.005w      1 calls
HF: Form S/X                        :      0.017u      0.017s      0.010w      1 calls
HF: Guess                           :      0.033u      0.067s      0.039w      1 calls
| SAD Guess                         :      0.033u      0.067s      0.038w      1 calls
HF: Form G                          :     38.567u      0.250s      2.990w     12 calls
| RV: Form V                        :     31.883u      0.133s      2.418w     12 calls
| | Properties                      :      7.618p                          40572 calls
| | Functional                      :      1.545p                          40572 calls
| | V_xc                            :     10.117p                          40572 calls
| JK: D                             :      0.000u      0.000s      0.001w     12 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w     12 calls
| JK: JK                            :      6.683u      0.117s      0.566w     12 calls
| | DFH: compute_JK()               :      6.683u      0.117s      0.566w     12 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     12 calls
| | | DFH: compute_J                :      0.783u      0.017s      0.062w     12 calls
| | | DFH: compute_K                :      5.883u      0.050s      0.453w     12 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.017s      0.001w     12 calls
HF: Form D                          :      0.000u      0.000s      0.001w     12 calls
HF: DIIS                            :      0.383u      0.050s      0.243w     11 calls
HF: Form C                          :      0.183u      0.183s      0.137w     11 calls

**************************************************************************************
