
Host: choehoyun-ui-MacBookAir.local

Timers On : Mon Aug 10 18:40:18 2026
Timers Off: Mon Aug 10 18:40:24 2026

Wall Time:        5.25 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      1.400u      0.000s      0.179w      1 calls
build grid                          :      1.317u      0.000s      0.118w      1 calls
post-process grid                   :      0.083u      0.000s      0.061w      1 calls
DFH: sparsity prep                  :      0.017u      0.000s      0.014w      1 calls
Libint2ERI::Libint2ERI              :      0.033u      0.000s      0.019w     10 calls
DFH: initialize()                   :      3.917u      0.500s      0.661w      1 calls
DFH: AO Construction                :      0.833u      0.017s      0.067w      2 calls
DFH: AO-Met. Contraction            :      2.167u      0.367s      0.200w      2 calls
HF: Form core H                     :      0.033u      0.000s      0.005w      1 calls
HF: Form S/X                        :      0.017u      0.017s      0.011w      1 calls
HF: Guess                           :      0.033u      0.050s      0.032w      1 calls
SAD Guess                           :      0.033u      0.050s      0.032w      1 calls
HF: Form G                          :     39.217u      0.217s      3.029w     12 calls
RV: Form V                          :     32.450u      0.150s      2.462w     12 calls
Properties                          :      7.741p                          40620 calls
Functional                          :      1.540p                          40620 calls
V_xc                                :     10.356p                          40620 calls
JK: D                               :      0.000u      0.000s      0.001w     12 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     12 calls
JK: JK                              :      6.767u      0.050s      0.563w     12 calls
DFH: compute_JK()                   :      6.767u      0.050s      0.563w     12 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     12 calls
DFH: compute_J                      :      0.817u      0.000s      0.064w     12 calls
DFH: compute_K                      :      5.933u      0.000s      0.453w     12 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.001w     12 calls
HF: Form D                          :      0.000u      0.000s      0.001w     12 calls
HF: DIIS                            :      0.383u      0.083s      0.228w     11 calls
HF: Form C                          :      0.183u      0.183s      0.139w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      1.400u      0.000s      0.179w      1 calls
| build grid                        :      1.317u      0.000s      0.118w      1 calls
| post-process grid                 :      0.083u      0.000s      0.061w      1 calls
DFH: sparsity prep                  :      0.017u      0.000s      0.014w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.009w      1 calls
DFH: initialize()                   :      3.917u      0.500s      0.661w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.009w      9 calls
| DFH: AO Construction              :      0.833u      0.017s      0.067w      2 calls
| DFH: AO-Met. Contraction          :      2.167u      0.367s      0.200w      2 calls
HF: Form core H                     :      0.033u      0.000s      0.005w      1 calls
HF: Form S/X                        :      0.017u      0.017s      0.011w      1 calls
HF: Guess                           :      0.033u      0.050s      0.032w      1 calls
| SAD Guess                         :      0.033u      0.050s      0.032w      1 calls
HF: Form G                          :     39.217u      0.217s      3.029w     12 calls
| RV: Form V                        :     32.450u      0.150s      2.462w     12 calls
| | Properties                      :      7.741p                          40620 calls
| | Functional                      :      1.540p                          40620 calls
| | V_xc                            :     10.356p                          40620 calls
| JK: D                             :      0.000u      0.000s      0.001w     12 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     12 calls
| JK: JK                            :      6.767u      0.050s      0.563w     12 calls
| | DFH: compute_JK()               :      6.767u      0.050s      0.563w     12 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     12 calls
| | | DFH: compute_J                :      0.817u      0.000s      0.064w     12 calls
| | | DFH: compute_K                :      5.933u      0.000s      0.453w     12 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.001w     12 calls
HF: Form D                          :      0.000u      0.000s      0.001w     12 calls
HF: DIIS                            :      0.383u      0.083s      0.228w     11 calls
HF: Form C                          :      0.183u      0.183s      0.139w     11 calls

**************************************************************************************
