
Host: choehoyun-ui-MacBookAir.local

Timers On : Mon Aug 10 18:40:28 2026
Timers Off: Mon Aug 10 18:40:33 2026

Wall Time:        4.72 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      1.383u      0.017s      0.182w      1 calls
build grid                          :      1.283u      0.000s      0.120w      1 calls
post-process grid                   :      0.100u      0.017s      0.062w      1 calls
DFH: sparsity prep                  :      0.017u      0.017s      0.013w      1 calls
Libint2ERI::Libint2ERI              :      0.017u      0.017s      0.018w     10 calls
DFH: initialize()                   :      3.833u      0.200s      0.634w      1 calls
DFH: AO Construction                :      0.817u      0.033s      0.065w      2 calls
DFH: AO-Met. Contraction            :      2.100u      0.083s      0.177w      2 calls
HF: Form core H                     :      0.050u      0.000s      0.005w      1 calls
HF: Form S/X                        :      0.017u      0.017s      0.012w      1 calls
HF: Guess                           :      0.050u      0.050s      0.033w      1 calls
SAD Guess                           :      0.050u      0.050s      0.033w      1 calls
HF: Form G                          :     33.150u      0.167s      2.550w     11 calls
RV: Form V                          :     27.167u      0.083s      2.055w     11 calls
Properties                          :      6.463p                          37015 calls
Functional                          :      1.367p                          37015 calls
V_xc                                :      8.564p                          37015 calls
JK: D                               :      0.033u      0.000s      0.001w     11 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     11 calls
JK: JK                              :      5.950u      0.083s      0.491w     11 calls
DFH: compute_JK()                   :      5.950u      0.083s      0.491w     11 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     11 calls
DFH: compute_J                      :      0.683u      0.033s      0.055w     11 calls
DFH: compute_K                      :      5.250u      0.017s      0.399w     11 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     11 calls
HF: Form F                          :      0.000u      0.000s      0.001w     11 calls
HF: Form D                          :      0.000u      0.000s      0.001w     11 calls
HF: DIIS                            :      0.350u      0.083s      0.224w     10 calls
HF: Form C                          :      0.183u      0.150s      0.120w     10 calls

--------------------------------------------------------------------------------------
V: Grid                             :      1.383u      0.017s      0.182w      1 calls
| build grid                        :      1.283u      0.000s      0.120w      1 calls
| post-process grid                 :      0.100u      0.017s      0.062w      1 calls
DFH: sparsity prep                  :      0.017u      0.017s      0.013w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.017s      0.009w      1 calls
DFH: initialize()                   :      3.833u      0.200s      0.634w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.009w      9 calls
| DFH: AO Construction              :      0.817u      0.033s      0.065w      2 calls
| DFH: AO-Met. Contraction          :      2.100u      0.083s      0.177w      2 calls
HF: Form core H                     :      0.050u      0.000s      0.005w      1 calls
HF: Form S/X                        :      0.017u      0.017s      0.012w      1 calls
HF: Guess                           :      0.050u      0.050s      0.033w      1 calls
| SAD Guess                         :      0.050u      0.050s      0.033w      1 calls
HF: Form G                          :     33.150u      0.167s      2.550w     11 calls
| RV: Form V                        :     27.167u      0.083s      2.055w     11 calls
| | Properties                      :      6.463p                          37015 calls
| | Functional                      :      1.367p                          37015 calls
| | V_xc                            :      8.564p                          37015 calls
| JK: D                             :      0.033u      0.000s      0.001w     11 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     11 calls
| JK: JK                            :      5.950u      0.083s      0.491w     11 calls
| | DFH: compute_JK()               :      5.950u      0.083s      0.491w     11 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     11 calls
| | | DFH: compute_J                :      0.683u      0.033s      0.055w     11 calls
| | | DFH: compute_K                :      5.250u      0.017s      0.399w     11 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     11 calls
HF: Form F                          :      0.000u      0.000s      0.001w     11 calls
HF: Form D                          :      0.000u      0.000s      0.001w     11 calls
HF: DIIS                            :      0.350u      0.083s      0.224w     10 calls
HF: Form C                          :      0.183u      0.150s      0.120w     10 calls

**************************************************************************************
