
Host: choehoyun-ui-MacBookAir.local

Timers On : Mon Aug 10 18:40:33 2026
Timers Off: Mon Aug 10 18:40:39 2026

Wall Time:        5.61 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      1.433u      0.017s      0.191w      1 calls
build grid                          :      1.317u      0.017s      0.118w      1 calls
post-process grid                   :      0.117u      0.000s      0.073w      1 calls
DFH: sparsity prep                  :      0.033u      0.000s      0.013w      1 calls
Libint2ERI::Libint2ERI              :      0.033u      0.000s      0.019w     10 calls
DFH: initialize()                   :      4.033u      0.483s      0.665w      1 calls
DFH: AO Construction                :      0.833u      0.017s      0.066w      2 calls
DFH: AO-Met. Contraction            :      2.233u      0.367s      0.205w      2 calls
HF: Form core H                     :      0.050u      0.000s      0.005w      1 calls
HF: Form S/X                        :      0.017u      0.033s      0.012w      1 calls
HF: Guess                           :      0.050u      0.050s      0.034w      1 calls
SAD Guess                           :      0.050u      0.050s      0.033w      1 calls
HF: Form G                          :     42.367u      0.250s      3.274w     12 calls
RV: Form V                          :     35.250u      0.117s      2.673w     12 calls
Properties                          :      8.467p                          40752 calls
Functional                          :      1.690p                          40752 calls
V_xc                                :     11.159p                          40752 calls
JK: D                               :      0.000u      0.000s      0.001w     12 calls
JK: USO2AO                          :      0.000u      0.017s      0.000w     12 calls
JK: JK                              :      7.117u      0.117s      0.597w     12 calls
DFH: compute_JK()                   :      7.117u      0.117s      0.597w     12 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     12 calls
DFH: compute_J                      :      0.800u      0.017s      0.064w     12 calls
DFH: compute_K                      :      6.283u      0.017s      0.482w     12 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.001w     12 calls
HF: Form D                          :      0.000u      0.000s      0.001w     12 calls
HF: DIIS                            :      0.417u      0.100s      0.246w     11 calls
HF: Form C                          :      0.233u      0.200s      0.159w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      1.433u      0.017s      0.191w      1 calls
| build grid                        :      1.317u      0.017s      0.118w      1 calls
| post-process grid                 :      0.117u      0.000s      0.073w      1 calls
DFH: sparsity prep                  :      0.033u      0.000s      0.013w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.009w      1 calls
DFH: initialize()                   :      4.033u      0.483s      0.665w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.009w      9 calls
| DFH: AO Construction              :      0.833u      0.017s      0.066w      2 calls
| DFH: AO-Met. Contraction          :      2.233u      0.367s      0.205w      2 calls
HF: Form core H                     :      0.050u      0.000s      0.005w      1 calls
HF: Form S/X                        :      0.017u      0.033s      0.012w      1 calls
HF: Guess                           :      0.050u      0.050s      0.034w      1 calls
| SAD Guess                         :      0.050u      0.050s      0.033w      1 calls
HF: Form G                          :     42.367u      0.250s      3.274w     12 calls
| RV: Form V                        :     35.250u      0.117s      2.673w     12 calls
| | Properties                      :      8.467p                          40752 calls
| | Functional                      :      1.690p                          40752 calls
| | V_xc                            :     11.159p                          40752 calls
| JK: D                             :      0.000u      0.000s      0.001w     12 calls
| JK: USO2AO                        :      0.000u      0.017s      0.000w     12 calls
| JK: JK                            :      7.117u      0.117s      0.597w     12 calls
| | DFH: compute_JK()               :      7.117u      0.117s      0.597w     12 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     12 calls
| | | DFH: compute_J                :      0.800u      0.017s      0.064w     12 calls
| | | DFH: compute_K                :      6.283u      0.017s      0.482w     12 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.001w     12 calls
HF: Form D                          :      0.000u      0.000s      0.001w     12 calls
HF: DIIS                            :      0.417u      0.100s      0.246w     11 calls
HF: Form C                          :      0.233u      0.200s      0.159w     11 calls

**************************************************************************************
