
Host: choehoyun-ui-MacBookAir.local

Timers On : Mon Aug 10 18:40:43 2026
Timers Off: Mon Aug 10 18:40:49 2026

Wall Time:        5.33 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      1.367u      0.000s      0.182w      1 calls
build grid                          :      1.267u      0.000s      0.120w      1 calls
post-process grid                   :      0.100u      0.000s      0.062w      1 calls
DFH: sparsity prep                  :      0.017u      0.000s      0.013w      1 calls
Libint2ERI::Libint2ERI              :      0.033u      0.000s      0.018w     10 calls
DFH: initialize()                   :      4.050u      0.517s      0.668w      1 calls
DFH: AO Construction                :      0.833u      0.017s      0.069w      2 calls
DFH: AO-Met. Contraction            :      2.233u      0.400s      0.207w      2 calls
HF: Form core H                     :      0.050u      0.000s      0.005w      1 calls
HF: Form S/X                        :      0.017u      0.017s      0.012w      1 calls
HF: Guess                           :      0.050u      0.050s      0.036w      1 calls
SAD Guess                           :      0.050u      0.050s      0.035w      1 calls
HF: Form G                          :     40.133u      0.183s      3.097w     12 calls
RV: Form V                          :     33.233u      0.167s      2.522w     12 calls
Properties                          :      7.971p                          40512 calls
Functional                          :      1.557p                          40512 calls
V_xc                                :     10.596p                          40512 calls
JK: D                               :      0.000u      0.000s      0.001w     12 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     12 calls
JK: JK                              :      6.900u      0.017s      0.572w     12 calls
DFH: compute_JK()                   :      6.900u      0.017s      0.571w     12 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     12 calls
DFH: compute_J                      :      0.800u      0.000s      0.063w     12 calls
DFH: compute_K                      :      6.067u      0.017s      0.463w     12 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.001w     12 calls
HF: Form D                          :      0.000u      0.000s      0.001w     12 calls
HF: DIIS                            :      0.400u      0.083s      0.228w     11 calls
HF: Form C                          :      0.217u      0.200s      0.139w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      1.367u      0.000s      0.182w      1 calls
| build grid                        :      1.267u      0.000s      0.120w      1 calls
| post-process grid                 :      0.100u      0.000s      0.062w      1 calls
DFH: sparsity prep                  :      0.017u      0.000s      0.013w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.009w      1 calls
DFH: initialize()                   :      4.050u      0.517s      0.668w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.009w      9 calls
| DFH: AO Construction              :      0.833u      0.017s      0.069w      2 calls
| DFH: AO-Met. Contraction          :      2.233u      0.400s      0.207w      2 calls
HF: Form core H                     :      0.050u      0.000s      0.005w      1 calls
HF: Form S/X                        :      0.017u      0.017s      0.012w      1 calls
HF: Guess                           :      0.050u      0.050s      0.036w      1 calls
| SAD Guess                         :      0.050u      0.050s      0.035w      1 calls
HF: Form G                          :     40.133u      0.183s      3.097w     12 calls
| RV: Form V                        :     33.233u      0.167s      2.522w     12 calls
| | Properties                      :      7.971p                          40512 calls
| | Functional                      :      1.557p                          40512 calls
| | V_xc                            :     10.596p                          40512 calls
| JK: D                             :      0.000u      0.000s      0.001w     12 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     12 calls
| JK: JK                            :      6.900u      0.017s      0.572w     12 calls
| | DFH: compute_JK()               :      6.900u      0.017s      0.571w     12 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     12 calls
| | | DFH: compute_J                :      0.800u      0.000s      0.063w     12 calls
| | | DFH: compute_K                :      6.067u      0.017s      0.463w     12 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.001w     12 calls
HF: Form D                          :      0.000u      0.000s      0.001w     12 calls
HF: DIIS                            :      0.400u      0.083s      0.228w     11 calls
HF: Form C                          :      0.217u      0.200s      0.139w     11 calls

**************************************************************************************
