
Host: choehoyun-ui-MacBookAir.local

Timers On : Mon Aug 10 18:40:54 2026
Timers Off: Mon Aug 10 18:41:12 2026

Wall Time:       18.44 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      5.000u      0.017s      0.539w      1 calls
build grid                          :      4.783u      0.017s      0.413w      1 calls
post-process grid                   :      0.217u      0.000s      0.126w      1 calls
DFH: sparsity prep                  :      0.050u      0.000s      0.033w      1 calls
Libint2ERI::Libint2ERI              :      0.067u      0.000s      0.043w     10 calls
DFH: initialize()                   :     16.650u      1.067s      2.929w      1 calls
DFH: AO Construction                :      2.417u      0.000s      0.433w     24 calls
DFH: AO-Met. Contraction            :     10.883u      0.867s      1.184w     24 calls
HF: Form core H                     :      0.150u      0.000s      0.015w      1 calls
HF: Form S/X                        :      0.083u      0.033s      0.041w      1 calls
HF: Guess                           :      0.050u      0.083s      0.048w      1 calls
SAD Guess                           :      0.050u      0.083s      0.047w      1 calls
HF: Form G                          :    163.383u      0.883s     12.679w     12 calls
RV: Form V                          :    122.417u      0.333s      9.282w     12 calls
Properties                          :     40.111p                          62328 calls
Functional                          :      3.127p                          62328 calls
V_xc                                :     30.874p                          62328 calls
JK: D                               :      0.033u      0.000s      0.002w     12 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     12 calls
JK: JK                              :     40.933u      0.550s      3.392w     12 calls
DFH: compute_JK()                   :     40.933u      0.550s      3.391w     12 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     24 calls
DFH: compute_J                      :      2.850u      0.117s      0.224w     24 calls
DFH: compute_K                      :     37.983u      0.133s      2.918w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.001w     12 calls
HF: Form D                          :      0.000u      0.000s      0.002w     12 calls
HF: DIIS                            :      0.667u      0.133s      0.440w     11 calls
HF: Form C                          :      0.967u      0.567s      0.539w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      5.000u      0.017s      0.539w      1 calls
| build grid                        :      4.783u      0.017s      0.413w      1 calls
| post-process grid                 :      0.217u      0.000s      0.126w      1 calls
DFH: sparsity prep                  :      0.050u      0.000s      0.033w      1 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.022w      1 calls
DFH: initialize()                   :     16.650u      1.067s      2.929w      1 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.022w      9 calls
| DFH: AO Construction              :      2.417u      0.000s      0.433w     24 calls
| DFH: AO-Met. Contraction          :     10.883u      0.867s      1.184w     24 calls
HF: Form core H                     :      0.150u      0.000s      0.015w      1 calls
HF: Form S/X                        :      0.083u      0.033s      0.041w      1 calls
HF: Guess                           :      0.050u      0.083s      0.048w      1 calls
| SAD Guess                         :      0.050u      0.083s      0.047w      1 calls
HF: Form G                          :    163.383u      0.883s     12.679w     12 calls
| RV: Form V                        :    122.417u      0.333s      9.282w     12 calls
| | Properties                      :     40.111p                          62328 calls
| | Functional                      :      3.127p                          62328 calls
| | V_xc                            :     30.874p                          62328 calls
| JK: D                             :      0.033u      0.000s      0.002w     12 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     12 calls
| JK: JK                            :     40.933u      0.550s      3.392w     12 calls
| | DFH: compute_JK()               :     40.933u      0.550s      3.391w     12 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     24 calls
| | | DFH: compute_J                :      2.850u      0.117s      0.224w     24 calls
| | | DFH: compute_K                :     37.983u      0.133s      2.918w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.001w     12 calls
HF: Form D                          :      0.000u      0.000s      0.002w     12 calls
HF: DIIS                            :      0.667u      0.133s      0.440w     11 calls
HF: Form C                          :      0.967u      0.567s      0.539w     11 calls

**************************************************************************************
