
Host: choehoyun-ui-MacBookAir.local

Timers On : Mon Aug 10 18:41:39 2026
Timers Off: Mon Aug 10 18:42:01 2026

Wall Time:       21.88 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      4.983u      0.017s      0.538w      1 calls
build grid                          :      4.783u      0.017s      0.408w      1 calls
post-process grid                   :      0.200u      0.000s      0.129w      1 calls
DFH: sparsity prep                  :      0.050u      0.000s      0.033w      1 calls
Libint2ERI::Libint2ERI              :      0.067u      0.000s      0.044w     10 calls
DFH: initialize()                   :     16.750u      1.167s      2.931w      1 calls
DFH: AO Construction                :      2.417u      0.000s      0.437w     24 calls
DFH: AO-Met. Contraction            :     11.017u      0.967s      1.199w     24 calls
HF: Form core H                     :      0.150u      0.017s      0.015w      1 calls
HF: Form S/X                        :      0.067u      0.050s      0.041w      1 calls
HF: Guess                           :      0.050u      0.050s      0.036w      1 calls
SAD Guess                           :      0.050u      0.050s      0.035w      1 calls
HF: Form G                          :    201.983u      1.117s     15.824w     12 calls
RV: Form V                          :    153.450u      0.517s     11.785w     12 calls
Properties                          :     50.560p                          61812 calls
Functional                          :      3.978p                          61812 calls
V_xc                                :     39.581p                          61812 calls
JK: D                               :      0.017u      0.000s      0.003w     12 calls
JK: USO2AO                          :      0.000u      0.017s      0.001w     12 calls
JK: JK                              :     48.517u      0.583s      4.031w     12 calls
DFH: compute_JK()                   :     48.517u      0.583s      4.030w     12 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     24 calls
DFH: compute_J                      :      3.133u      0.033s      0.242w     24 calls
DFH: compute_K                      :     45.283u      0.200s      3.495w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.001w     12 calls
HF: Form D                          :      0.033u      0.000s      0.002w     12 calls
HF: DIIS                            :      0.800u      0.200s      0.498w     11 calls
HF: Form C                          :      1.367u      0.733s      0.744w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      4.983u      0.017s      0.538w      1 calls
| build grid                        :      4.783u      0.017s      0.408w      1 calls
| post-process grid                 :      0.200u      0.000s      0.129w      1 calls
DFH: sparsity prep                  :      0.050u      0.000s      0.033w      1 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.022w      1 calls
DFH: initialize()                   :     16.750u      1.167s      2.931w      1 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.022w      9 calls
| DFH: AO Construction              :      2.417u      0.000s      0.437w     24 calls
| DFH: AO-Met. Contraction          :     11.017u      0.967s      1.199w     24 calls
HF: Form core H                     :      0.150u      0.017s      0.015w      1 calls
HF: Form S/X                        :      0.067u      0.050s      0.041w      1 calls
HF: Guess                           :      0.050u      0.050s      0.036w      1 calls
| SAD Guess                         :      0.050u      0.050s      0.035w      1 calls
HF: Form G                          :    201.983u      1.117s     15.824w     12 calls
| RV: Form V                        :    153.450u      0.517s     11.785w     12 calls
| | Properties                      :     50.560p                          61812 calls
| | Functional                      :      3.978p                          61812 calls
| | V_xc                            :     39.581p                          61812 calls
| JK: D                             :      0.017u      0.000s      0.003w     12 calls
| JK: USO2AO                        :      0.000u      0.017s      0.001w     12 calls
| JK: JK                            :     48.517u      0.583s      4.031w     12 calls
| | DFH: compute_JK()               :     48.517u      0.583s      4.030w     12 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     24 calls
| | | DFH: compute_J                :      3.133u      0.033s      0.242w     24 calls
| | | DFH: compute_K                :     45.283u      0.200s      3.495w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.001w     12 calls
HF: Form D                          :      0.033u      0.000s      0.002w     12 calls
HF: DIIS                            :      0.800u      0.200s      0.498w     11 calls
HF: Form C                          :      1.367u      0.733s      0.744w     11 calls

**************************************************************************************
