
Host: choehoyun-ui-MacBookAir.local

Timers On : Mon Aug 10 18:42:35 2026
Timers Off: Mon Aug 10 18:43:04 2026

Wall Time:       29.23 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      5.100u      0.017s      0.562w      1 calls
build grid                          :      4.883u      0.017s      0.432w      1 calls
post-process grid                   :      0.217u      0.000s      0.130w      1 calls
DFH: sparsity prep                  :      0.050u      0.000s      0.032w      1 calls
Libint2ERI::Libint2ERI              :      0.067u      0.000s      0.043w     10 calls
DFH: initialize()                   :     25.933u      1.267s      4.093w      1 calls
DFH: AO Construction                :      4.417u      0.000s      0.776w     25 calls
DFH: AO-Met. Contraction            :     18.083u      1.067s      2.016w     25 calls
HF: Form core H                     :      0.267u      0.017s      0.033w      1 calls
HF: Form S/X                        :      0.167u      0.083s      0.086w      1 calls
HF: Guess                           :      0.133u      0.167s      0.096w      1 calls
SAD Guess                           :      0.133u      0.167s      0.094w      1 calls
HF: Form G                          :    253.867u      1.617s     21.530w     12 calls
RV: Form V                          :    195.067u      0.950s     16.330w     12 calls
Properties                          :     72.922p                          61668 calls
Functional                          :      5.181p                          61668 calls
V_xc                                :     52.137p                          61668 calls
JK: D                               :      0.050u      0.017s      0.005w     12 calls
JK: USO2AO                          :      0.000u      0.000s      0.002w     12 calls
JK: JK                              :     58.750u      0.650s      5.184w     12 calls
DFH: compute_JK()                   :     58.750u      0.650s      5.183w     12 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     24 calls
DFH: compute_J                      :      3.867u      0.033s      0.320w     24 calls
DFH: compute_K                      :     54.767u      0.233s      4.552w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.002w     12 calls
HF: Form D                          :      0.017u      0.000s      0.003w     12 calls
HF: DIIS                            :      1.083u      0.233s      0.539w     11 calls
HF: Form C                          :      1.567u      0.850s      0.896w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      5.100u      0.017s      0.562w      1 calls
| build grid                        :      4.883u      0.017s      0.432w      1 calls
| post-process grid                 :      0.217u      0.000s      0.130w      1 calls
DFH: sparsity prep                  :      0.050u      0.000s      0.032w      1 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.022w      1 calls
DFH: initialize()                   :     25.933u      1.267s      4.093w      1 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.021w      9 calls
| DFH: AO Construction              :      4.417u      0.000s      0.776w     25 calls
| DFH: AO-Met. Contraction          :     18.083u      1.067s      2.016w     25 calls
HF: Form core H                     :      0.267u      0.017s      0.033w      1 calls
HF: Form S/X                        :      0.167u      0.083s      0.086w      1 calls
HF: Guess                           :      0.133u      0.167s      0.096w      1 calls
| SAD Guess                         :      0.133u      0.167s      0.094w      1 calls
HF: Form G                          :    253.867u      1.617s     21.530w     12 calls
| RV: Form V                        :    195.067u      0.950s     16.330w     12 calls
| | Properties                      :     72.922p                          61668 calls
| | Functional                      :      5.181p                          61668 calls
| | V_xc                            :     52.137p                          61668 calls
| JK: D                             :      0.050u      0.017s      0.005w     12 calls
| JK: USO2AO                        :      0.000u      0.000s      0.002w     12 calls
| JK: JK                            :     58.750u      0.650s      5.184w     12 calls
| | DFH: compute_JK()               :     58.750u      0.650s      5.183w     12 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     24 calls
| | | DFH: compute_J                :      3.867u      0.033s      0.320w     24 calls
| | | DFH: compute_K                :     54.767u      0.233s      4.552w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.002w     12 calls
HF: Form D                          :      0.017u      0.000s      0.003w     12 calls
HF: DIIS                            :      1.083u      0.233s      0.539w     11 calls
HF: Form C                          :      1.567u      0.850s      0.896w     11 calls

**************************************************************************************
