
Host: choehoyun-ui-MacBookAir.local

Timers On : Mon Aug 10 18:43:05 2026
Timers Off: Mon Aug 10 18:43:20 2026

Wall Time:       14.47 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      2.350u      0.017s      0.296w      1 calls
build grid                          :      2.200u      0.000s      0.204w      1 calls
post-process grid                   :      0.150u      0.017s      0.092w      1 calls
DFH: sparsity prep                  :      0.033u      0.000s      0.021w      1 calls
Libint2ERI::Libint2ERI              :      0.033u      0.000s      0.028w     10 calls
DFH: initialize()                   :      9.517u      0.783s      1.773w      1 calls
DFH: AO Construction                :      1.800u      0.017s      0.350w     21 calls
DFH: AO-Met. Contraction            :      5.917u      0.633s      0.681w     21 calls
HF: Form core H                     :      0.133u      0.000s      0.015w      1 calls
HF: Form S/X                        :      0.067u      0.050s      0.044w      1 calls
HF: Guess                           :      0.100u      0.133s      0.080w      1 calls
SAD Guess                           :      0.100u      0.133s      0.079w      1 calls
HF: Form G                          :    120.583u      0.717s     10.061w     12 calls
RV: Form V                          :     96.500u      0.450s      7.931w     12 calls
Properties                          :     32.730p                          47160 calls
Functional                          :      3.856p                          47160 calls
V_xc                                :     26.333p                          47160 calls
JK: D                               :      0.017u      0.000s      0.003w     12 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     12 calls
JK: JK                              :     24.017u      0.233s      2.120w     12 calls
DFH: compute_JK()                   :     24.017u      0.233s      2.119w     12 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     24 calls
DFH: compute_J                      :      1.933u      0.000s      0.164w     24 calls
DFH: compute_K                      :     22.033u      0.083s      1.826w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.002w     12 calls
HF: Form D                          :      0.000u      0.000s      0.002w     12 calls
HF: DIIS                            :      0.883u      0.167s      0.530w     11 calls
HF: Form C                          :      0.783u      0.600s      0.460w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      2.350u      0.017s      0.296w      1 calls
| build grid                        :      2.200u      0.000s      0.204w      1 calls
| post-process grid                 :      0.150u      0.017s      0.092w      1 calls
DFH: sparsity prep                  :      0.033u      0.000s      0.021w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.014w      1 calls
DFH: initialize()                   :      9.517u      0.783s      1.773w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.014w      9 calls
| DFH: AO Construction              :      1.800u      0.017s      0.350w     21 calls
| DFH: AO-Met. Contraction          :      5.917u      0.633s      0.681w     21 calls
HF: Form core H                     :      0.133u      0.000s      0.015w      1 calls
HF: Form S/X                        :      0.067u      0.050s      0.044w      1 calls
HF: Guess                           :      0.100u      0.133s      0.080w      1 calls
| SAD Guess                         :      0.100u      0.133s      0.079w      1 calls
HF: Form G                          :    120.583u      0.717s     10.061w     12 calls
| RV: Form V                        :     96.500u      0.450s      7.931w     12 calls
| | Properties                      :     32.730p                          47160 calls
| | Functional                      :      3.856p                          47160 calls
| | V_xc                            :     26.333p                          47160 calls
| JK: D                             :      0.017u      0.000s      0.003w     12 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w     12 calls
| JK: JK                            :     24.017u      0.233s      2.120w     12 calls
| | DFH: compute_JK()               :     24.017u      0.233s      2.119w     12 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     24 calls
| | | DFH: compute_J                :      1.933u      0.000s      0.164w     24 calls
| | | DFH: compute_K                :     22.033u      0.083s      1.826w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.002w     12 calls
HF: Form D                          :      0.000u      0.000s      0.002w     12 calls
HF: DIIS                            :      0.883u      0.167s      0.530w     11 calls
HF: Form C                          :      0.783u      0.600s      0.460w     11 calls

**************************************************************************************
