
Host: choehoyun-ui-MacBookAir.local

Timers On : Mon Aug 10 18:43:21 2026
Timers Off: Mon Aug 10 18:43:35 2026

Wall Time:       14.40 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      2.500u      0.017s      0.329w      1 calls
build grid                          :      2.333u      0.000s      0.226w      1 calls
post-process grid                   :      0.167u      0.017s      0.103w      1 calls
DFH: sparsity prep                  :      0.033u      0.000s      0.023w      1 calls
Libint2ERI::Libint2ERI              :      0.033u      0.000s      0.032w     10 calls
DFH: initialize()                   :     10.083u      0.817s      1.918w      1 calls
DFH: AO Construction                :      1.883u      0.000s      0.379w     22 calls
DFH: AO-Met. Contraction            :      6.233u      0.667s      0.710w     22 calls
HF: Form core H                     :      0.133u      0.000s      0.018w      1 calls
HF: Form S/X                        :      0.083u      0.050s      0.043w      1 calls
HF: Guess                           :      0.100u      0.150s      0.087w      1 calls
SAD Guess                           :      0.100u      0.150s      0.085w      1 calls
HF: Form G                          :    117.250u      0.717s      9.704w     12 calls
RV: Form V                          :     93.950u      0.433s      7.639w     12 calls
Properties                          :     31.424p                          47304 calls
Functional                          :      3.640p                          47304 calls
V_xc                                :     25.861p                          47304 calls
JK: D                               :      0.017u      0.000s      0.002w     12 calls
JK: USO2AO                          :      0.000u      0.017s      0.001w     12 calls
JK: JK                              :     23.267u      0.250s      2.054w     12 calls
DFH: compute_JK()                   :     23.267u      0.250s      2.054w     12 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     24 calls
DFH: compute_J                      :      1.917u      0.000s      0.164w     24 calls
DFH: compute_K                      :     21.300u      0.083s      1.761w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.002w     12 calls
HF: Form D                          :      0.017u      0.000s      0.002w     12 calls
HF: DIIS                            :      0.950u      0.217s      0.566w     11 calls
HF: Form C                          :      0.767u      0.583s      0.459w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      2.500u      0.017s      0.329w      1 calls
| build grid                        :      2.333u      0.000s      0.226w      1 calls
| post-process grid                 :      0.167u      0.017s      0.103w      1 calls
DFH: sparsity prep                  :      0.033u      0.000s      0.023w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.016w      1 calls
DFH: initialize()                   :     10.083u      0.817s      1.918w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.016w      9 calls
| DFH: AO Construction              :      1.883u      0.000s      0.379w     22 calls
| DFH: AO-Met. Contraction          :      6.233u      0.667s      0.710w     22 calls
HF: Form core H                     :      0.133u      0.000s      0.018w      1 calls
HF: Form S/X                        :      0.083u      0.050s      0.043w      1 calls
HF: Guess                           :      0.100u      0.150s      0.087w      1 calls
| SAD Guess                         :      0.100u      0.150s      0.085w      1 calls
HF: Form G                          :    117.250u      0.717s      9.704w     12 calls
| RV: Form V                        :     93.950u      0.433s      7.639w     12 calls
| | Properties                      :     31.424p                          47304 calls
| | Functional                      :      3.640p                          47304 calls
| | V_xc                            :     25.861p                          47304 calls
| JK: D                             :      0.017u      0.000s      0.002w     12 calls
| JK: USO2AO                        :      0.000u      0.017s      0.001w     12 calls
| JK: JK                            :     23.267u      0.250s      2.054w     12 calls
| | DFH: compute_JK()               :     23.267u      0.250s      2.054w     12 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     24 calls
| | | DFH: compute_J                :      1.917u      0.000s      0.164w     24 calls
| | | DFH: compute_K                :     21.300u      0.083s      1.761w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.002w     12 calls
HF: Form D                          :      0.017u      0.000s      0.002w     12 calls
HF: DIIS                            :      0.950u      0.217s      0.566w     11 calls
HF: Form C                          :      0.767u      0.583s      0.459w     11 calls

**************************************************************************************
