
Host: choehoyun-ui-MacBookAir.local

Timers On : Mon Aug 10 18:44:06 2026
Timers Off: Mon Aug 10 18:44:20 2026

Wall Time:       13.88 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      2.267u      0.017s      0.300w      1 calls
build grid                          :      2.133u      0.000s      0.217w      1 calls
post-process grid                   :      0.133u      0.017s      0.083w      1 calls
DFH: sparsity prep                  :      0.033u      0.000s      0.021w      1 calls
Libint2ERI::Libint2ERI              :      0.067u      0.000s      0.029w     10 calls
DFH: initialize()                   :      9.333u      0.800s      1.742w      1 calls
DFH: AO Construction                :      1.750u      0.017s      0.340w     21 calls
DFH: AO-Met. Contraction            :      5.783u      0.650s      0.664w     21 calls
HF: Form core H                     :      0.133u      0.000s      0.014w      1 calls
HF: Form S/X                        :      0.083u      0.067s      0.044w      1 calls
HF: Guess                           :      0.100u      0.133s      0.078w      1 calls
SAD Guess                           :      0.100u      0.133s      0.077w      1 calls
HF: Form G                          :    118.333u      0.700s      9.562w     12 calls
RV: Form V                          :     95.583u      0.433s      7.578w     12 calls
Properties                          :     31.185p                          47472 calls
Functional                          :      3.530p                          47472 calls
V_xc                                :     25.714p                          47472 calls
JK: D                               :      0.017u      0.000s      0.002w     12 calls
JK: USO2AO                          :      0.000u      0.000s      0.002w     12 calls
JK: JK                              :     22.717u      0.267s      1.973w     12 calls
DFH: compute_JK()                   :     22.717u      0.267s      1.973w     12 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     24 calls
DFH: compute_J                      :      1.783u      0.033s      0.146w     24 calls
DFH: compute_K                      :     20.883u      0.017s      1.704w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.001w     12 calls
HF: Form D                          :      0.033u      0.000s      0.002w     12 calls
HF: DIIS                            :      0.867u      0.217s      0.518w     11 calls
HF: Form C                          :      0.733u      0.550s      0.433w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      2.267u      0.017s      0.300w      1 calls
| build grid                        :      2.133u      0.000s      0.217w      1 calls
| post-process grid                 :      0.133u      0.017s      0.083w      1 calls
DFH: sparsity prep                  :      0.033u      0.000s      0.021w      1 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.014w      1 calls
DFH: initialize()                   :      9.333u      0.800s      1.742w      1 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.014w      9 calls
| DFH: AO Construction              :      1.750u      0.017s      0.340w     21 calls
| DFH: AO-Met. Contraction          :      5.783u      0.650s      0.664w     21 calls
HF: Form core H                     :      0.133u      0.000s      0.014w      1 calls
HF: Form S/X                        :      0.083u      0.067s      0.044w      1 calls
HF: Guess                           :      0.100u      0.133s      0.078w      1 calls
| SAD Guess                         :      0.100u      0.133s      0.077w      1 calls
HF: Form G                          :    118.333u      0.700s      9.562w     12 calls
| RV: Form V                        :     95.583u      0.433s      7.578w     12 calls
| | Properties                      :     31.185p                          47472 calls
| | Functional                      :      3.530p                          47472 calls
| | V_xc                            :     25.714p                          47472 calls
| JK: D                             :      0.017u      0.000s      0.002w     12 calls
| JK: USO2AO                        :      0.000u      0.000s      0.002w     12 calls
| JK: JK                            :     22.717u      0.267s      1.973w     12 calls
| | DFH: compute_JK()               :     22.717u      0.267s      1.973w     12 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     24 calls
| | | DFH: compute_J                :      1.783u      0.033s      0.146w     24 calls
| | | DFH: compute_K                :     20.883u      0.017s      1.704w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.001w     12 calls
HF: Form D                          :      0.033u      0.000s      0.002w     12 calls
HF: DIIS                            :      0.867u      0.217s      0.518w     11 calls
HF: Form C                          :      0.733u      0.550s      0.433w     11 calls

**************************************************************************************
