
Host: choehoyun-ui-MacBookAir.local

Timers On : Mon Aug 10 18:44:37 2026
Timers Off: Mon Aug 10 18:44:49 2026

Wall Time:       12.48 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      1.983u      0.000s      0.244w      1 calls
build grid                          :      1.867u      0.000s      0.172w      1 calls
post-process grid                   :      0.117u      0.000s      0.072w      1 calls
DFH: sparsity prep                  :      0.033u      0.000s      0.020w      1 calls
Libint2ERI::Libint2ERI              :      0.033u      0.000s      0.027w     10 calls
DFH: initialize()                   :      7.300u      0.733s      1.413w      1 calls
DFH: AO Construction                :      1.267u      0.017s      0.238w     20 calls
DFH: AO-Met. Contraction            :      4.367u      0.567s      0.517w     20 calls
HF: Form core H                     :      0.083u      0.017s      0.009w      1 calls
HF: Form S/X                        :      0.050u      0.033s      0.027w      1 calls
HF: Guess                           :      0.067u      0.083s      0.052w      1 calls
SAD Guess                           :      0.067u      0.083s      0.051w      1 calls
HF: Form G                          :    109.917u      0.567s      8.784w     12 calls
RV: Form V                          :     88.033u      0.333s      6.902w     12 calls
Properties                          :     28.384p                          45432 calls
Functional                          :      3.270p                          45432 calls
V_xc                                :     23.413p                          45432 calls
JK: D                               :      0.033u      0.000s      0.004w     12 calls
JK: USO2AO                          :      0.000u      0.000s      0.002w     12 calls
JK: JK                              :     21.850u      0.233s      1.873w     12 calls
DFH: compute_JK()                   :     21.850u      0.233s      1.872w     12 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     24 calls
DFH: compute_J                      :      1.600u      0.033s      0.135w     24 calls
DFH: compute_K                      :     20.183u      0.033s      1.626w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.001w     12 calls
HF: Form D                          :      0.017u      0.000s      0.002w     12 calls
HF: DIIS                            :      0.783u      0.183s      0.467w     11 calls
HF: Form C                          :      0.700u      0.517s      0.417w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      1.983u      0.000s      0.244w      1 calls
| build grid                        :      1.867u      0.000s      0.172w      1 calls
| post-process grid                 :      0.117u      0.000s      0.072w      1 calls
DFH: sparsity prep                  :      0.033u      0.000s      0.020w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.013w      1 calls
DFH: initialize()                   :      7.300u      0.733s      1.413w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.013w      9 calls
| DFH: AO Construction              :      1.267u      0.017s      0.238w     20 calls
| DFH: AO-Met. Contraction          :      4.367u      0.567s      0.517w     20 calls
HF: Form core H                     :      0.083u      0.017s      0.009w      1 calls
HF: Form S/X                        :      0.050u      0.033s      0.027w      1 calls
HF: Guess                           :      0.067u      0.083s      0.052w      1 calls
| SAD Guess                         :      0.067u      0.083s      0.051w      1 calls
HF: Form G                          :    109.917u      0.567s      8.784w     12 calls
| RV: Form V                        :     88.033u      0.333s      6.902w     12 calls
| | Properties                      :     28.384p                          45432 calls
| | Functional                      :      3.270p                          45432 calls
| | V_xc                            :     23.413p                          45432 calls
| JK: D                             :      0.033u      0.000s      0.004w     12 calls
| JK: USO2AO                        :      0.000u      0.000s      0.002w     12 calls
| JK: JK                            :     21.850u      0.233s      1.873w     12 calls
| | DFH: compute_JK()               :     21.850u      0.233s      1.872w     12 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     24 calls
| | | DFH: compute_J                :      1.600u      0.033s      0.135w     24 calls
| | | DFH: compute_K                :     20.183u      0.033s      1.626w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.001w     12 calls
HF: Form D                          :      0.017u      0.000s      0.002w     12 calls
HF: DIIS                            :      0.783u      0.183s      0.467w     11 calls
HF: Form C                          :      0.700u      0.517s      0.417w     11 calls

**************************************************************************************
