
Host: choehoyun-ui-MacBookAir.local

Timers On : Mon Aug 10 18:44:52 2026
Timers Off: Mon Aug 10 18:45:04 2026

Wall Time:       12.19 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      1.983u      0.000s      0.248w      1 calls
build grid                          :      1.883u      0.000s      0.176w      1 calls
post-process grid                   :      0.100u      0.000s      0.072w      1 calls
DFH: sparsity prep                  :      0.033u      0.000s      0.020w      1 calls
Libint2ERI::Libint2ERI              :      0.033u      0.017s      0.027w     10 calls
DFH: initialize()                   :      6.950u      0.633s      1.354w      1 calls
DFH: AO Construction                :      1.183u      0.000s      0.220w     20 calls
DFH: AO-Met. Contraction            :      4.133u      0.500s      0.478w     20 calls
HF: Form core H                     :      0.083u      0.017s      0.009w      1 calls
HF: Form S/X                        :      0.050u      0.033s      0.027w      1 calls
HF: Guess                           :      0.067u      0.067s      0.046w      1 calls
SAD Guess                           :      0.067u      0.067s      0.046w      1 calls
HF: Form G                          :    105.417u      0.600s      8.565w     12 calls
RV: Form V                          :     83.733u      0.350s      6.678w     12 calls
Properties                          :     27.577p                          45396 calls
Functional                          :      3.227p                          45396 calls
V_xc                                :     22.460p                          45396 calls
JK: D                               :      0.000u      0.000s      0.002w     12 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     12 calls
JK: JK                              :     21.683u      0.250s      1.881w     12 calls
DFH: compute_JK()                   :     21.683u      0.250s      1.881w     12 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     24 calls
DFH: compute_J                      :      1.617u      0.000s      0.134w     24 calls
DFH: compute_K                      :     20.000u      0.017s      1.632w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.017s      0.002w     12 calls
HF: Form D                          :      0.017u      0.000s      0.002w     12 calls
HF: DIIS                            :      0.817u      0.183s      0.449w     11 calls
HF: Form C                          :      0.700u      0.550s      0.423w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      1.983u      0.000s      0.248w      1 calls
| build grid                        :      1.883u      0.000s      0.176w      1 calls
| post-process grid                 :      0.100u      0.000s      0.072w      1 calls
DFH: sparsity prep                  :      0.033u      0.000s      0.020w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.013w      1 calls
DFH: initialize()                   :      6.950u      0.633s      1.354w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.017s      0.013w      9 calls
| DFH: AO Construction              :      1.183u      0.000s      0.220w     20 calls
| DFH: AO-Met. Contraction          :      4.133u      0.500s      0.478w     20 calls
HF: Form core H                     :      0.083u      0.017s      0.009w      1 calls
HF: Form S/X                        :      0.050u      0.033s      0.027w      1 calls
HF: Guess                           :      0.067u      0.067s      0.046w      1 calls
| SAD Guess                         :      0.067u      0.067s      0.046w      1 calls
HF: Form G                          :    105.417u      0.600s      8.565w     12 calls
| RV: Form V                        :     83.733u      0.350s      6.678w     12 calls
| | Properties                      :     27.577p                          45396 calls
| | Functional                      :      3.227p                          45396 calls
| | V_xc                            :     22.460p                          45396 calls
| JK: D                             :      0.000u      0.000s      0.002w     12 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     12 calls
| JK: JK                            :     21.683u      0.250s      1.881w     12 calls
| | DFH: compute_JK()               :     21.683u      0.250s      1.881w     12 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     24 calls
| | | DFH: compute_J                :      1.617u      0.000s      0.134w     24 calls
| | | DFH: compute_K                :     20.000u      0.017s      1.632w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.017s      0.002w     12 calls
HF: Form D                          :      0.017u      0.000s      0.002w     12 calls
HF: DIIS                            :      0.817u      0.183s      0.449w     11 calls
HF: Form C                          :      0.700u      0.550s      0.423w     11 calls

**************************************************************************************
