
Host: choehoyun-ui-MacBookAir.local

Timers On : Mon Aug 10 18:45:07 2026
Timers Off: Mon Aug 10 18:45:20 2026

Wall Time:       12.69 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      1.983u      0.000s      0.247w      1 calls
build grid                          :      1.867u      0.000s      0.176w      1 calls
post-process grid                   :      0.117u      0.000s      0.071w      1 calls
DFH: sparsity prep                  :      0.033u      0.000s      0.020w      1 calls
Libint2ERI::Libint2ERI              :      0.067u      0.000s      0.027w     10 calls
DFH: initialize()                   :      7.367u      0.733s      1.425w      1 calls
DFH: AO Construction                :      1.217u      0.017s      0.238w     20 calls
DFH: AO-Met. Contraction            :      4.400u      0.567s      0.511w     20 calls
HF: Form core H                     :      0.100u      0.000s      0.009w      1 calls
HF: Form S/X                        :      0.050u      0.050s      0.027w      1 calls
HF: Guess                           :      0.067u      0.083s      0.053w      1 calls
SAD Guess                           :      0.067u      0.083s      0.052w      1 calls
HF: Form G                          :    108.150u      0.617s      8.861w     12 calls
RV: Form V                          :     86.683u      0.383s      7.008w     12 calls
Properties                          :     28.932p                          45636 calls
Functional                          :      3.427p                          45636 calls
V_xc                                :     23.360p                          45636 calls
JK: D                               :      0.033u      0.000s      0.003w     12 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     12 calls
JK: JK                              :     21.433u      0.233s      1.844w     12 calls
DFH: compute_JK()                   :     21.433u      0.233s      1.844w     12 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     24 calls
DFH: compute_J                      :      1.550u      0.017s      0.133w     24 calls
DFH: compute_K                      :     19.850u      0.050s      1.590w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.002w     12 calls
HF: Form D                          :      0.017u      0.000s      0.002w     12 calls
HF: DIIS                            :      0.833u      0.200s      0.486w     11 calls
HF: Form C                          :      1.250u      0.517s      0.510w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      1.983u      0.000s      0.247w      1 calls
| build grid                        :      1.867u      0.000s      0.176w      1 calls
| post-process grid                 :      0.117u      0.000s      0.071w      1 calls
DFH: sparsity prep                  :      0.033u      0.000s      0.020w      1 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.014w      1 calls
DFH: initialize()                   :      7.367u      0.733s      1.425w      1 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.014w      9 calls
| DFH: AO Construction              :      1.217u      0.017s      0.238w     20 calls
| DFH: AO-Met. Contraction          :      4.400u      0.567s      0.511w     20 calls
HF: Form core H                     :      0.100u      0.000s      0.009w      1 calls
HF: Form S/X                        :      0.050u      0.050s      0.027w      1 calls
HF: Guess                           :      0.067u      0.083s      0.053w      1 calls
| SAD Guess                         :      0.067u      0.083s      0.052w      1 calls
HF: Form G                          :    108.150u      0.617s      8.861w     12 calls
| RV: Form V                        :     86.683u      0.383s      7.008w     12 calls
| | Properties                      :     28.932p                          45636 calls
| | Functional                      :      3.427p                          45636 calls
| | V_xc                            :     23.360p                          45636 calls
| JK: D                             :      0.033u      0.000s      0.003w     12 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     12 calls
| JK: JK                            :     21.433u      0.233s      1.844w     12 calls
| | DFH: compute_JK()               :     21.433u      0.233s      1.844w     12 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     24 calls
| | | DFH: compute_J                :      1.550u      0.017s      0.133w     24 calls
| | | DFH: compute_K                :     19.850u      0.050s      1.590w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.002w     12 calls
HF: Form D                          :      0.017u      0.000s      0.002w     12 calls
HF: DIIS                            :      0.833u      0.200s      0.486w     11 calls
HF: Form C                          :      1.250u      0.517s      0.510w     11 calls

**************************************************************************************
