
Host: choehoyun-ui-MacBookAir.local

Timers On : Mon Aug 10 18:45:22 2026
Timers Off: Mon Aug 10 18:45:34 2026

Wall Time:       12.18 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      2.033u      0.017s      0.240w      1 calls
build grid                          :      1.917u      0.000s      0.166w      1 calls
post-process grid                   :      0.117u      0.017s      0.074w      1 calls
DFH: sparsity prep                  :      0.033u      0.000s      0.020w      1 calls
Libint2ERI::Libint2ERI              :      0.033u      0.017s      0.027w     10 calls
DFH: initialize()                   :      7.283u      0.717s      1.412w      1 calls
DFH: AO Construction                :      1.317u      0.000s      0.242w     21 calls
DFH: AO-Met. Contraction            :      4.350u      0.583s      0.508w     21 calls
HF: Form core H                     :      0.083u      0.000s      0.009w      1 calls
HF: Form S/X                        :      0.050u      0.033s      0.027w      1 calls
HF: Guess                           :      0.067u      0.067s      0.050w      1 calls
SAD Guess                           :      0.067u      0.067s      0.049w      1 calls
HF: Form G                          :    106.933u      0.583s      8.462w     12 calls
RV: Form V                          :     85.383u      0.350s      6.641w     12 calls
Properties                          :     27.177p                          45276 calls
Functional                          :      3.190p                          45276 calls
V_xc                                :     22.592p                          45276 calls
JK: D                               :      0.000u      0.000s      0.002w     12 calls
JK: USO2AO                          :      0.000u      0.000s      0.002w     12 calls
JK: JK                              :     21.533u      0.233s      1.813w     12 calls
DFH: compute_JK()                   :     21.533u      0.233s      1.813w     12 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     24 calls
DFH: compute_J                      :      1.500u      0.017s      0.131w     24 calls
DFH: compute_K                      :     19.900u      0.033s      1.569w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.001w     12 calls
HF: Form D                          :      0.000u      0.000s      0.001w     12 calls
HF: DIIS                            :      0.833u      0.183s      0.494w     11 calls
HF: Form C                          :      0.667u      0.533s      0.414w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      2.033u      0.017s      0.240w      1 calls
| build grid                        :      1.917u      0.000s      0.166w      1 calls
| post-process grid                 :      0.117u      0.017s      0.074w      1 calls
DFH: sparsity prep                  :      0.033u      0.000s      0.020w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.013w      1 calls
DFH: initialize()                   :      7.283u      0.717s      1.412w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.017s      0.013w      9 calls
| DFH: AO Construction              :      1.317u      0.000s      0.242w     21 calls
| DFH: AO-Met. Contraction          :      4.350u      0.583s      0.508w     21 calls
HF: Form core H                     :      0.083u      0.000s      0.009w      1 calls
HF: Form S/X                        :      0.050u      0.033s      0.027w      1 calls
HF: Guess                           :      0.067u      0.067s      0.050w      1 calls
| SAD Guess                         :      0.067u      0.067s      0.049w      1 calls
HF: Form G                          :    106.933u      0.583s      8.462w     12 calls
| RV: Form V                        :     85.383u      0.350s      6.641w     12 calls
| | Properties                      :     27.177p                          45276 calls
| | Functional                      :      3.190p                          45276 calls
| | V_xc                            :     22.592p                          45276 calls
| JK: D                             :      0.000u      0.000s      0.002w     12 calls
| JK: USO2AO                        :      0.000u      0.000s      0.002w     12 calls
| JK: JK                            :     21.533u      0.233s      1.813w     12 calls
| | DFH: compute_JK()               :     21.533u      0.233s      1.813w     12 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     24 calls
| | | DFH: compute_J                :      1.500u      0.017s      0.131w     24 calls
| | | DFH: compute_K                :     19.900u      0.033s      1.569w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.001w     12 calls
HF: Form D                          :      0.000u      0.000s      0.001w     12 calls
HF: DIIS                            :      0.833u      0.183s      0.494w     11 calls
HF: Form C                          :      0.667u      0.533s      0.414w     11 calls

**************************************************************************************
