
Host: choehoyun-ui-MacBookAir.local

Timers On : Mon Aug 10 18:45:37 2026
Timers Off: Mon Aug 10 18:45:47 2026

Wall Time:        9.56 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      1.550u      0.000s      0.194w      1 calls
build grid                          :      1.450u      0.000s      0.127w      1 calls
post-process grid                   :      0.100u      0.000s      0.067w      1 calls
DFH: sparsity prep                  :      0.033u      0.000s      0.017w      1 calls
Libint2ERI::Libint2ERI              :      0.033u      0.000s      0.023w     10 calls
DFH: initialize()                   :      4.917u      0.617s      1.050w      1 calls
DFH: AO Construction                :      0.883u      0.000s      0.175w     19 calls
DFH: AO-Met. Contraction            :      2.767u      0.500s      0.354w     19 calls
HF: Form core H                     :      0.067u      0.000s      0.007w      1 calls
HF: Form S/X                        :      0.033u      0.033s      0.017w      1 calls
HF: Guess                           :      0.067u      0.083s      0.053w      1 calls
SAD Guess                           :      0.067u      0.083s      0.052w      1 calls
HF: Form G                          :     81.967u      0.450s      6.578w     12 calls
RV: Form V                          :     67.050u      0.267s      5.275w     12 calls
Properties                          :     21.769p                          42048 calls
Functional                          :      2.767p                          42048 calls
V_xc                                :     17.542p                          42048 calls
JK: D                               :      0.017u      0.000s      0.002w     12 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     12 calls
JK: JK                              :     14.883u      0.183s      1.295w     12 calls
DFH: compute_JK()                   :     14.883u      0.183s      1.295w     12 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     24 calls
DFH: compute_J                      :      1.167u      0.000s      0.104w     24 calls
DFH: compute_K                      :     13.667u      0.067s      1.106w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.002w     12 calls
HF: Form D                          :      0.017u      0.000s      0.001w     12 calls
HF: DIIS                            :      0.633u      0.133s      0.367w     11 calls
HF: Form C                          :      0.517u      0.417s      0.304w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      1.550u      0.000s      0.194w      1 calls
| build grid                        :      1.450u      0.000s      0.127w      1 calls
| post-process grid                 :      0.100u      0.000s      0.067w      1 calls
DFH: sparsity prep                  :      0.033u      0.000s      0.017w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.012w      1 calls
DFH: initialize()                   :      4.917u      0.617s      1.050w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.012w      9 calls
| DFH: AO Construction              :      0.883u      0.000s      0.175w     19 calls
| DFH: AO-Met. Contraction          :      2.767u      0.500s      0.354w     19 calls
HF: Form core H                     :      0.067u      0.000s      0.007w      1 calls
HF: Form S/X                        :      0.033u      0.033s      0.017w      1 calls
HF: Guess                           :      0.067u      0.083s      0.053w      1 calls
| SAD Guess                         :      0.067u      0.083s      0.052w      1 calls
HF: Form G                          :     81.967u      0.450s      6.578w     12 calls
| RV: Form V                        :     67.050u      0.267s      5.275w     12 calls
| | Properties                      :     21.769p                          42048 calls
| | Functional                      :      2.767p                          42048 calls
| | V_xc                            :     17.542p                          42048 calls
| JK: D                             :      0.017u      0.000s      0.002w     12 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     12 calls
| JK: JK                            :     14.883u      0.183s      1.295w     12 calls
| | DFH: compute_JK()               :     14.883u      0.183s      1.295w     12 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     24 calls
| | | DFH: compute_J                :      1.167u      0.000s      0.104w     24 calls
| | | DFH: compute_K                :     13.667u      0.067s      1.106w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.002w     12 calls
HF: Form D                          :      0.017u      0.000s      0.001w     12 calls
HF: DIIS                            :      0.633u      0.133s      0.367w     11 calls
HF: Form C                          :      0.517u      0.417s      0.304w     11 calls

**************************************************************************************
