
Host: choehoyun-ui-MacBookAir.local

Timers On : Mon Aug 10 18:45:47 2026
Timers Off: Mon Aug 10 18:45:58 2026

Wall Time:       10.69 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      1.750u      0.017s      0.230w      1 calls
build grid                          :      1.600u      0.017s      0.141w      1 calls
post-process grid                   :      0.150u      0.000s      0.090w      1 calls
DFH: sparsity prep                  :      0.033u      0.000s      0.019w      1 calls
Libint2ERI::Libint2ERI              :      0.033u      0.000s      0.026w     10 calls
DFH: initialize()                   :      6.117u      0.667s      1.264w      1 calls
DFH: AO Construction                :      1.133u      0.000s      0.230w     19 calls
DFH: AO-Met. Contraction            :      3.567u      0.533s      0.425w     19 calls
HF: Form core H                     :      0.083u      0.000s      0.009w      1 calls
HF: Form S/X                        :      0.050u      0.033s      0.025w      1 calls
HF: Guess                           :      0.100u      0.133s      0.081w      1 calls
SAD Guess                           :      0.100u      0.133s      0.079w      1 calls
HF: Form G                          :     88.950u      0.500s      7.112w     12 calls
RV: Form V                          :     72.950u      0.317s      5.736w     12 calls
Properties                          :     23.743p                          41688 calls
Functional                          :      3.015p                          41688 calls
V_xc                                :     18.918p                          41688 calls
JK: D                               :      0.017u      0.017s      0.002w     12 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     12 calls
JK: JK                              :     15.983u      0.167s      1.367w     12 calls
DFH: compute_JK()                   :     15.983u      0.167s      1.366w     12 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     24 calls
DFH: compute_J                      :      1.250u      0.000s      0.103w     24 calls
DFH: compute_K                      :     14.683u      0.067s      1.170w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.001w     12 calls
HF: Form D                          :      0.017u      0.000s      0.001w     12 calls
HF: DIIS                            :      0.800u      0.233s      0.494w     11 calls
HF: Form C                          :      0.517u      0.367s      0.317w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      1.750u      0.017s      0.230w      1 calls
| build grid                        :      1.600u      0.017s      0.141w      1 calls
| post-process grid                 :      0.150u      0.000s      0.090w      1 calls
DFH: sparsity prep                  :      0.033u      0.000s      0.019w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.013w      1 calls
DFH: initialize()                   :      6.117u      0.667s      1.264w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.013w      9 calls
| DFH: AO Construction              :      1.133u      0.000s      0.230w     19 calls
| DFH: AO-Met. Contraction          :      3.567u      0.533s      0.425w     19 calls
HF: Form core H                     :      0.083u      0.000s      0.009w      1 calls
HF: Form S/X                        :      0.050u      0.033s      0.025w      1 calls
HF: Guess                           :      0.100u      0.133s      0.081w      1 calls
| SAD Guess                         :      0.100u      0.133s      0.079w      1 calls
HF: Form G                          :     88.950u      0.500s      7.112w     12 calls
| RV: Form V                        :     72.950u      0.317s      5.736w     12 calls
| | Properties                      :     23.743p                          41688 calls
| | Functional                      :      3.015p                          41688 calls
| | V_xc                            :     18.918p                          41688 calls
| JK: D                             :      0.017u      0.017s      0.002w     12 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w     12 calls
| JK: JK                            :     15.983u      0.167s      1.367w     12 calls
| | DFH: compute_JK()               :     15.983u      0.167s      1.366w     12 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     24 calls
| | | DFH: compute_J                :      1.250u      0.000s      0.103w     24 calls
| | | DFH: compute_K                :     14.683u      0.067s      1.170w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.001w     12 calls
HF: Form D                          :      0.017u      0.000s      0.001w     12 calls
HF: DIIS                            :      0.800u      0.233s      0.494w     11 calls
HF: Form C                          :      0.517u      0.367s      0.317w     11 calls

**************************************************************************************
