
Host: choehoyun-ui-MacBookAir.local

Timers On : Mon Aug 10 18:46:13 2026
Timers Off: Mon Aug 10 18:46:23 2026

Wall Time:       10.28 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      1.567u      0.017s      0.198w      1 calls
build grid                          :      1.467u      0.000s      0.128w      1 calls
post-process grid                   :      0.100u      0.017s      0.070w      1 calls
DFH: sparsity prep                  :      0.033u      0.000s      0.017w      1 calls
Libint2ERI::Libint2ERI              :      0.050u      0.017s      0.023w     10 calls
DFH: initialize()                   :      5.500u      0.633s      1.139w      1 calls
DFH: AO Construction                :      1.033u      0.000s      0.205w     19 calls
DFH: AO-Met. Contraction            :      3.150u      0.500s      0.387w     19 calls
HF: Form core H                     :      0.067u      0.017s      0.009w      1 calls
HF: Form S/X                        :      0.050u      0.033s      0.024w      1 calls
HF: Guess                           :      0.083u      0.117s      0.074w      1 calls
SAD Guess                           :      0.083u      0.117s      0.073w      1 calls
HF: Form G                          :     87.900u      0.467s      6.987w     12 calls
RV: Form V                          :     71.967u      0.250s      5.615w     12 calls
Properties                          :     23.146p                          41904 calls
Functional                          :      2.974p                          41904 calls
V_xc                                :     18.660p                          41904 calls
JK: D                               :      0.000u      0.000s      0.002w     12 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     12 calls
JK: JK                              :     15.933u      0.217s      1.366w     12 calls
DFH: compute_JK()                   :     15.933u      0.217s      1.365w     12 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     24 calls
DFH: compute_J                      :      1.217u      0.000s      0.100w     24 calls
DFH: compute_K                      :     14.650u      0.133s      1.176w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.002w     12 calls
HF: Form D                          :      0.000u      0.000s      0.001w     12 calls
HF: DIIS                            :      0.817u      0.167s      0.498w     11 calls
HF: Form C                          :      0.533u      0.450s      0.318w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      1.567u      0.017s      0.198w      1 calls
| build grid                        :      1.467u      0.000s      0.128w      1 calls
| post-process grid                 :      0.100u      0.017s      0.070w      1 calls
DFH: sparsity prep                  :      0.033u      0.000s      0.017w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.012w      1 calls
DFH: initialize()                   :      5.500u      0.633s      1.139w      1 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.017s      0.012w      9 calls
| DFH: AO Construction              :      1.033u      0.000s      0.205w     19 calls
| DFH: AO-Met. Contraction          :      3.150u      0.500s      0.387w     19 calls
HF: Form core H                     :      0.067u      0.017s      0.009w      1 calls
HF: Form S/X                        :      0.050u      0.033s      0.024w      1 calls
HF: Guess                           :      0.083u      0.117s      0.074w      1 calls
| SAD Guess                         :      0.083u      0.117s      0.073w      1 calls
HF: Form G                          :     87.900u      0.467s      6.987w     12 calls
| RV: Form V                        :     71.967u      0.250s      5.615w     12 calls
| | Properties                      :     23.146p                          41904 calls
| | Functional                      :      2.974p                          41904 calls
| | V_xc                            :     18.660p                          41904 calls
| JK: D                             :      0.000u      0.000s      0.002w     12 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     12 calls
| JK: JK                            :     15.933u      0.217s      1.366w     12 calls
| | DFH: compute_JK()               :     15.933u      0.217s      1.365w     12 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     24 calls
| | | DFH: compute_J                :      1.217u      0.000s      0.100w     24 calls
| | | DFH: compute_K                :     14.650u      0.133s      1.176w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.002w     12 calls
HF: Form D                          :      0.000u      0.000s      0.001w     12 calls
HF: DIIS                            :      0.817u      0.167s      0.498w     11 calls
HF: Form C                          :      0.533u      0.450s      0.318w     11 calls

**************************************************************************************
