
Host: choehoyun-ui-MacBookAir.local

Timers On : Mon Aug 10 18:46:28 2026
Timers Off: Mon Aug 10 18:46:37 2026

Wall Time:        8.94 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      1.567u      0.017s      0.198w      1 calls
build grid                          :      1.467u      0.017s      0.131w      1 calls
post-process grid                   :      0.100u      0.000s      0.066w      1 calls
DFH: sparsity prep                  :      0.033u      0.000s      0.017w      1 calls
Libint2ERI::Libint2ERI              :      0.033u      0.000s      0.023w     10 calls
DFH: initialize()                   :      4.850u      0.633s      1.045w      1 calls
DFH: AO Construction                :      0.800u      0.000s      0.172w     19 calls
DFH: AO-Met. Contraction            :      2.767u      0.500s      0.346w     19 calls
HF: Form core H                     :      0.050u      0.017s      0.006w      1 calls
HF: Form S/X                        :      0.033u      0.017s      0.014w      1 calls
HF: Guess                           :      0.050u      0.067s      0.047w      1 calls
SAD Guess                           :      0.050u      0.067s      0.046w      1 calls
HF: Form G                          :     76.017u      0.367s      6.072w     12 calls
RV: Form V                          :     62.000u      0.233s      4.856w     12 calls
Properties                          :     19.979p                          41928 calls
Functional                          :      2.557p                          41928 calls
V_xc                                :     16.159p                          41928 calls
JK: D                               :      0.000u      0.000s      0.002w     12 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     12 calls
JK: JK                              :     14.017u      0.133s      1.209w     12 calls
DFH: compute_JK()                   :     14.017u      0.133s      1.209w     12 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     24 calls
DFH: compute_J                      :      1.250u      0.017s      0.104w     24 calls
DFH: compute_K                      :     12.733u      0.050s      1.025w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.017u      0.017s      0.002w     12 calls
HF: Form D                          :      0.017u      0.000s      0.001w     12 calls
HF: DIIS                            :      0.517u      0.167s      0.301w     11 calls
HF: Form C                          :      0.450u      0.383s      0.287w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      1.567u      0.017s      0.198w      1 calls
| build grid                        :      1.467u      0.017s      0.131w      1 calls
| post-process grid                 :      0.100u      0.000s      0.066w      1 calls
DFH: sparsity prep                  :      0.033u      0.000s      0.017w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.012w      1 calls
DFH: initialize()                   :      4.850u      0.633s      1.045w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.012w      9 calls
| DFH: AO Construction              :      0.800u      0.000s      0.172w     19 calls
| DFH: AO-Met. Contraction          :      2.767u      0.500s      0.346w     19 calls
HF: Form core H                     :      0.050u      0.017s      0.006w      1 calls
HF: Form S/X                        :      0.033u      0.017s      0.014w      1 calls
HF: Guess                           :      0.050u      0.067s      0.047w      1 calls
| SAD Guess                         :      0.050u      0.067s      0.046w      1 calls
HF: Form G                          :     76.017u      0.367s      6.072w     12 calls
| RV: Form V                        :     62.000u      0.233s      4.856w     12 calls
| | Properties                      :     19.979p                          41928 calls
| | Functional                      :      2.557p                          41928 calls
| | V_xc                            :     16.159p                          41928 calls
| JK: D                             :      0.000u      0.000s      0.002w     12 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     12 calls
| JK: JK                            :     14.017u      0.133s      1.209w     12 calls
| | DFH: compute_JK()               :     14.017u      0.133s      1.209w     12 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     24 calls
| | | DFH: compute_J                :      1.250u      0.017s      0.104w     24 calls
| | | DFH: compute_K                :     12.733u      0.050s      1.025w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.017u      0.017s      0.002w     12 calls
HF: Form D                          :      0.017u      0.000s      0.001w     12 calls
HF: DIIS                            :      0.517u      0.167s      0.301w     11 calls
HF: Form C                          :      0.450u      0.383s      0.287w     11 calls

**************************************************************************************
