
Host: choehoyun-ui-MacBookAir.local

Timers On : Mon Aug 10 18:46:38 2026
Timers Off: Mon Aug 10 18:46:56 2026

Wall Time:       17.58 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      3.233u      0.017s      0.398w      1 calls
build grid                          :      3.033u      0.017s      0.267w      1 calls
post-process grid                   :      0.200u      0.000s      0.131w      1 calls
DFH: sparsity prep                  :      0.033u      0.000s      0.027w      1 calls
Libint2ERI::Libint2ERI              :      0.033u      0.000s      0.036w     10 calls
DFH: initialize()                   :     14.050u      1.017s      2.653w      1 calls
DFH: AO Construction                :      2.483u      0.000s      0.530w     25 calls
DFH: AO-Met. Contraction            :      9.000u      0.850s      1.037w     25 calls
HF: Form core H                     :      0.167u      0.017s      0.018w      1 calls
HF: Form S/X                        :      0.100u      0.067s      0.054w      1 calls
HF: Guess                           :      0.100u      0.133s      0.090w      1 calls
SAD Guess                           :      0.100u      0.133s      0.088w      1 calls
HF: Form G                          :    147.200u      0.933s     11.809w     12 calls
RV: Form V                          :    115.600u      0.567s      9.077w     12 calls
Properties                          :     37.251p                          51684 calls
Functional                          :      3.781p                          51684 calls
V_xc                                :     31.385p                          51684 calls
JK: D                               :      0.067u      0.000s      0.002w     12 calls
JK: USO2AO                          :      0.000u      0.000s      0.003w     12 calls
JK: JK                              :     31.533u      0.350s      2.720w     12 calls
DFH: compute_JK()                   :     31.533u      0.350s      2.720w     12 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     24 calls
DFH: compute_J                      :      2.183u      0.033s      0.175w     24 calls
DFH: compute_K                      :     29.300u      0.117s      2.369w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.001w     12 calls
HF: Form D                          :      0.017u      0.017s      0.002w     12 calls
HF: DIIS                            :      0.883u      0.200s      0.550w     11 calls
HF: Form C                          :      0.900u      0.600s      0.547w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      3.233u      0.017s      0.398w      1 calls
| build grid                        :      3.033u      0.017s      0.267w      1 calls
| post-process grid                 :      0.200u      0.000s      0.131w      1 calls
DFH: sparsity prep                  :      0.033u      0.000s      0.027w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.018w      1 calls
DFH: initialize()                   :     14.050u      1.017s      2.653w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.018w      9 calls
| DFH: AO Construction              :      2.483u      0.000s      0.530w     25 calls
| DFH: AO-Met. Contraction          :      9.000u      0.850s      1.037w     25 calls
HF: Form core H                     :      0.167u      0.017s      0.018w      1 calls
HF: Form S/X                        :      0.100u      0.067s      0.054w      1 calls
HF: Guess                           :      0.100u      0.133s      0.090w      1 calls
| SAD Guess                         :      0.100u      0.133s      0.088w      1 calls
HF: Form G                          :    147.200u      0.933s     11.809w     12 calls
| RV: Form V                        :    115.600u      0.567s      9.077w     12 calls
| | Properties                      :     37.251p                          51684 calls
| | Functional                      :      3.781p                          51684 calls
| | V_xc                            :     31.385p                          51684 calls
| JK: D                             :      0.067u      0.000s      0.002w     12 calls
| JK: USO2AO                        :      0.000u      0.000s      0.003w     12 calls
| JK: JK                            :     31.533u      0.350s      2.720w     12 calls
| | DFH: compute_JK()               :     31.533u      0.350s      2.720w     12 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     24 calls
| | | DFH: compute_J                :      2.183u      0.033s      0.175w     24 calls
| | | DFH: compute_K                :     29.300u      0.117s      2.369w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.001w     12 calls
HF: Form D                          :      0.017u      0.017s      0.002w     12 calls
HF: DIIS                            :      0.883u      0.200s      0.550w     11 calls
HF: Form C                          :      0.900u      0.600s      0.547w     11 calls

**************************************************************************************
