
Host: choehoyun-ui-MacBookAir.local

Timers On : Mon Aug 10 18:46:58 2026
Timers Off: Mon Aug 10 18:47:15 2026

Wall Time:       16.60 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      2.950u      0.017s      0.351w      1 calls
build grid                          :      2.800u      0.017s      0.253w      1 calls
post-process grid                   :      0.150u      0.000s      0.098w      1 calls
DFH: sparsity prep                  :      0.033u      0.000s      0.024w      1 calls
Libint2ERI::Libint2ERI              :      0.033u      0.000s      0.033w     10 calls
DFH: initialize()                   :     10.683u      0.783s      2.005w      1 calls
DFH: AO Construction                :      1.850u      0.000s      0.375w     24 calls
DFH: AO-Met. Contraction            :      6.700u      0.633s      0.774w     24 calls
HF: Form core H                     :      0.150u      0.017s      0.014w      1 calls
HF: Form S/X                        :      0.067u      0.033s      0.039w      1 calls
HF: Guess                           :      0.067u      0.100s      0.056w      1 calls
SAD Guess                           :      0.067u      0.100s      0.054w      1 calls
HF: Form G                          :    146.700u      0.883s     11.832w     12 calls
RV: Form V                          :    114.633u      0.500s      9.076w     12 calls
Properties                          :     37.377p                          51468 calls
Functional                          :      3.729p                          51468 calls
V_xc                                :     31.372p                          51468 calls
JK: D                               :      0.000u      0.000s      0.002w     12 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     12 calls
JK: JK                              :     32.067u      0.367s      2.748w     12 calls
DFH: compute_JK()                   :     32.067u      0.367s      2.748w     12 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     24 calls
DFH: compute_J                      :      2.217u      0.033s      0.180w     24 calls
DFH: compute_K                      :     29.717u      0.117s      2.406w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.001w     12 calls
HF: Form D                          :      0.000u      0.000s      0.002w     12 calls
HF: DIIS                            :      0.917u      0.167s      0.525w     11 calls
HF: Form C                          :      0.933u      0.650s      0.546w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      2.950u      0.017s      0.351w      1 calls
| build grid                        :      2.800u      0.017s      0.253w      1 calls
| post-process grid                 :      0.150u      0.000s      0.098w      1 calls
DFH: sparsity prep                  :      0.033u      0.000s      0.024w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.016w      1 calls
DFH: initialize()                   :     10.683u      0.783s      2.005w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.017w      9 calls
| DFH: AO Construction              :      1.850u      0.000s      0.375w     24 calls
| DFH: AO-Met. Contraction          :      6.700u      0.633s      0.774w     24 calls
HF: Form core H                     :      0.150u      0.017s      0.014w      1 calls
HF: Form S/X                        :      0.067u      0.033s      0.039w      1 calls
HF: Guess                           :      0.067u      0.100s      0.056w      1 calls
| SAD Guess                         :      0.067u      0.100s      0.054w      1 calls
HF: Form G                          :    146.700u      0.883s     11.832w     12 calls
| RV: Form V                        :    114.633u      0.500s      9.076w     12 calls
| | Properties                      :     37.377p                          51468 calls
| | Functional                      :      3.729p                          51468 calls
| | V_xc                            :     31.372p                          51468 calls
| JK: D                             :      0.000u      0.000s      0.002w     12 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w     12 calls
| JK: JK                            :     32.067u      0.367s      2.748w     12 calls
| | DFH: compute_JK()               :     32.067u      0.367s      2.748w     12 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     24 calls
| | | DFH: compute_J                :      2.217u      0.033s      0.180w     24 calls
| | | DFH: compute_K                :     29.717u      0.117s      2.406w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.001w     12 calls
HF: Form D                          :      0.000u      0.000s      0.002w     12 calls
HF: DIIS                            :      0.917u      0.167s      0.525w     11 calls
HF: Form C                          :      0.933u      0.650s      0.546w     11 calls

**************************************************************************************
