
Host: choehoyun-ui-MacBookAir.local

Timers On : Mon Aug 10 18:47:19 2026
Timers Off: Mon Aug 10 18:47:35 2026

Wall Time:       16.31 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      3.017u      0.017s      0.341w      1 calls
build grid                          :      2.867u      0.000s      0.247w      1 calls
post-process grid                   :      0.150u      0.017s      0.093w      1 calls
DFH: sparsity prep                  :      0.050u      0.017s      0.024w      1 calls
Libint2ERI::Libint2ERI              :      0.067u      0.000s      0.033w     10 calls
DFH: initialize()                   :      9.983u      0.717s      1.933w      1 calls
DFH: AO Construction                :      1.717u      0.017s      0.348w     25 calls
DFH: AO-Met. Contraction            :      6.133u      0.550s      0.724w     25 calls
HF: Form core H                     :      0.117u      0.000s      0.012w      1 calls
HF: Form S/X                        :      0.067u      0.033s      0.034w      1 calls
HF: Guess                           :      0.067u      0.083s      0.049w      1 calls
SAD Guess                           :      0.067u      0.083s      0.048w      1 calls
HF: Form G                          :    146.483u      0.883s     11.712w     12 calls
RV: Form V                          :    115.450u      0.517s      9.077w     12 calls
Properties                          :     37.312p                          52284 calls
Functional                          :      3.757p                          52284 calls
V_xc                                :     31.374p                          52284 calls
JK: D                               :      0.017u      0.000s      0.002w     12 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     12 calls
JK: JK                              :     31.000u      0.367s      2.628w     12 calls
DFH: compute_JK()                   :     31.000u      0.367s      2.628w     12 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     24 calls
DFH: compute_J                      :      2.233u      0.050s      0.182w     24 calls
DFH: compute_K                      :     28.683u      0.083s      2.288w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.017s      0.001w     12 calls
HF: Form D                          :      0.017u      0.000s      0.002w     12 calls
HF: DIIS                            :      0.883u      0.150s      0.499w     11 calls
HF: Form C                          :      0.983u      0.617s      0.546w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      3.017u      0.017s      0.341w      1 calls
| build grid                        :      2.867u      0.000s      0.247w      1 calls
| post-process grid                 :      0.150u      0.017s      0.093w      1 calls
DFH: sparsity prep                  :      0.050u      0.017s      0.024w      1 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.016w      1 calls
DFH: initialize()                   :      9.983u      0.717s      1.933w      1 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.016w      9 calls
| DFH: AO Construction              :      1.717u      0.017s      0.348w     25 calls
| DFH: AO-Met. Contraction          :      6.133u      0.550s      0.724w     25 calls
HF: Form core H                     :      0.117u      0.000s      0.012w      1 calls
HF: Form S/X                        :      0.067u      0.033s      0.034w      1 calls
HF: Guess                           :      0.067u      0.083s      0.049w      1 calls
| SAD Guess                         :      0.067u      0.083s      0.048w      1 calls
HF: Form G                          :    146.483u      0.883s     11.712w     12 calls
| RV: Form V                        :    115.450u      0.517s      9.077w     12 calls
| | Properties                      :     37.312p                          52284 calls
| | Functional                      :      3.757p                          52284 calls
| | V_xc                            :     31.374p                          52284 calls
| JK: D                             :      0.017u      0.000s      0.002w     12 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w     12 calls
| JK: JK                            :     31.000u      0.367s      2.628w     12 calls
| | DFH: compute_JK()               :     31.000u      0.367s      2.628w     12 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     24 calls
| | | DFH: compute_J                :      2.233u      0.050s      0.182w     24 calls
| | | DFH: compute_K                :     28.683u      0.083s      2.288w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.017s      0.001w     12 calls
HF: Form D                          :      0.017u      0.000s      0.002w     12 calls
HF: DIIS                            :      0.883u      0.150s      0.499w     11 calls
HF: Form C                          :      0.983u      0.617s      0.546w     11 calls

**************************************************************************************
