
Host: choehoyun-ui-MacBookAir.local

Timers On : Mon Aug 10 18:47:39 2026
Timers Off: Mon Aug 10 18:47:55 2026

Wall Time:       15.94 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      2.967u      0.017s      0.333w      1 calls
build grid                          :      2.817u      0.017s      0.243w      1 calls
post-process grid                   :      0.150u      0.000s      0.090w      1 calls
DFH: sparsity prep                  :      0.050u      0.000s      0.024w      1 calls
Libint2ERI::Libint2ERI              :      0.067u      0.000s      0.033w     10 calls
DFH: initialize()                   :      9.800u      0.767s      1.882w      1 calls
DFH: AO Construction                :      1.600u      0.017s      0.329w     24 calls
DFH: AO-Met. Contraction            :      6.050u      0.583s      0.702w     24 calls
HF: Form core H                     :      0.117u      0.000s      0.012w      1 calls
HF: Form S/X                        :      0.050u      0.050s      0.033w      1 calls
HF: Guess                           :      0.067u      0.067s      0.045w      1 calls
SAD Guess                           :      0.067u      0.067s      0.044w      1 calls
HF: Form G                          :    143.183u      0.817s     11.433w     12 calls
RV: Form V                          :    111.750u      0.533s      8.782w     12 calls
Properties                          :     35.966p                          52344 calls
Functional                          :      3.667p                          52344 calls
V_xc                                :     30.368p                          52344 calls
JK: D                               :      0.017u      0.000s      0.002w     12 calls
JK: USO2AO                          :      0.000u      0.000s      0.002w     12 calls
JK: JK                              :     31.417u      0.283s      2.641w     12 calls
DFH: compute_JK()                   :     31.400u      0.283s      2.641w     12 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     24 calls
DFH: compute_J                      :      2.183u      0.033s      0.173w     24 calls
DFH: compute_K                      :     29.167u      0.083s      2.312w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.001w     12 calls
HF: Form D                          :      0.017u      0.017s      0.002w     12 calls
HF: DIIS                            :      0.900u      0.200s      0.473w     11 calls
HF: Form C                          :      0.917u      0.583s      0.546w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      2.967u      0.017s      0.333w      1 calls
| build grid                        :      2.817u      0.017s      0.243w      1 calls
| post-process grid                 :      0.150u      0.000s      0.090w      1 calls
DFH: sparsity prep                  :      0.050u      0.000s      0.024w      1 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.016w      1 calls
DFH: initialize()                   :      9.800u      0.767s      1.882w      1 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.016w      9 calls
| DFH: AO Construction              :      1.600u      0.017s      0.329w     24 calls
| DFH: AO-Met. Contraction          :      6.050u      0.583s      0.702w     24 calls
HF: Form core H                     :      0.117u      0.000s      0.012w      1 calls
HF: Form S/X                        :      0.050u      0.050s      0.033w      1 calls
HF: Guess                           :      0.067u      0.067s      0.045w      1 calls
| SAD Guess                         :      0.067u      0.067s      0.044w      1 calls
HF: Form G                          :    143.183u      0.817s     11.433w     12 calls
| RV: Form V                        :    111.750u      0.533s      8.782w     12 calls
| | Properties                      :     35.966p                          52344 calls
| | Functional                      :      3.667p                          52344 calls
| | V_xc                            :     30.368p                          52344 calls
| JK: D                             :      0.017u      0.000s      0.002w     12 calls
| JK: USO2AO                        :      0.000u      0.000s      0.002w     12 calls
| JK: JK                            :     31.417u      0.283s      2.641w     12 calls
| | DFH: compute_JK()               :     31.400u      0.283s      2.641w     12 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     24 calls
| | | DFH: compute_J                :      2.183u      0.033s      0.173w     24 calls
| | | DFH: compute_K                :     29.167u      0.083s      2.312w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.001w     12 calls
HF: Form D                          :      0.017u      0.017s      0.002w     12 calls
HF: DIIS                            :      0.900u      0.200s      0.473w     11 calls
HF: Form C                          :      0.917u      0.583s      0.546w     11 calls

**************************************************************************************
