
Host: choehoyun-ui-MacBookAir.local

Timers On : Mon Aug 10 18:47:59 2026
Timers Off: Mon Aug 10 18:48:14 2026

Wall Time:       15.43 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      2.983u      0.017s      0.341w      1 calls
build grid                          :      2.833u      0.000s      0.248w      1 calls
post-process grid                   :      0.150u      0.017s      0.093w      1 calls
DFH: sparsity prep                  :      0.033u      0.000s      0.024w      1 calls
Libint2ERI::Libint2ERI              :      0.033u      0.000s      0.033w     10 calls
DFH: initialize()                   :      9.483u      0.850s      1.820w      1 calls
DFH: AO Construction                :      1.483u      0.000s      0.301w     22 calls
DFH: AO-Met. Contraction            :      5.867u      0.700s      0.666w     22 calls
HF: Form core H                     :      0.100u      0.000s      0.011w      1 calls
HF: Form S/X                        :      0.050u      0.033s      0.030w      1 calls
HF: Guess                           :      0.050u      0.067s      0.044w      1 calls
SAD Guess                           :      0.050u      0.067s      0.043w      1 calls
HF: Form G                          :    138.167u      0.800s     11.025w     12 calls
RV: Form V                          :    108.267u      0.500s      8.496w     12 calls
Properties                          :     34.959p                          52056 calls
Functional                          :      3.572p                          52056 calls
V_xc                                :     29.287p                          52056 calls
JK: D                               :      0.017u      0.000s      0.002w     12 calls
JK: USO2AO                          :      0.000u      0.017s      0.003w     12 calls
JK: JK                              :     29.883u      0.283s      2.520w     12 calls
DFH: compute_JK()                   :     29.883u      0.283s      2.519w     12 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     24 calls
DFH: compute_J                      :      2.133u      0.033s      0.172w     24 calls
DFH: compute_K                      :     27.683u      0.083s      2.194w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.001w     12 calls
HF: Form D                          :      0.000u      0.000s      0.002w     12 calls
HF: DIIS                            :      0.833u      0.183s      0.448w     11 calls
HF: Form C                          :      0.917u      0.633s      0.552w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      2.983u      0.017s      0.341w      1 calls
| build grid                        :      2.833u      0.000s      0.248w      1 calls
| post-process grid                 :      0.150u      0.017s      0.093w      1 calls
DFH: sparsity prep                  :      0.033u      0.000s      0.024w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.016w      1 calls
DFH: initialize()                   :      9.483u      0.850s      1.820w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.016w      9 calls
| DFH: AO Construction              :      1.483u      0.000s      0.301w     22 calls
| DFH: AO-Met. Contraction          :      5.867u      0.700s      0.666w     22 calls
HF: Form core H                     :      0.100u      0.000s      0.011w      1 calls
HF: Form S/X                        :      0.050u      0.033s      0.030w      1 calls
HF: Guess                           :      0.050u      0.067s      0.044w      1 calls
| SAD Guess                         :      0.050u      0.067s      0.043w      1 calls
HF: Form G                          :    138.167u      0.800s     11.025w     12 calls
| RV: Form V                        :    108.267u      0.500s      8.496w     12 calls
| | Properties                      :     34.959p                          52056 calls
| | Functional                      :      3.572p                          52056 calls
| | V_xc                            :     29.287p                          52056 calls
| JK: D                             :      0.017u      0.000s      0.002w     12 calls
| JK: USO2AO                        :      0.000u      0.017s      0.003w     12 calls
| JK: JK                            :     29.883u      0.283s      2.520w     12 calls
| | DFH: compute_JK()               :     29.883u      0.283s      2.519w     12 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     24 calls
| | | DFH: compute_J                :      2.133u      0.033s      0.172w     24 calls
| | | DFH: compute_K                :     27.683u      0.083s      2.194w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.001w     12 calls
HF: Form D                          :      0.000u      0.000s      0.002w     12 calls
HF: DIIS                            :      0.833u      0.183s      0.448w     11 calls
HF: Form C                          :      0.917u      0.633s      0.552w     11 calls

**************************************************************************************
