
Host: choehoyun-ui-MacBookAir.local

Timers On : Mon Aug 10 18:48:39 2026
Timers Off: Mon Aug 10 18:48:54 2026

Wall Time:       14.06 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      2.617u      0.017s      0.327w      1 calls
build grid                          :      2.483u      0.017s      0.239w      1 calls
post-process grid                   :      0.133u      0.000s      0.088w      1 calls
DFH: sparsity prep                  :      0.050u      0.000s      0.023w      1 calls
Libint2ERI::Libint2ERI              :      0.067u      0.000s      0.031w     10 calls
DFH: initialize()                   :      8.900u      0.733s      1.733w      1 calls
DFH: AO Construction                :      1.333u      0.000s      0.261w     21 calls
DFH: AO-Met. Contraction            :      5.350u      0.567s      0.619w     21 calls
HF: Form core H                     :      0.083u      0.000s      0.010w      1 calls
HF: Form S/X                        :      0.050u      0.050s      0.028w      1 calls
HF: Guess                           :      0.067u      0.067s      0.042w      1 calls
SAD Guess                           :      0.067u      0.067s      0.041w      1 calls
HF: Form G                          :    122.967u      0.667s      9.845w     12 calls
RV: Form V                          :     95.600u      0.433s      7.555w     12 calls
Properties                          :     31.223p                          50772 calls
Functional                          :      3.504p                          50772 calls
V_xc                                :     25.547p                          50772 calls
JK: D                               :      0.000u      0.000s      0.002w     12 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     12 calls
JK: JK                              :     27.367u      0.233s      2.281w     12 calls
DFH: compute_JK()                   :     27.367u      0.233s      2.280w     12 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     24 calls
DFH: compute_J                      :      1.917u      0.017s      0.158w     24 calls
DFH: compute_K                      :     25.400u      0.067s      1.979w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.001w     12 calls
HF: Form D                          :      0.033u      0.000s      0.002w     12 calls
HF: DIIS                            :      0.750u      0.217s      0.429w     11 calls
HF: Form C                          :      0.917u      0.567s      0.519w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      2.617u      0.017s      0.327w      1 calls
| build grid                        :      2.483u      0.017s      0.239w      1 calls
| post-process grid                 :      0.133u      0.000s      0.088w      1 calls
DFH: sparsity prep                  :      0.050u      0.000s      0.023w      1 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.016w      1 calls
DFH: initialize()                   :      8.900u      0.733s      1.733w      1 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.015w      9 calls
| DFH: AO Construction              :      1.333u      0.000s      0.261w     21 calls
| DFH: AO-Met. Contraction          :      5.350u      0.567s      0.619w     21 calls
HF: Form core H                     :      0.083u      0.000s      0.010w      1 calls
HF: Form S/X                        :      0.050u      0.050s      0.028w      1 calls
HF: Guess                           :      0.067u      0.067s      0.042w      1 calls
| SAD Guess                         :      0.067u      0.067s      0.041w      1 calls
HF: Form G                          :    122.967u      0.667s      9.845w     12 calls
| RV: Form V                        :     95.600u      0.433s      7.555w     12 calls
| | Properties                      :     31.223p                          50772 calls
| | Functional                      :      3.504p                          50772 calls
| | V_xc                            :     25.547p                          50772 calls
| JK: D                             :      0.000u      0.000s      0.002w     12 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     12 calls
| JK: JK                            :     27.367u      0.233s      2.281w     12 calls
| | DFH: compute_JK()               :     27.367u      0.233s      2.280w     12 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     24 calls
| | | DFH: compute_J                :      1.917u      0.017s      0.158w     24 calls
| | | DFH: compute_K                :     25.400u      0.067s      1.979w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.001w     12 calls
HF: Form D                          :      0.033u      0.000s      0.002w     12 calls
HF: DIIS                            :      0.750u      0.217s      0.429w     11 calls
HF: Form C                          :      0.917u      0.567s      0.519w     11 calls

**************************************************************************************
