
Host: choehoyun-ui-MacBookAir.local

Timers On : Mon Aug 10 18:48:55 2026
Timers Off: Mon Aug 10 18:49:10 2026

Wall Time:       15.61 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      2.900u      0.017s      0.365w      1 calls
build grid                          :      2.717u      0.017s      0.255w      1 calls
post-process grid                   :      0.183u      0.000s      0.110w      1 calls
DFH: sparsity prep                  :      0.033u      0.000s      0.024w      1 calls
Libint2ERI::Libint2ERI              :      0.033u      0.000s      0.033w     10 calls
DFH: initialize()                   :     12.117u      0.833s      2.165w      1 calls
DFH: AO Construction                :      2.133u      0.017s      0.396w     21 calls
DFH: AO-Met. Contraction            :      7.683u      0.667s      0.854w     21 calls
HF: Form core H                     :      0.150u      0.000s      0.016w      1 calls
HF: Form S/X                        :      0.100u      0.067s      0.051w      1 calls
HF: Guess                           :      0.100u      0.133s      0.079w      1 calls
SAD Guess                           :      0.100u      0.133s      0.077w      1 calls
HF: Form G                          :    131.817u      0.800s     10.586w     12 calls
RV: Form V                          :    102.683u      0.483s      8.093w     12 calls
Properties                          :     33.358p                          50940 calls
Functional                          :      3.759p                          50940 calls
V_xc                                :     27.438p                          50940 calls
JK: D                               :      0.000u      0.000s      0.002w     12 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     12 calls
JK: JK                              :     29.133u      0.317s      2.486w     12 calls
DFH: compute_JK()                   :     29.133u      0.317s      2.485w     12 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     24 calls
DFH: compute_J                      :      2.033u      0.017s      0.172w     24 calls
DFH: compute_K                      :     26.983u      0.133s      2.158w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.001w     12 calls
HF: Form D                          :      0.017u      0.000s      0.002w     12 calls
HF: DIIS                            :      1.000u      0.167s      0.544w     11 calls
HF: Form C                          :      0.917u      0.667s      0.530w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      2.900u      0.017s      0.365w      1 calls
| build grid                        :      2.717u      0.017s      0.255w      1 calls
| post-process grid                 :      0.183u      0.000s      0.110w      1 calls
DFH: sparsity prep                  :      0.033u      0.000s      0.024w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.016w      1 calls
DFH: initialize()                   :     12.117u      0.833s      2.165w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.016w      9 calls
| DFH: AO Construction              :      2.133u      0.017s      0.396w     21 calls
| DFH: AO-Met. Contraction          :      7.683u      0.667s      0.854w     21 calls
HF: Form core H                     :      0.150u      0.000s      0.016w      1 calls
HF: Form S/X                        :      0.100u      0.067s      0.051w      1 calls
HF: Guess                           :      0.100u      0.133s      0.079w      1 calls
| SAD Guess                         :      0.100u      0.133s      0.077w      1 calls
HF: Form G                          :    131.817u      0.800s     10.586w     12 calls
| RV: Form V                        :    102.683u      0.483s      8.093w     12 calls
| | Properties                      :     33.358p                          50940 calls
| | Functional                      :      3.759p                          50940 calls
| | V_xc                            :     27.438p                          50940 calls
| JK: D                             :      0.000u      0.000s      0.002w     12 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     12 calls
| JK: JK                            :     29.133u      0.317s      2.486w     12 calls
| | DFH: compute_JK()               :     29.133u      0.317s      2.485w     12 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     24 calls
| | | DFH: compute_J                :      2.033u      0.017s      0.172w     24 calls
| | | DFH: compute_K                :     26.983u      0.133s      2.158w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.001w     12 calls
HF: Form D                          :      0.017u      0.000s      0.002w     12 calls
HF: DIIS                            :      1.000u      0.167s      0.544w     11 calls
HF: Form C                          :      0.917u      0.667s      0.530w     11 calls

**************************************************************************************
