
Host: choehoyun-ui-MacBookAir.local

Timers On : Mon Aug 10 18:49:15 2026
Timers Off: Mon Aug 10 18:49:29 2026

Wall Time:       14.48 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      2.683u      0.017s      0.314w      1 calls
build grid                          :      2.550u      0.000s      0.226w      1 calls
post-process grid                   :      0.133u      0.017s      0.088w      1 calls
DFH: sparsity prep                  :      0.033u      0.000s      0.024w      1 calls
Libint2ERI::Libint2ERI              :      0.050u      0.000s      0.033w     10 calls
DFH: initialize()                   :      9.050u      0.800s      1.740w      1 calls
DFH: AO Construction                :      1.383u      0.000s      0.270w     22 calls
DFH: AO-Met. Contraction            :      5.483u      0.633s      0.628w     22 calls
HF: Form core H                     :      0.100u      0.000s      0.010w      1 calls
HF: Form S/X                        :      0.050u      0.033s      0.028w      1 calls
HF: Guess                           :      0.050u      0.083s      0.045w      1 calls
SAD Guess                           :      0.050u      0.083s      0.044w      1 calls
HF: Form G                          :    127.700u      0.750s     10.246w     12 calls
RV: Form V                          :     99.033u      0.467s      7.796w     12 calls
Properties                          :     32.349p                          50568 calls
Functional                          :      3.469p                          50568 calls
V_xc                                :     26.403p                          50568 calls
JK: D                               :      0.033u      0.000s      0.003w     12 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     12 calls
JK: JK                              :     28.633u      0.267s      2.442w     12 calls
DFH: compute_JK()                   :     28.633u      0.267s      2.441w     12 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     24 calls
DFH: compute_J                      :      2.033u      0.017s      0.167w     24 calls
DFH: compute_K                      :     26.517u      0.100s      2.126w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.001w     12 calls
HF: Form D                          :      0.017u      0.000s      0.002w     12 calls
HF: DIIS                            :      0.767u      0.200s      0.418w     11 calls
HF: Form C                          :      0.933u      0.600s      0.519w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      2.683u      0.017s      0.314w      1 calls
| build grid                        :      2.550u      0.000s      0.226w      1 calls
| post-process grid                 :      0.133u      0.017s      0.088w      1 calls
DFH: sparsity prep                  :      0.033u      0.000s      0.024w      1 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.016w      1 calls
DFH: initialize()                   :      9.050u      0.800s      1.740w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.017w      9 calls
| DFH: AO Construction              :      1.383u      0.000s      0.270w     22 calls
| DFH: AO-Met. Contraction          :      5.483u      0.633s      0.628w     22 calls
HF: Form core H                     :      0.100u      0.000s      0.010w      1 calls
HF: Form S/X                        :      0.050u      0.033s      0.028w      1 calls
HF: Guess                           :      0.050u      0.083s      0.045w      1 calls
| SAD Guess                         :      0.050u      0.083s      0.044w      1 calls
HF: Form G                          :    127.700u      0.750s     10.246w     12 calls
| RV: Form V                        :     99.033u      0.467s      7.796w     12 calls
| | Properties                      :     32.349p                          50568 calls
| | Functional                      :      3.469p                          50568 calls
| | V_xc                            :     26.403p                          50568 calls
| JK: D                             :      0.033u      0.000s      0.003w     12 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     12 calls
| JK: JK                            :     28.633u      0.267s      2.442w     12 calls
| | DFH: compute_JK()               :     28.633u      0.267s      2.441w     12 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     24 calls
| | | DFH: compute_J                :      2.033u      0.017s      0.167w     24 calls
| | | DFH: compute_K                :     26.517u      0.100s      2.126w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.001w     12 calls
HF: Form D                          :      0.017u      0.000s      0.002w     12 calls
HF: DIIS                            :      0.767u      0.200s      0.418w     11 calls
HF: Form C                          :      0.933u      0.600s      0.519w     11 calls

**************************************************************************************
