
Host: choehoyun-ui-MacBookAir.local

Timers On : Mon Aug 10 18:49:30 2026
Timers Off: Mon Aug 10 18:49:47 2026

Wall Time:       16.50 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      3.083u      0.017s      0.383w      1 calls
build grid                          :      2.883u      0.017s      0.259w      1 calls
post-process grid                   :      0.200u      0.000s      0.124w      1 calls
DFH: sparsity prep                  :      0.033u      0.000s      0.026w      1 calls
Libint2ERI::Libint2ERI              :      0.083u      0.000s      0.035w     10 calls
DFH: initialize()                   :     13.117u      0.933s      2.322w      1 calls
DFH: AO Construction                :      2.350u      0.033s      0.436w     21 calls
DFH: AO-Met. Contraction            :      8.350u      0.733s      0.903w     21 calls
HF: Form core H                     :      0.150u      0.000s      0.016w      1 calls
HF: Form S/X                        :      0.083u      0.067s      0.050w      1 calls
HF: Guess                           :      0.100u      0.133s      0.081w      1 calls
SAD Guess                           :      0.100u      0.133s      0.079w      1 calls
HF: Form G                          :    138.583u      0.933s     11.283w     12 calls
RV: Form V                          :    108.567u      0.483s      8.663w     12 calls
Properties                          :     35.793p                          50400 calls
Functional                          :      3.761p                          50400 calls
V_xc                                :     29.437p                          50400 calls
JK: D                               :      0.017u      0.000s      0.002w     12 calls
JK: USO2AO                          :      0.000u      0.017s      0.002w     12 calls
JK: JK                              :     29.983u      0.400s      2.611w     12 calls
DFH: compute_JK()                   :     29.983u      0.400s      2.610w     12 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     24 calls
DFH: compute_J                      :      2.117u      0.033s      0.179w     24 calls
DFH: compute_K                      :     27.783u      0.117s      2.272w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.002w     12 calls
HF: Form D                          :      0.017u      0.000s      0.002w     12 calls
HF: DIIS                            :      0.850u      0.167s      0.491w     11 calls
HF: Form C                          :      0.883u      0.617s      0.523w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      3.083u      0.017s      0.383w      1 calls
| build grid                        :      2.883u      0.017s      0.259w      1 calls
| post-process grid                 :      0.200u      0.000s      0.124w      1 calls
DFH: sparsity prep                  :      0.033u      0.000s      0.026w      1 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.018w      1 calls
DFH: initialize()                   :     13.117u      0.933s      2.322w      1 calls
| Libint2ERI::Libint2ERI            :      0.050u      0.000s      0.018w      9 calls
| DFH: AO Construction              :      2.350u      0.033s      0.436w     21 calls
| DFH: AO-Met. Contraction          :      8.350u      0.733s      0.903w     21 calls
HF: Form core H                     :      0.150u      0.000s      0.016w      1 calls
HF: Form S/X                        :      0.083u      0.067s      0.050w      1 calls
HF: Guess                           :      0.100u      0.133s      0.081w      1 calls
| SAD Guess                         :      0.100u      0.133s      0.079w      1 calls
HF: Form G                          :    138.583u      0.933s     11.283w     12 calls
| RV: Form V                        :    108.567u      0.483s      8.663w     12 calls
| | Properties                      :     35.793p                          50400 calls
| | Functional                      :      3.761p                          50400 calls
| | V_xc                            :     29.437p                          50400 calls
| JK: D                             :      0.017u      0.000s      0.002w     12 calls
| JK: USO2AO                        :      0.000u      0.017s      0.002w     12 calls
| JK: JK                            :     29.983u      0.400s      2.611w     12 calls
| | DFH: compute_JK()               :     29.983u      0.400s      2.610w     12 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     24 calls
| | | DFH: compute_J                :      2.117u      0.033s      0.179w     24 calls
| | | DFH: compute_K                :     27.783u      0.117s      2.272w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.002w     12 calls
HF: Form D                          :      0.017u      0.000s      0.002w     12 calls
HF: DIIS                            :      0.850u      0.167s      0.491w     11 calls
HF: Form C                          :      0.883u      0.617s      0.523w     11 calls

**************************************************************************************
