
Host: choehoyun-ui-MacBookAir.local

Timers On : Mon Aug 10 18:49:50 2026
Timers Off: Mon Aug 10 18:49:55 2026

Wall Time:        4.65 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.933u      0.000s      0.129w      1 calls
build grid                          :      0.867u      0.000s      0.080w      1 calls
post-process grid                   :      0.067u      0.000s      0.049w      1 calls
DFH: sparsity prep                  :      0.017u      0.000s      0.011w      1 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.015w     10 calls
DFH: initialize()                   :      2.500u      0.133s      0.444w      1 calls
DFH: AO Construction                :      0.550u      0.017s      0.047w      1 calls
DFH: AO-Met. Contraction            :      1.300u      0.033s      0.110w      1 calls
HF: Form core H                     :      0.033u      0.000s      0.004w      1 calls
HF: Form S/X                        :      0.017u      0.017s      0.008w      1 calls
HF: Guess                           :      0.050u      0.050s      0.035w      1 calls
SAD Guess                           :      0.050u      0.050s      0.034w      1 calls
HF: Form G                          :     34.500u      0.200s      2.688w     12 calls
RV: Form V                          :     29.200u      0.150s      2.228w     12 calls
Properties                          :      6.948p                          35760 calls
Functional                          :      1.718p                          35760 calls
V_xc                                :      9.098p                          35760 calls
JK: D                               :      0.017u      0.000s      0.001w     12 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     12 calls
JK: JK                              :      5.283u      0.050s      0.454w     12 calls
DFH: compute_JK()                   :      5.283u      0.050s      0.454w     12 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     12 calls
DFH: compute_J                      :      0.500u      0.000s      0.043w     12 calls
DFH: compute_K                      :      4.750u      0.033s      0.373w     12 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.002w     12 calls
HF: Form D                          :      0.000u      0.000s      0.001w     12 calls
HF: DIIS                            :      0.400u      0.083s      0.254w     11 calls
HF: Form C                          :      0.183u      0.183s      0.139w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.933u      0.000s      0.129w      1 calls
| build grid                        :      0.867u      0.000s      0.080w      1 calls
| post-process grid                 :      0.067u      0.000s      0.049w      1 calls
DFH: sparsity prep                  :      0.017u      0.000s      0.011w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.007w      1 calls
DFH: initialize()                   :      2.500u      0.133s      0.444w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.007w      9 calls
| DFH: AO Construction              :      0.550u      0.017s      0.047w      1 calls
| DFH: AO-Met. Contraction          :      1.300u      0.033s      0.110w      1 calls
HF: Form core H                     :      0.033u      0.000s      0.004w      1 calls
HF: Form S/X                        :      0.017u      0.017s      0.008w      1 calls
HF: Guess                           :      0.050u      0.050s      0.035w      1 calls
| SAD Guess                         :      0.050u      0.050s      0.034w      1 calls
HF: Form G                          :     34.500u      0.200s      2.688w     12 calls
| RV: Form V                        :     29.200u      0.150s      2.228w     12 calls
| | Properties                      :      6.948p                          35760 calls
| | Functional                      :      1.718p                          35760 calls
| | V_xc                            :      9.098p                          35760 calls
| JK: D                             :      0.017u      0.000s      0.001w     12 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     12 calls
| JK: JK                            :      5.283u      0.050s      0.454w     12 calls
| | DFH: compute_JK()               :      5.283u      0.050s      0.454w     12 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     12 calls
| | | DFH: compute_J                :      0.500u      0.000s      0.043w     12 calls
| | | DFH: compute_K                :      4.750u      0.033s      0.373w     12 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.002w     12 calls
HF: Form D                          :      0.000u      0.000s      0.001w     12 calls
HF: DIIS                            :      0.400u      0.083s      0.254w     11 calls
HF: Form C                          :      0.183u      0.183s      0.139w     11 calls

**************************************************************************************
