
Host: choehoyun-ui-MacBookAir.local

Timers On : Mon Aug 10 18:49:55 2026
Timers Off: Mon Aug 10 18:50:02 2026

Wall Time:        6.33 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      1.150u      0.017s      0.174w      1 calls
build grid                          :      1.033u      0.017s      0.100w      1 calls
post-process grid                   :      0.117u      0.000s      0.074w      1 calls
DFH: sparsity prep                  :      0.033u      0.000s      0.012w      1 calls
Libint2ERI::Libint2ERI              :      0.017u      0.000s      0.017w     10 calls
DFH: initialize()                   :      3.100u      0.167s      0.534w      1 calls
DFH: AO Construction                :      0.633u      0.017s      0.053w      1 calls
DFH: AO-Met. Contraction            :      1.717u      0.050s      0.151w      1 calls
HF: Form core H                     :      0.050u      0.017s      0.006w      1 calls
HF: Form S/X                        :      0.017u      0.017s      0.015w      1 calls
HF: Guess                           :      0.067u      0.083s      0.060w      1 calls
SAD Guess                           :      0.067u      0.083s      0.059w      1 calls
HF: Form G                          :     46.283u      0.317s      3.725w     12 calls
RV: Form V                          :     39.333u      0.200s      3.102w     12 calls
Properties                          :      9.968p                          35304 calls
Functional                          :      2.430p                          35304 calls
V_xc                                :     12.305p                          35304 calls
JK: D                               :      0.017u      0.000s      0.001w     12 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     12 calls
JK: JK                              :      6.933u      0.117s      0.617w     12 calls
DFH: compute_JK()                   :      6.933u      0.117s      0.617w     12 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     12 calls
DFH: compute_J                      :      0.583u      0.017s      0.054w     12 calls
DFH: compute_K                      :      6.300u      0.000s      0.512w     12 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.017s      0.001w     12 calls
HF: Form D                          :      0.017u      0.017s      0.001w     12 calls
HF: DIIS                            :      0.667u      0.167s      0.450w     11 calls
HF: Form C                          :      0.283u      0.267s      0.185w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      1.150u      0.017s      0.174w      1 calls
| build grid                        :      1.033u      0.017s      0.100w      1 calls
| post-process grid                 :      0.117u      0.000s      0.074w      1 calls
DFH: sparsity prep                  :      0.033u      0.000s      0.012w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.008w      1 calls
DFH: initialize()                   :      3.100u      0.167s      0.534w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.009w      9 calls
| DFH: AO Construction              :      0.633u      0.017s      0.053w      1 calls
| DFH: AO-Met. Contraction          :      1.717u      0.050s      0.151w      1 calls
HF: Form core H                     :      0.050u      0.017s      0.006w      1 calls
HF: Form S/X                        :      0.017u      0.017s      0.015w      1 calls
HF: Guess                           :      0.067u      0.083s      0.060w      1 calls
| SAD Guess                         :      0.067u      0.083s      0.059w      1 calls
HF: Form G                          :     46.283u      0.317s      3.725w     12 calls
| RV: Form V                        :     39.333u      0.200s      3.102w     12 calls
| | Properties                      :      9.968p                          35304 calls
| | Functional                      :      2.430p                          35304 calls
| | V_xc                            :     12.305p                          35304 calls
| JK: D                             :      0.017u      0.000s      0.001w     12 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     12 calls
| JK: JK                            :      6.933u      0.117s      0.617w     12 calls
| | DFH: compute_JK()               :      6.933u      0.117s      0.617w     12 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     12 calls
| | | DFH: compute_J                :      0.583u      0.017s      0.054w     12 calls
| | | DFH: compute_K                :      6.300u      0.000s      0.512w     12 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.017s      0.001w     12 calls
HF: Form D                          :      0.017u      0.017s      0.001w     12 calls
HF: DIIS                            :      0.667u      0.167s      0.450w     11 calls
HF: Form C                          :      0.283u      0.267s      0.185w     11 calls

**************************************************************************************
