
Host: choehoyun-ui-MacBookAir.local

Timers On : Mon Aug 10 18:50:06 2026
Timers Off: Mon Aug 10 18:50:10 2026

Wall Time:        4.73 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.950u      0.000s      0.132w      1 calls
build grid                          :      0.883u      0.000s      0.083w      1 calls
post-process grid                   :      0.067u      0.000s      0.049w      1 calls
DFH: sparsity prep                  :      0.017u      0.000s      0.011w      1 calls
Libint2ERI::Libint2ERI              :      0.017u      0.000s      0.015w     10 calls
DFH: initialize()                   :      2.583u      0.150s      0.451w      1 calls
DFH: AO Construction                :      0.567u      0.017s      0.047w      1 calls
DFH: AO-Met. Contraction            :      1.383u      0.033s      0.119w      1 calls
HF: Form core H                     :      0.033u      0.000s      0.004w      1 calls
HF: Form S/X                        :      0.017u      0.017s      0.008w      1 calls
HF: Guess                           :      0.050u      0.050s      0.035w      1 calls
SAD Guess                           :      0.050u      0.050s      0.034w      1 calls
HF: Form G                          :     35.433u      0.183s      2.750w     12 calls
RV: Form V                          :     29.850u      0.083s      2.278w     12 calls
Properties                          :      7.103p                          35448 calls
Functional                          :      1.745p                          35448 calls
V_xc                                :      9.303p                          35448 calls
JK: D                               :      0.000u      0.000s      0.001w     12 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     12 calls
JK: JK                              :      5.583u      0.083s      0.468w     12 calls
DFH: compute_JK()                   :      5.583u      0.083s      0.468w     12 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     12 calls
DFH: compute_J                      :      0.567u      0.000s      0.045w     12 calls
DFH: compute_K                      :      5.000u      0.000s      0.383w     12 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.001w     12 calls
HF: Form D                          :      0.017u      0.000s      0.001w     12 calls
HF: DIIS                            :      0.383u      0.100s      0.264w     11 calls
HF: Form C                          :      0.217u      0.217s      0.145w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.950u      0.000s      0.132w      1 calls
| build grid                        :      0.883u      0.000s      0.083w      1 calls
| post-process grid                 :      0.067u      0.000s      0.049w      1 calls
DFH: sparsity prep                  :      0.017u      0.000s      0.011w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.007w      1 calls
DFH: initialize()                   :      2.583u      0.150s      0.451w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.008w      9 calls
| DFH: AO Construction              :      0.567u      0.017s      0.047w      1 calls
| DFH: AO-Met. Contraction          :      1.383u      0.033s      0.119w      1 calls
HF: Form core H                     :      0.033u      0.000s      0.004w      1 calls
HF: Form S/X                        :      0.017u      0.017s      0.008w      1 calls
HF: Guess                           :      0.050u      0.050s      0.035w      1 calls
| SAD Guess                         :      0.050u      0.050s      0.034w      1 calls
HF: Form G                          :     35.433u      0.183s      2.750w     12 calls
| RV: Form V                        :     29.850u      0.083s      2.278w     12 calls
| | Properties                      :      7.103p                          35448 calls
| | Functional                      :      1.745p                          35448 calls
| | V_xc                            :      9.303p                          35448 calls
| JK: D                             :      0.000u      0.000s      0.001w     12 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     12 calls
| JK: JK                            :      5.583u      0.083s      0.468w     12 calls
| | DFH: compute_JK()               :      5.583u      0.083s      0.468w     12 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     12 calls
| | | DFH: compute_J                :      0.567u      0.000s      0.045w     12 calls
| | | DFH: compute_K                :      5.000u      0.000s      0.383w     12 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.001w     12 calls
HF: Form D                          :      0.017u      0.000s      0.001w     12 calls
HF: DIIS                            :      0.383u      0.100s      0.264w     11 calls
HF: Form C                          :      0.217u      0.217s      0.145w     11 calls

**************************************************************************************
