
Host: choehoyun-ui-MacBookAir.local

Timers On : Mon Aug 10 18:50:21 2026
Timers Off: Mon Aug 10 18:50:26 2026

Wall Time:        4.81 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.967u      0.017s      0.135w      1 calls
build grid                          :      0.883u      0.017s      0.086w      1 calls
post-process grid                   :      0.083u      0.000s      0.049w      1 calls
DFH: sparsity prep                  :      0.017u      0.000s      0.011w      1 calls
Libint2ERI::Libint2ERI              :      0.033u      0.000s      0.015w     10 calls
DFH: initialize()                   :      2.600u      0.133s      0.442w      1 calls
DFH: AO Construction                :      0.583u      0.017s      0.046w      1 calls
DFH: AO-Met. Contraction            :      1.367u      0.033s      0.119w      1 calls
HF: Form core H                     :      0.017u      0.000s      0.004w      1 calls
HF: Form S/X                        :      0.017u      0.017s      0.009w      1 calls
HF: Guess                           :      0.050u      0.050s      0.038w      1 calls
SAD Guess                           :      0.050u      0.050s      0.037w      1 calls
HF: Form G                          :     36.767u      0.167s      2.843w     12 calls
RV: Form V                          :     31.167u      0.100s      2.365w     12 calls
Properties                          :      7.423p                          35136 calls
Functional                          :      1.682p                          35136 calls
V_xc                                :      9.752p                          35136 calls
JK: D                               :      0.000u      0.000s      0.001w     12 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     12 calls
JK: JK                              :      5.600u      0.050s      0.472w     12 calls
DFH: compute_JK()                   :      5.600u      0.050s      0.472w     12 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     12 calls
DFH: compute_J                      :      0.567u      0.000s      0.045w     12 calls
DFH: compute_K                      :      5.017u      0.017s      0.386w     12 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.017s      0.001w     12 calls
HF: Form D                          :      0.000u      0.000s      0.001w     12 calls
HF: DIIS                            :      0.417u      0.100s      0.257w     11 calls
HF: Form C                          :      0.233u      0.200s      0.142w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.967u      0.017s      0.135w      1 calls
| build grid                        :      0.883u      0.017s      0.086w      1 calls
| post-process grid                 :      0.083u      0.000s      0.049w      1 calls
DFH: sparsity prep                  :      0.017u      0.000s      0.011w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.007w      1 calls
DFH: initialize()                   :      2.600u      0.133s      0.442w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.007w      9 calls
| DFH: AO Construction              :      0.583u      0.017s      0.046w      1 calls
| DFH: AO-Met. Contraction          :      1.367u      0.033s      0.119w      1 calls
HF: Form core H                     :      0.017u      0.000s      0.004w      1 calls
HF: Form S/X                        :      0.017u      0.017s      0.009w      1 calls
HF: Guess                           :      0.050u      0.050s      0.038w      1 calls
| SAD Guess                         :      0.050u      0.050s      0.037w      1 calls
HF: Form G                          :     36.767u      0.167s      2.843w     12 calls
| RV: Form V                        :     31.167u      0.100s      2.365w     12 calls
| | Properties                      :      7.423p                          35136 calls
| | Functional                      :      1.682p                          35136 calls
| | V_xc                            :      9.752p                          35136 calls
| JK: D                             :      0.000u      0.000s      0.001w     12 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w     12 calls
| JK: JK                            :      5.600u      0.050s      0.472w     12 calls
| | DFH: compute_JK()               :      5.600u      0.050s      0.472w     12 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     12 calls
| | | DFH: compute_J                :      0.567u      0.000s      0.045w     12 calls
| | | DFH: compute_K                :      5.017u      0.017s      0.386w     12 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.017s      0.001w     12 calls
HF: Form D                          :      0.000u      0.000s      0.001w     12 calls
HF: DIIS                            :      0.417u      0.100s      0.257w     11 calls
HF: Form C                          :      0.233u      0.200s      0.142w     11 calls

**************************************************************************************
