
Host: choehoyun-ui-MacBookAir.local

Timers On : Mon Aug 10 18:50:26 2026
Timers Off: Mon Aug 10 18:50:43 2026

Wall Time:       17.61 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      4.250u      0.017s      0.504w      1 calls
build grid                          :      4.000u      0.017s      0.349w      1 calls
post-process grid                   :      0.250u      0.000s      0.155w      1 calls
DFH: sparsity prep                  :      0.050u      0.000s      0.030w      1 calls
Libint2ERI::Libint2ERI              :      0.067u      0.000s      0.041w     10 calls
DFH: initialize()                   :     15.183u      1.033s      2.699w      1 calls
DFH: AO Construction                :      2.633u      0.000s      0.484w     22 calls
DFH: AO-Met. Contraction            :      9.850u      0.867s      1.080w     22 calls
HF: Form core H                     :      0.183u      0.000s      0.018w      1 calls
HF: Form S/X                        :      0.100u      0.067s      0.057w      1 calls
HF: Guess                           :      0.100u      0.133s      0.084w      1 calls
SAD Guess                           :      0.083u      0.133s      0.082w      1 calls
HF: Form G                          :    144.350u      1.300s     11.615w     12 calls
RV: Form V                          :    111.433u      0.700s      8.760w     12 calls
Properties                          :     36.325p                          52200 calls
Functional                          :      3.714p                          52200 calls
V_xc                                :     29.851p                          52200 calls
JK: D                               :      0.000u      0.000s      0.003w     12 calls
JK: USO2AO                          :      0.000u      0.017s      0.001w     12 calls
JK: JK                              :     32.917u      0.567s      2.841w     12 calls
DFH: compute_JK()                   :     32.917u      0.567s      2.841w     12 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     24 calls
DFH: compute_J                      :      2.267u      0.050s      0.187w     24 calls
DFH: compute_K                      :     30.550u      0.133s      2.381w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.002w     12 calls
HF: Form D                          :      0.017u      0.000s      0.002w     12 calls
HF: DIIS                            :      0.867u      0.183s      0.493w     11 calls
HF: Form C                          :      1.017u      0.633s      0.588w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      4.250u      0.017s      0.504w      1 calls
| build grid                        :      4.000u      0.017s      0.349w      1 calls
| post-process grid                 :      0.250u      0.000s      0.155w      1 calls
DFH: sparsity prep                  :      0.050u      0.000s      0.030w      1 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.020w      1 calls
DFH: initialize()                   :     15.183u      1.033s      2.699w      1 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.020w      9 calls
| DFH: AO Construction              :      2.633u      0.000s      0.484w     22 calls
| DFH: AO-Met. Contraction          :      9.850u      0.867s      1.080w     22 calls
HF: Form core H                     :      0.183u      0.000s      0.018w      1 calls
HF: Form S/X                        :      0.100u      0.067s      0.057w      1 calls
HF: Guess                           :      0.100u      0.133s      0.084w      1 calls
| SAD Guess                         :      0.083u      0.133s      0.082w      1 calls
HF: Form G                          :    144.350u      1.300s     11.615w     12 calls
| RV: Form V                        :    111.433u      0.700s      8.760w     12 calls
| | Properties                      :     36.325p                          52200 calls
| | Functional                      :      3.714p                          52200 calls
| | V_xc                            :     29.851p                          52200 calls
| JK: D                             :      0.000u      0.000s      0.003w     12 calls
| JK: USO2AO                        :      0.000u      0.017s      0.001w     12 calls
| JK: JK                            :     32.917u      0.567s      2.841w     12 calls
| | DFH: compute_JK()               :     32.917u      0.567s      2.841w     12 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     24 calls
| | | DFH: compute_J                :      2.267u      0.050s      0.187w     24 calls
| | | DFH: compute_K                :     30.550u      0.133s      2.381w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.002w     12 calls
HF: Form D                          :      0.017u      0.000s      0.002w     12 calls
HF: DIIS                            :      0.867u      0.183s      0.493w     11 calls
HF: Form C                          :      1.017u      0.633s      0.588w     11 calls

**************************************************************************************
