
Host: choehoyun-ui-MacBookAir.local

Timers On : Mon Aug 10 18:50:46 2026
Timers Off: Mon Aug 10 18:51:03 2026

Wall Time:       16.74 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      3.017u      0.017s      0.351w      1 calls
build grid                          :      2.850u      0.017s      0.249w      1 calls
post-process grid                   :      0.167u      0.000s      0.101w      1 calls
DFH: sparsity prep                  :      0.033u      0.000s      0.026w      1 calls
Libint2ERI::Libint2ERI              :      0.067u      0.000s      0.035w     10 calls
DFH: initialize()                   :     12.333u      0.917s      2.194w      1 calls
DFH: AO Construction                :      2.000u      0.033s      0.371w     22 calls
DFH: AO-Met. Contraction            :      7.883u      0.717s      0.858w     22 calls
HF: Form core H                     :      0.150u      0.000s      0.015w      1 calls
HF: Form S/X                        :      0.083u      0.050s      0.043w      1 calls
HF: Guess                           :      0.067u      0.100s      0.056w      1 calls
SAD Guess                           :      0.067u      0.083s      0.055w      1 calls
HF: Form G                          :    146.683u      1.000s     11.695w     12 calls
RV: Form V                          :    112.783u      0.517s      8.750w     12 calls
Properties                          :     35.949p                          52548 calls
Functional                          :      3.627p                          52548 calls
V_xc                                :     30.283p                          52548 calls
JK: D                               :      0.033u      0.000s      0.002w     12 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     12 calls
JK: JK                              :     33.867u      0.467s      2.937w     12 calls
DFH: compute_JK()                   :     33.867u      0.467s      2.937w     12 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     24 calls
DFH: compute_J                      :      2.200u      0.017s      0.176w     24 calls
DFH: compute_K                      :     31.567u      0.200s      2.537w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.001w     12 calls
HF: Form D                          :      0.000u      0.000s      0.002w     12 calls
HF: DIIS                            :      0.900u      0.233s      0.548w     11 calls
HF: Form C                          :      1.033u      0.650s      0.589w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      3.017u      0.017s      0.351w      1 calls
| build grid                        :      2.850u      0.017s      0.249w      1 calls
| post-process grid                 :      0.167u      0.000s      0.101w      1 calls
DFH: sparsity prep                  :      0.033u      0.000s      0.026w      1 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.018w      1 calls
DFH: initialize()                   :     12.333u      0.917s      2.194w      1 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.017w      9 calls
| DFH: AO Construction              :      2.000u      0.033s      0.371w     22 calls
| DFH: AO-Met. Contraction          :      7.883u      0.717s      0.858w     22 calls
HF: Form core H                     :      0.150u      0.000s      0.015w      1 calls
HF: Form S/X                        :      0.083u      0.050s      0.043w      1 calls
HF: Guess                           :      0.067u      0.100s      0.056w      1 calls
| SAD Guess                         :      0.067u      0.083s      0.055w      1 calls
HF: Form G                          :    146.683u      1.000s     11.695w     12 calls
| RV: Form V                        :    112.783u      0.517s      8.750w     12 calls
| | Properties                      :     35.949p                          52548 calls
| | Functional                      :      3.627p                          52548 calls
| | V_xc                            :     30.283p                          52548 calls
| JK: D                             :      0.033u      0.000s      0.002w     12 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w     12 calls
| JK: JK                            :     33.867u      0.467s      2.937w     12 calls
| | DFH: compute_JK()               :     33.867u      0.467s      2.937w     12 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     24 calls
| | | DFH: compute_J                :      2.200u      0.017s      0.176w     24 calls
| | | DFH: compute_K                :     31.567u      0.200s      2.537w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.001w     12 calls
HF: Form D                          :      0.000u      0.000s      0.002w     12 calls
HF: DIIS                            :      0.900u      0.233s      0.548w     11 calls
HF: Form C                          :      1.033u      0.650s      0.589w     11 calls

**************************************************************************************
