
Host: choehoyun-ui-MacBookAir.local

Timers On : Mon Aug 10 18:51:06 2026
Timers Off: Mon Aug 10 18:51:22 2026

Wall Time:       16.11 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      2.983u      0.033s      0.337w      1 calls
build grid                          :      2.833u      0.017s      0.246w      1 calls
post-process grid                   :      0.150u      0.017s      0.091w      1 calls
DFH: sparsity prep                  :      0.033u      0.000s      0.026w      1 calls
Libint2ERI::Libint2ERI              :      0.050u      0.000s      0.036w     10 calls
DFH: initialize()                   :     11.300u      0.950s      2.120w      1 calls
DFH: AO Construction                :      1.800u      0.000s      0.339w     23 calls
DFH: AO-Met. Contraction            :      7.017u      0.783s      0.815w     23 calls
HF: Form core H                     :      0.117u      0.000s      0.012w      1 calls
HF: Form S/X                        :      0.067u      0.050s      0.036w      1 calls
HF: Guess                           :      0.067u      0.067s      0.046w      1 calls
SAD Guess                           :      0.067u      0.067s      0.045w      1 calls
HF: Form G                          :    143.267u      0.817s     11.174w     12 calls
RV: Form V                          :    110.700u      0.383s      8.451w     12 calls
Properties                          :     34.996p                          52176 calls
Functional                          :      3.430p                          52176 calls
V_xc                                :     29.028p                          52176 calls
JK: D                               :      0.033u      0.017s      0.002w     12 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     12 calls
JK: JK                              :     32.533u      0.417s      2.715w     12 calls
DFH: compute_JK()                   :     32.533u      0.417s      2.714w     12 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     24 calls
DFH: compute_J                      :      2.267u      0.017s      0.178w     24 calls
DFH: compute_K                      :     30.183u      0.133s      2.327w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.033s      0.001w     12 calls
HF: Form D                          :      0.033u      0.000s      0.002w     12 calls
HF: DIIS                            :      0.867u      0.167s      0.529w     11 calls
HF: Form C                          :      1.000u      0.650s      0.572w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      2.983u      0.033s      0.337w      1 calls
| build grid                        :      2.833u      0.017s      0.246w      1 calls
| post-process grid                 :      0.150u      0.017s      0.091w      1 calls
DFH: sparsity prep                  :      0.033u      0.000s      0.026w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.018w      1 calls
DFH: initialize()                   :     11.300u      0.950s      2.120w      1 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.018w      9 calls
| DFH: AO Construction              :      1.800u      0.000s      0.339w     23 calls
| DFH: AO-Met. Contraction          :      7.017u      0.783s      0.815w     23 calls
HF: Form core H                     :      0.117u      0.000s      0.012w      1 calls
HF: Form S/X                        :      0.067u      0.050s      0.036w      1 calls
HF: Guess                           :      0.067u      0.067s      0.046w      1 calls
| SAD Guess                         :      0.067u      0.067s      0.045w      1 calls
HF: Form G                          :    143.267u      0.817s     11.174w     12 calls
| RV: Form V                        :    110.700u      0.383s      8.451w     12 calls
| | Properties                      :     34.996p                          52176 calls
| | Functional                      :      3.430p                          52176 calls
| | V_xc                            :     29.028p                          52176 calls
| JK: D                             :      0.033u      0.017s      0.002w     12 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w     12 calls
| JK: JK                            :     32.533u      0.417s      2.715w     12 calls
| | DFH: compute_JK()               :     32.533u      0.417s      2.714w     12 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     24 calls
| | | DFH: compute_J                :      2.267u      0.017s      0.178w     24 calls
| | | DFH: compute_K                :     30.183u      0.133s      2.327w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.033s      0.001w     12 calls
HF: Form D                          :      0.033u      0.000s      0.002w     12 calls
HF: DIIS                            :      0.867u      0.167s      0.529w     11 calls
HF: Form C                          :      1.000u      0.650s      0.572w     11 calls

**************************************************************************************
