
Host: choehoyun-ui-MacBookAir.local

Timers On : Mon Aug 10 18:51:47 2026
Timers Off: Mon Aug 10 18:52:02 2026

Wall Time:       15.25 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      2.983u      0.017s      0.338w      1 calls
build grid                          :      2.850u      0.000s      0.248w      1 calls
post-process grid                   :      0.133u      0.017s      0.091w      1 calls
DFH: sparsity prep                  :      0.050u      0.000s      0.026w      1 calls
Libint2ERI::Libint2ERI              :      0.067u      0.000s      0.035w     10 calls
DFH: initialize()                   :     10.783u      0.800s      2.023w      1 calls
DFH: AO Construction                :      1.700u      0.017s      0.314w     22 calls
DFH: AO-Met. Contraction            :      6.667u      0.633s      0.753w     22 calls
HF: Form core H                     :      0.117u      0.000s      0.011w      1 calls
HF: Form S/X                        :      0.050u      0.050s      0.032w      1 calls
HF: Guess                           :      0.067u      0.067s      0.043w      1 calls
SAD Guess                           :      0.050u      0.067s      0.042w      1 calls
HF: Form G                          :    136.467u      0.800s     10.676w     12 calls
RV: Form V                          :    104.817u      0.417s      8.037w     12 calls
Properties                          :     33.269p                          52416 calls
Functional                          :      3.372p                          52416 calls
V_xc                                :     27.527p                          52416 calls
JK: D                               :      0.000u      0.000s      0.002w     12 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     12 calls
JK: JK                              :     31.633u      0.383s      2.630w     12 calls
DFH: compute_JK()                   :     31.633u      0.383s      2.630w     12 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     24 calls
DFH: compute_J                      :      2.150u      0.000s      0.167w     24 calls
DFH: compute_K                      :     29.383u      0.183s      2.265w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.017s      0.001w     12 calls
HF: Form D                          :      0.017u      0.000s      0.002w     12 calls
HF: DIIS                            :      0.800u      0.183s      0.428w     11 calls
HF: Form C                          :      0.950u      0.583s      0.552w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      2.983u      0.017s      0.338w      1 calls
| build grid                        :      2.850u      0.000s      0.248w      1 calls
| post-process grid                 :      0.133u      0.017s      0.091w      1 calls
DFH: sparsity prep                  :      0.050u      0.000s      0.026w      1 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.018w      1 calls
DFH: initialize()                   :     10.783u      0.800s      2.023w      1 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.017w      9 calls
| DFH: AO Construction              :      1.700u      0.017s      0.314w     22 calls
| DFH: AO-Met. Contraction          :      6.667u      0.633s      0.753w     22 calls
HF: Form core H                     :      0.117u      0.000s      0.011w      1 calls
HF: Form S/X                        :      0.050u      0.050s      0.032w      1 calls
HF: Guess                           :      0.067u      0.067s      0.043w      1 calls
| SAD Guess                         :      0.050u      0.067s      0.042w      1 calls
HF: Form G                          :    136.467u      0.800s     10.676w     12 calls
| RV: Form V                        :    104.817u      0.417s      8.037w     12 calls
| | Properties                      :     33.269p                          52416 calls
| | Functional                      :      3.372p                          52416 calls
| | V_xc                            :     27.527p                          52416 calls
| JK: D                             :      0.000u      0.000s      0.002w     12 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w     12 calls
| JK: JK                            :     31.633u      0.383s      2.630w     12 calls
| | DFH: compute_JK()               :     31.633u      0.383s      2.630w     12 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     24 calls
| | | DFH: compute_J                :      2.150u      0.000s      0.167w     24 calls
| | | DFH: compute_K                :     29.383u      0.183s      2.265w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.017s      0.001w     12 calls
HF: Form D                          :      0.017u      0.000s      0.002w     12 calls
HF: DIIS                            :      0.800u      0.183s      0.428w     11 calls
HF: Form C                          :      0.950u      0.583s      0.552w     11 calls

**************************************************************************************
