
Host: choehoyun-ui-MacBookAir.local

Timers On : Mon Aug 10 18:52:07 2026
Timers Off: Mon Aug 10 18:52:25 2026

Wall Time:       17.82 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      3.550u      0.033s      0.399w      1 calls
build grid                          :      3.383u      0.017s      0.298w      1 calls
post-process grid                   :      0.167u      0.017s      0.101w      1 calls
DFH: sparsity prep                  :      0.033u      0.000s      0.025w      1 calls
Libint2ERI::Libint2ERI              :      0.050u      0.000s      0.034w     10 calls
DFH: initialize()                   :      9.517u      0.933s      1.904w      1 calls
DFH: AO Construction                :      1.600u      0.000s      0.324w     24 calls
DFH: AO-Met. Contraction            :      5.767u      0.767s      0.714w     24 calls
HF: Form core H                     :      0.100u      0.017s      0.013w      1 calls
HF: Form S/X                        :      0.050u      0.033s      0.028w      1 calls
HF: Guess                           :      0.067u      0.067s      0.044w      1 calls
SAD Guess                           :      0.067u      0.067s      0.043w      1 calls
HF: Form G                          :    153.933u      1.450s     12.953w     12 calls
RV: Form V                          :    122.783u      0.950s     10.223w     12 calls
Properties                          :     42.482p                          55392 calls
Functional                          :      4.051p                          55392 calls
V_xc                                :     35.045p                          55392 calls
JK: D                               :      0.000u      0.000s      0.002w     12 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     12 calls
JK: JK                              :     31.150u      0.500s      2.721w     12 calls
DFH: compute_JK()                   :     31.150u      0.500s      2.721w     12 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     24 calls
DFH: compute_J                      :      2.283u      0.117s      0.201w     24 calls
DFH: compute_K                      :     28.733u      0.183s      2.348w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.002w     12 calls
HF: Form D                          :      0.000u      0.000s      0.002w     12 calls
HF: DIIS                            :      0.833u      0.233s      0.526w     11 calls
HF: Form C                          :      0.933u      0.567s      0.540w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      3.550u      0.033s      0.399w      1 calls
| build grid                        :      3.383u      0.017s      0.298w      1 calls
| post-process grid                 :      0.167u      0.017s      0.101w      1 calls
DFH: sparsity prep                  :      0.033u      0.000s      0.025w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.017w      1 calls
DFH: initialize()                   :      9.517u      0.933s      1.904w      1 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.017w      9 calls
| DFH: AO Construction              :      1.600u      0.000s      0.324w     24 calls
| DFH: AO-Met. Contraction          :      5.767u      0.767s      0.714w     24 calls
HF: Form core H                     :      0.100u      0.017s      0.013w      1 calls
HF: Form S/X                        :      0.050u      0.033s      0.028w      1 calls
HF: Guess                           :      0.067u      0.067s      0.044w      1 calls
| SAD Guess                         :      0.067u      0.067s      0.043w      1 calls
HF: Form G                          :    153.933u      1.450s     12.953w     12 calls
| RV: Form V                        :    122.783u      0.950s     10.223w     12 calls
| | Properties                      :     42.482p                          55392 calls
| | Functional                      :      4.051p                          55392 calls
| | V_xc                            :     35.045p                          55392 calls
| JK: D                             :      0.000u      0.000s      0.002w     12 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     12 calls
| JK: JK                            :     31.150u      0.500s      2.721w     12 calls
| | DFH: compute_JK()               :     31.150u      0.500s      2.721w     12 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     24 calls
| | | DFH: compute_J                :      2.283u      0.117s      0.201w     24 calls
| | | DFH: compute_K                :     28.733u      0.183s      2.348w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.002w     12 calls
HF: Form D                          :      0.000u      0.000s      0.002w     12 calls
HF: DIIS                            :      0.833u      0.233s      0.526w     11 calls
HF: Form C                          :      0.933u      0.567s      0.540w     11 calls

**************************************************************************************
