
Host: choehoyun-ui-MacBookAir.local

Timers On : Mon Aug 10 18:52:27 2026
Timers Off: Mon Aug 10 18:52:48 2026

Wall Time:       21.20 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      3.750u      0.033s      0.442w      1 calls
build grid                          :      3.567u      0.033s      0.323w      1 calls
post-process grid                   :      0.183u      0.000s      0.119w      1 calls
DFH: sparsity prep                  :      0.050u      0.000s      0.033w      1 calls
Libint2ERI::Libint2ERI              :      0.067u      0.017s      0.040w     10 calls
DFH: initialize()                   :     12.767u      1.050s      2.335w      1 calls
DFH: AO Construction                :      2.350u      0.050s      0.486w     24 calls
DFH: AO-Met. Contraction            :      8.300u      0.850s      0.994w     24 calls
HF: Form core H                     :      0.167u      0.017s      0.026w      1 calls
HF: Form S/X                        :      0.100u      0.050s      0.055w      1 calls
HF: Guess                           :      0.100u      0.167s      0.103w      1 calls
SAD Guess                           :      0.100u      0.167s      0.101w      1 calls
HF: Form G                          :    166.783u      2.117s     15.458w     12 calls
RV: Form V                          :    132.150u      1.533s     12.080w     12 calls
Properties                          :     51.034p                          55404 calls
Functional                          :      4.896p                          55404 calls
V_xc                                :     40.271p                          55404 calls
JK: D                               :      0.017u      0.000s      0.004w     12 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     12 calls
JK: JK                              :     34.617u      0.583s      3.368w     12 calls
DFH: compute_JK()                   :     34.617u      0.583s      3.367w     12 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     24 calls
DFH: compute_J                      :      2.367u      0.117s      0.229w     24 calls
DFH: compute_K                      :     32.150u      0.233s      2.945w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.002w     12 calls
HF: Form D                          :      0.017u      0.000s      0.002w     12 calls
HF: DIIS                            :      0.883u      0.167s      0.540w     11 calls
HF: Form C                          :      0.883u      0.650s      0.546w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      3.750u      0.033s      0.442w      1 calls
| build grid                        :      3.567u      0.033s      0.323w      1 calls
| post-process grid                 :      0.183u      0.000s      0.119w      1 calls
DFH: sparsity prep                  :      0.050u      0.000s      0.033w      1 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.024w      1 calls
DFH: initialize()                   :     12.767u      1.050s      2.335w      1 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.017s      0.016w      9 calls
| DFH: AO Construction              :      2.350u      0.050s      0.486w     24 calls
| DFH: AO-Met. Contraction          :      8.300u      0.850s      0.994w     24 calls
HF: Form core H                     :      0.167u      0.017s      0.026w      1 calls
HF: Form S/X                        :      0.100u      0.050s      0.055w      1 calls
HF: Guess                           :      0.100u      0.167s      0.103w      1 calls
| SAD Guess                         :      0.100u      0.167s      0.101w      1 calls
HF: Form G                          :    166.783u      2.117s     15.458w     12 calls
| RV: Form V                        :    132.150u      1.533s     12.080w     12 calls
| | Properties                      :     51.034p                          55404 calls
| | Functional                      :      4.896p                          55404 calls
| | V_xc                            :     40.271p                          55404 calls
| JK: D                             :      0.017u      0.000s      0.004w     12 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     12 calls
| JK: JK                            :     34.617u      0.583s      3.368w     12 calls
| | DFH: compute_JK()               :     34.617u      0.583s      3.367w     12 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     24 calls
| | | DFH: compute_J                :      2.367u      0.117s      0.229w     24 calls
| | | DFH: compute_K                :     32.150u      0.233s      2.945w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.002w     12 calls
HF: Form D                          :      0.017u      0.000s      0.002w     12 calls
HF: DIIS                            :      0.883u      0.167s      0.540w     11 calls
HF: Form C                          :      0.883u      0.650s      0.546w     11 calls

**************************************************************************************
